1MinReturn,0ProcessExecTime,ItrTime,1Perplexity,1StdReturn,0Perplexity,1ExplainedVariance,1PolicyExecTime,ComputeUpdatedDistTime,0AverageReturn,0NumTrajs,0MinReturn,0Entropy,dLoss,1AverageReturn,1ProcessExecTime,0EnvExecTime,1EnvExecTime,0ExplainedVariance,1Entropy,1AveragePolicyStd,0StdReturn,0MaxReturn,MeanKLBefore,0PolicyExecTime,Time,0AveragePolicyStd,1MaxReturn,LossAfter,MeanKL,LossBefore,1NumTrajs
0.0,1.1838085651397705,178.21129155158997,17.0171,645.679169557,17.0795,0.179696213842,65.22345042228699,0.8297467231750488,122.0,2000,0.0,2.83788,0.00454836481367,272.1,1.246187448501587,32.50670051574707,35.5354368686676,0.0973672348927,2.83422,0.998181,419.637939181,2800.0,2.93221269487e-08,34.7480411529541,178.21128869056702,1.0,2800.0,-0.00454836245626,0.00647644652054,2.357410267e-09,2000
0.0,1.3537368774414062,206.51761984825134,17.1151,666.621264287,17.1972,0.162109693998,73.67604470252991,0.1191551685333252,145.0,2000,0.0,2.84475,0.00708794643288,285.3,1.3055839538574219,36.17746376991272,36.415154218673706,0.111315066576,2.83996,1.00105,460.11411628,2800.0,1.80443826547e-09,51.48052096366882,388.98758721351624,1.00344,2800.0,-0.00708794547245,0.00957975722849,9.60426405072e-10,2000
0.0,1.3157703876495361,207.23815631866455,16.8048,656.609608139,16.7142,0.190692842066,74.71614813804626,0.11600089073181152,129.6,2000,0.0,2.81626,0.00605232646922,288.65,1.3201098442077637,35.578293800354004,36.562894344329834,0.0833795775809,2.82166,0.991941,427.731036985,2800.0,2.4752800698e-08,51.56625771522522,600.5843081474304,0.98925,2800.0,-0.00605232594535,0.00953532941639,5.23868948221e-10,2000
0.0,1.3523845672607422,211.1975131034851,16.2065,659.819664757,16.305,0.163863781963,78.05889129638672,0.10399127006530762,128.7,2000,0.0,2.79147,0.00667792049353,290.1,1.3477802276611328,36.186119556427,37.53145742416382,0.0900206569468,2.78541,0.974115,421.326844623,2700.0,1.35042004246e-08,50.429694175720215,816.483024597168,0.977064,2900.0,-0.00667791813612,0.00963997561485,2.357410267e-09,2000
0.0,1.4241299629211426,230.92001509666443,16.1158,748.812257846,16.1368,0.211122736854,86.8021924495697,0.12008786201477051,138.95,2000,0.0,2.7811,0.0062822693144,350.45,1.5402710437774658,38.10021638870239,41.55224633216858,0.102852212767,2.7798,0.971384,440.599475147,2600.0,3.25962412617e-09,53.97875785827637,1052.1386976242065,0.972012,2800.0,-0.00628226995468,0.0094447163865,-6.40284270048e-10,2000
0.0,1.5939545631408691,248.58715629577637,15.7399,698.081628465,15.7982,0.186804066478,88.66400861740112,0.1277599334716797,171.2,2000,0.0,2.75989,0.000594247423578,319.8,1.7354676723480225,41.456053495407104,46.24007749557495,0.110644735083,2.7562,0.959999,498.879304041,2800.0,-1.86264403901e-09,60.5333788394928,1306.013474702835,0.961763,2900.0,-0.000594244687818,0.00926596857607,2.73576006293e-09,2000
0.0,1.798232078552246,253.21972179412842,15.6933,757.881308319,15.7633,0.202426297029,87.93153786659241,0.13682770729064941,163.9,2000,0.0,2.75768,0.00456246535759,373.15,1.7247536182403564,47.7079815864563,47.059091567993164,0.0966303720227,2.75323,0.95858,486.905319338,2700.0,5.5879394445e-09,58.98047137260437,1564.964373588562,0.960707,2900.0,-0.00456246733665,0.00777582218871,-1.97906047106e-09,2000
0.0,1.640726089477539,236.7404592037201,15.5733,712.318101342,15.6574,0.166879153187,83.06458020210266,0.12993979454040527,147.75,2000,0.0,2.75094,0.00682757041068,336.85,1.508016586303711,42.29640460014343,41.86954998970032,0.0817913959335,2.74556,0.95496,439.98288319,2800.0,1.86264415003e-09,59.18150877952576,1807.4403221607208,0.957525,2800.0,-0.00682756956667,0.00784324854612,8.44011083245e-10,2000
0.0,1.4646637439727783,228.76940488815308,15.4574,672.213862919,15.5023,0.143800222811,82.71247243881226,0.11396622657775879,180.2,2000,0.0,2.74099,0.00486310236738,304.85,1.459547996520996,38.53695797920227,39.79857921600342,0.102099575089,2.73809,0.951367,500.357831956,2700.0,9.3132229706e-10,58.195704221725464,2041.1208429336548,0.952738,2800.0,-0.00486310292035,0.00749397091568,-5.52972778678e-10,2000
0.0,1.4514174461364746,227.83046865463257,14.894,759.471125192,15.0181,0.188595304983,83.99948334693909,0.1073002815246582,216.85,2000,0.0,2.70925,0.00453288841527,373.1,1.4434630870819092,38.48652148246765,39.84736227989197,0.0931622743955,2.70096,0.933946,547.924335561,2600.0,4.65660887627e-09,56.11295771598816,2273.442225217819,0.937841,2800.0,-0.00453288853168,0.00846687704325,-1.16415321827e-10,2000
