0StdReturn,MeanKL,ItrTime,LossBefore,0NumTrajs,0AveragePolicyStd,0AverageReturn,ComputeUpdatedDistTime,dLoss,1Entropy,0PolicyExecTime,0Entropy,0ExplainedVariance,0EnvExecTime,1ExplainedVariance,MeanKLBefore,1AverageReturn,0ProcessExecTime,0MinReturn,0Perplexity,1MinReturn,1Perplexity,1NumTrajs,1EnvExecTime,1AveragePolicyStd,LossAfter,Time,1StdReturn,1PolicyExecTime,0MaxReturn,1ProcessExecTime,1MaxReturn
146.391971689,0.00861233565956,50.01232862472534,2.32830643654e-10,800,1.0,21.375,0.7044320106506348,0.00701614632271,2.83129,10.797840118408203,2.83788,0.08940329182,9.4373459815979,0.274194524434,4.91128318569e-11,56.125,0.4257214069366455,0.0,17.0795,0.0,16.9674,800,9.658164024353027,0.996724,-0.00701614608988,50.01232194900513,233.853553266,15.738922834396362,1700.0,0.417987585067749,2300.0
84.6134593312,0.00819616764784,49.32709503173828,-7.56699591875e-10,800,0.997908,10.75,0.09809684753417969,0.00651751569239,2.83628,11.203230857849121,2.83366,0.0748008443874,9.904813528060913,0.15919944376,-1.30967139356e-08,39.375,0.45427584648132324,0.0,17.0076,0.0,17.0523,800,9.291171073913574,0.999237,-0.00651751644909,100.92595338821411,187.981672976,15.898146390914917,1100.0,0.4058053493499756,1700.0
156.519767122,0.00633890414611,49.37755560874939,-1.51339918375e-09,800,0.997016,31.25,0.09825277328491211,0.00757293996867,2.82999,10.045823097229004,2.83189,0.14274161716,9.664726257324219,0.374322434944,7.56698981252e-10,154.125,0.44367265701293945,0.0,16.9775,0.0,16.9452,800,9.72348141670227,0.996085,-0.00757294148207,151.75154638290405,432.155046685,16.496904611587524,1500.0,0.43074846267700195,2100.0
119.976820678,0.0085031343624,48.19111180305481,-1.39698386192e-09,800,0.991659,16.75,0.0681912899017334,0.00495703378692,2.81765,10.790436267852783,2.82105,0.0704704510856,9.509182691574097,0.157124822994,-5.38421085494e-10,50.5,0.44141435623168945,0.0,16.7945,0.0,16.7375,800,9.100708246231079,0.989978,-0.00495703518391,201.13038277626038,249.949494898,15.762961864471436,1600.0,0.413266658782959,2200.0
158.592983373,0.00687984935939,49.85013461112976,1.04773789644e-09,800,0.986758,27.125,0.06992149353027344,0.00816375680733,2.80892,10.210736751556396,2.81114,0.126423866974,9.748013257980347,0.182364086076,-3.14321191297e-09,83.875,0.4581937789916992,0.0,16.6289,0.0,16.592,800,9.89949893951416,0.985664,-0.0081637557596,252.24775910377502,277.042387325,16.856088876724243,1700.0,0.4295616149902344,1800.0
118.465118811,0.00622374285012,48.08557415008545,-3.49245965481e-10,800,0.983999,18.125,0.07852792739868164,0.00584867422003,2.80042,10.85609745979309,2.80559,0.0669126386005,9.519125699996948,0.212638101601,-2.56113752428e-09,84.25,0.436049222946167,0.0,16.5368,0.0,16.4515,800,9.34305214881897,0.981469,-0.00584867456928,301.6288275718689,295.595902373,15.373413562774658,1200.0,0.4164431095123291,2100.0
165.887716167,0.00708963070065,50.914084672927856,0.0,800,0.985038,24.875,0.07288241386413574,0.00391777511686,2.80279,11.468398094177246,2.80768,0.0687275617158,10.468554973602295,0.349862519095,-6.98492208517e-10,245.875,0.48210620880126953,0.0,16.5715,0.0,16.4906,800,9.547407388687134,0.982629,-0.00391777511686,353.76840567588806,600.92261097,16.078338623046875,1600.0,0.42020297050476074,2600.0
226.872451776,0.00597552256659,49.288442611694336,-1.62981450558e-09,800,0.972658,55.375,0.07221317291259766,0.00584597955458,2.78498,10.060495138168335,2.78242,0.0749413602665,9.744043588638306,0.42124702488,-9.31317412078e-10,407.625,0.4564051628112793,0.0,16.1581,0.0,16.1995,800,9.813538551330566,0.973942,-0.00584598118439,404.0906994342804,697.014604851,16.512190341949463,1800.0,0.43447375297546387,2800.0
219.154304943,0.00661518471316,49.21228623390198,9.31322574615e-10,800,0.962394,45.375,0.09003067016601562,0.00833842996508,2.75936,10.879648685455322,2.7612,0.0731972310405,9.710570812225342,0.275573404457,-1.39698397295e-09,229.375,0.45181941986083984,0.0,15.8188,0.0,15.7897,800,9.271199226379395,0.961528,-0.00833842903376,454.8795380592346,551.814832507,16.322838306427002,1800.0,0.4193439483642578,2400.0
299.984999625,0.00855456199497,51.62191891670227,-1.2805685401e-09,800,0.955332,103.0,0.0680844783782959,0.00935368298087,2.74117,10.892836570739746,2.74648,0.273998554781,9.723644495010376,0.618803263658,1.76951484576e-08,708.0,0.4626495838165283,0.0,15.5876,0.0,15.5052,800,9.706620454788208,0.952831,-0.00935368426144,507.8878321647644,859.861035284,18.01569414138794,1600.0,0.4486865997314453,2700.0
261.799989257,0.00767048168927,53.06900477409363,5.82076609135e-10,800,0.947369,70.875,0.08222150802612305,0.00682691449765,2.73301,12.326188802719116,2.72971,0.0713161820867,9.750388860702515,0.311091614772,0.0,348.625,0.468219518661499,0.0,15.3285,0.0,15.379,800,9.830692768096924,0.948948,-0.00682691391557,562.4536950588226,681.577662028,17.71592092514038,1800.0,0.44081878662109375,2500.0
289.892113553,0.00756001006812,53.652599573135376,2.53203324974e-09,800,0.935504,87.25,0.3206446170806885,0.00657463839161,2.69991,12.58280324935913,2.70453,0.0720489464482,9.607267379760742,0.347746158629,-3.72528718984e-09,433.625,0.46135711669921875,0.0,14.9473,0.0,14.8783,800,9.756887912750244,0.933376,-0.00657463585958,617.3789448738098,723.900448525,18.125775575637817,1600.0,0.4431483745574951,2600.0
207.710736362,0.00948243681341,52.75820326805115,-1.16415321827e-09,800,0.930302,47.5,0.0735025405883789,0.00953060085885,2.68505,12.403103351593018,2.69328,0.191853394219,9.666162252426147,0.473784540212,3.72528763393e-09,291.0,0.4660980701446533,0.0,14.7801,0.0,14.6589,800,9.827794551849365,0.926489,-0.00953060202301,671.3759205341339,558.362785293,17.436769485473633,1600.0,0.441678524017334,2300.0
283.310342204,0.00949422083795,53.15377068519592,7.56699591875e-09,800,0.924131,89.5,0.09602689743041992,0.00653254997451,2.67819,12.243907451629639,2.67995,0.055105807955,9.683419227600098,0.317212953633,-5.55111512313e-17,440.25,0.4651515483856201,0.0,14.5844,0.0,14.5588,800,9.635881185531616,0.923312,-0.00653254240751,726.2012767791748,795.160321885,18.057163953781128,1900.0,0.4402174949645996,2800.0
364.42068753,0.00777004472911,53.17876577377319,-6.98491930962e-10,800,0.921999,145.25,0.09193706512451172,0.00719639775343,2.66852,11.8053719997406,2.67524,0.146395748937,9.771830320358276,0.453088178793,-4.85722573274e-17,703.375,0.4633021354675293,0.0,14.5158,0.0,14.4186,800,9.821968078613281,0.918943,-0.00719639845192,780.7916774749756,907.910298088,18.348865509033203,2000.0,0.45888185501098633,2800.0
199.730717154,0.00761323049664,50.195467472076416,-2.09547579288e-09,800,0.913608,39.625,0.07214927673339844,0.00836820504628,2.65157,12.031869173049927,2.657,0.0849152945959,9.644890546798706,0.301769019828,-3.72528985437e-09,183.375,0.4700169563293457,0.0,14.2535,0.0,14.1763,800,9.125343322753906,0.911126,-0.00836820714176,832.2839214801788,462.937478905,16.35210633277893,1700.0,0.41116786003112793,1900.0
249.045051145,0.00720756174996,48.274142026901245,2.50292941928e-09,800,0.912355,61.25,0.1008291244506836,0.00555244152201,2.64942,10.06539535522461,2.65419,0.103151719495,9.29073977470398,0.4480879324,-3.72528763393e-09,316.75,0.444948673248291,0.0,14.2134,0.0,14.1458,800,9.166736841201782,0.910191,-0.00555243901908,882.0431990623474,691.082077253,16.509517669677734,1600.0,0.41662168502807617,2600.0
