0AveragePolicyStd,0PolicyExecTime,LossBefore,0Perplexity,ComputeUpdatedDistTime,1Perplexity,1MaxReturn,0EnvExecTime,0ProcessExecTime,0AverageReturn,ItrTime,1AveragePolicyStd,0NumTrajs,1ExplainedVariance,MeanKLBefore,0MaxReturn,dLoss,MeanKL,0Entropy,Time,1StdReturn,1Entropy,1NumTrajs,1AverageReturn,0StdReturn,0ExplainedVariance,1PolicyExecTime,0MinReturn,LossAfter,1EnvExecTime,1MinReturn,1ProcessExecTime
1.0,46.68497061729431,1.2805685401e-09,17.0795,0.9704325199127197,17.0996,1400.0,20.456891775131226,0.951979398727417,1.66666666667,162.09807443618774,1.00059,1200,0.0529765398798,-6.40284103515e-10,1000.0,0.00403670163359,0.00574405677617,2.83788,162.09806895256042,47.3682383037,2.83906,1200,2.5,40.7907941684,0.0219196649221,64.88541102409363,0.0,-0.00403670035303,21.417984008789062,0.0,0.9619107246398926
1.0039,39.744964838027954,-1.16415321827e-10,17.2126,0.0888679027557373,17.2034,1300.0,21.102774620056152,1.0053865909576416,1.25,143.88652420043945,1.00364,1200,0.0490467714846,2.03726990833e-09,700.0,0.00180554960389,0.00592817179859,2.84564,308.5890588760376,47.9350689301,2.84511,1200,3.25,24.6327187564,0.0295845300307,51.27592945098877,0.0,-0.0018055497203,23.09984278678894,0.0,1.0234229564666748
0.997058,31.45317506790161,2.32830643654e-10,16.9781,0.1879730224609375,16.9632,1700.0,22.069608211517334,1.057565689086914,6.41666666667,142.03506755828857,0.996621,1200,0.103604558614,-1.16415793672e-10,1400.0,0.00679907132871,0.00831340346485,2.83192,453.1862063407898,116.404437439,2.83105,1200,16.5833333333,77.8919746972,0.0470320424419,58.05097246170044,0.0,-0.00679907109588,22.68722367286682,0.0,1.0183520317077637
0.997154,43.729008436203,4.65661287308e-10,16.9805,0.15744495391845703,16.9745,2100.0,22.902191638946533,1.1361994743347168,22.25,160.0316469669342,0.996998,1200,0.160819503636,3.49246231934e-09,1600.0,0.00627410365269,0.00979199074209,2.83207,615.9578995704651,249.302346002,2.83171,1200,59.9166666667,144.210277604,0.0888323945292,59.44488453865051,0.0,-0.00627410318702,24.96244215965271,0.0,1.227802038192749
0.989518,42.53510904312134,-1.86264514923e-09,16.722,0.12531828880310059,16.7453,2200.0,22.340314149856567,1.0861518383026123,33.8333333333,149.12533164024353,0.990208,1200,0.307952553933,-1.0477396728e-09,1900.0,0.00866703316569,0.00814934819937,2.81672,768.4845049381256,482.223085477,2.81812,1200,207.25,176.885948817,0.0747211483885,53.48959183692932,0.0,-0.00866703502834,22.69501519203186,0.0,1.0444550514221191
0.980009,37.179757595062256,-4.65661287308e-10,16.402,0.25623106956481934,16.3277,2600.0,22.32977056503296,1.034550666809082,49.9166666667,147.6144618988037,0.97779,1200,0.388266755859,1.16415421747e-09,1800.0,0.00999129237607,0.00821417756379,2.7974,918.7905924320221,637.507625227,2.79286,1200,349.166666667,219.696744906,0.085537690952,57.05133104324341,0.0,-0.00999129284173,23.34002137184143,0.0,1.0510008335113525
0.969119,38.54734492301941,-6.98491930962e-10,16.0396,0.1650247573852539,15.9784,2700.0,22.583468198776245,1.0896198749542236,42.1666666667,156.3851490020752,0.967288,1200,0.429470913259,9.31322130526e-09,1700.0,0.00901484047063,0.00795773137361,2.77506,1077.8577389717102,737.877511666,2.77124,1200,430.333333333,193.963842564,0.0613477054241,64.64429926872253,0.0,-0.00901484116912,22.394871950149536,0.0,1.0300962924957275
0.961054,38.254860162734985,-6.98491930962e-10,15.7731,0.18259978294372559,15.6738,2600.0,22.52672290802002,1.1054768562316895,54.6666666667,159.4390344619751,0.958026,1200,0.455116659735,-1.72294676304e-08,1800.0,0.00941790011711,0.00734025752172,2.7583,1240.622845172882,814.857025632,2.75199,1200,538.833333333,218.39159528,0.0541708654415,65.7225251197815,0.0,-0.00941790081561,24.667800426483154,0.0,1.235410213470459
0.951133,41.657710790634155,-1.62981450558e-09,15.4497,0.12368392944335938,15.407,2800.0,24.04726243019104,1.2746024131774902,64.25,161.27505683898926,0.949834,1200,0.499693164336,-9.31322241549e-10,1700.0,0.00932590686716,0.00761377625167,2.73759,1404.6597273349762,950.053668075,2.73482,1200,762.833333333,245.214744323,0.0687238827936,62.792338371276855,0.0,-0.00932590849698,24.022297382354736,0.0,1.154332160949707
0.937303,33.60965013504028,4.65661287308e-10,15.0045,0.16919183731079102,15.0546,2900.0,22.804545879364014,1.133542776107788,65.4166666667,151.4702913761139,0.938889,1200,0.495698886916,2.04890948652e-08,1700.0,0.0111439055763,0.00750345457345,2.70835,1558.8266055583954,972.149379811,2.71168,1200,781.5,243.027419006,0.0612036099834,62.66319441795349,0.0,-0.0111439051107,23.027214765548706,0.0,1.0895178318023682
