1AveragePolicyStd,0MinReturn,0ExplainedVariance,0AverageReturn,0NumTrajs,1ExplainedVariance,0EnvExecTime,ItrTime,1Perplexity,LossAfter,1PolicyExecTime,dLoss,0ProcessExecTime,1ProcessExecTime,0Entropy,0MaxReturn,1MinReturn,LossBefore,MeanKL,1StdReturn,1AverageReturn,0Perplexity,MeanKLBefore,1NumTrajs,0StdReturn,1MaxReturn,0PolicyExecTime,1Entropy,Time,0AveragePolicyStd,1EnvExecTime,ComputeUpdatedDistTime
0.999847,0.0,0.0749488129252,338.2,2000,0.0850915778472,151.14317989349365,744.8688242435455,17.0742,-0.002446975559,236.34034490585327,0.0024469763739,5.910147190093994,5.853275537490845,2.83788,19100.0,0.0,8.14907252789e-10,0.00891133677214,1707.6619074,399.1,17.0794,2.67027866485e-09,2000,1551.01281748,15500.0,147.75796604156494,2.83757,744.8688228130341,1.0,155.3399682044983,1.1372289657592773
0.99759,0.0,0.0817160827541,417.05,2000,0.092819458733,172.3152527809143,923.7983615398407,16.9971,-0.000143193086842,317.73744797706604,0.000143191660754,6.459306478500366,7.944939851760864,2.83275,15200.0,0.0,-1.42608769238e-09,0.0020756283775,1930.81456321,437.15,16.9922,1.04774056098e-09,2000,1671.27923983,17800.0,168.97279405593872,2.83304,1672.9539911746979,0.99745,221.777184009552,0.2958064079284668
0.998705,0.0,0.0689146240916,364.7,2000,0.0818349267032,216.1871953010559,1030.9591853618622,17.0348,-0.00237526535057,334.5685498714447,0.00237526459387,7.850244522094727,8.301426410675049,2.83481,17500.0,0.0,-7.56699591875e-10,0.00886674318463,1851.71389799,424.2,17.0271,2.32827743196e-10,2000,1614.73957962,18800.0,202.34860396385193,2.83526,2707.897160768509,0.998475,233.7612771987915,0.3091275691986084
0.995142,0.0,0.101574978828,534.25,2000,0.0819172105167,218.20015120506287,997.812314748764,16.9137,-0.00221451930702,313.3699514865875,0.00221451831021,8.160615682601929,7.991032361984253,2.82889,16900.0,0.0,-9.96806193143e-10,0.00977396871895,1579.90614911,371.6,16.9266,-5.82074610733e-10,2000,2002.57632501,16100.0,203.12419986724854,2.82812,3709.955447435379,0.99552,218.86497235298157,0.31490349769592285
0.995114,0.0,0.0768988806032,416.9,2000,0.0896805891414,217.11500597000122,985.3940315246582,16.9127,-0.00283208768815,308.05804347991943,0.00283208566543,8.160274505615234,7.860808610916138,2.82853,13900.0,0.0,-2.02271621674e-09,0.00940046645701,1997.5187108,547.0,16.9206,-2.21188822813e-09,2000,1684.79505875,18600.0,202.59697556495667,2.82806,4699.222360372543,0.995344,214.25915575027466,0.26848530769348145
1.00088,0.0,0.103922643906,535.35,2000,0.0922575887995,174.41757726669312,833.5604991912842,17.1092,-0.00196531484835,270.04077553749084,0.00196531381516,6.835362672805786,7.0651633739471436,2.83936,17500.0,0.0,-1.03318598121e-09,0.00668530259281,2008.10236542,556.7,17.1048,-6.40284048004e-10,2000,1981.92466494,16000.0,160.778489112854,2.83961,5537.010126829147,1.00075,187.8875241279602,0.3021998405456543
0.999648,0.0,0.0889708221411,504.65,2000,0.0955852210725,185.25390481948853,840.9777102470398,17.067,-0.00261250277981,260.34748363494873,0.00261250231415,7.306794166564941,6.8007378578186035,2.84055,15900.0,0.0,-4.65661287308e-10,0.00977826211601,2241.35623619,604.15,17.1252,-1.36205926538e-08,2000,1913.41145013,18600.0,175.00920844078064,2.83715,6382.531346797943,1.00135,178.2261838912964,0.2732868194580078
1.00128,0.0,0.0817944116074,566.75,2000,0.0953115244386,189.56359314918518,904.3105590343475,17.1226,-0.00248622754589,312.0646390914917,0.00248622801882,7.3873045444488525,7.136290788650513,2.84065,17900.0,0.0,4.72937244922e-10,0.0092342402786,2208.71141109,620.95,17.1269,-1.18743477273e-08,2000,2077.12046774,20100.0,175.58310747146606,2.8404,7290.859184741974,1.0014,184.44296956062317,0.4339146614074707
1.00464,0.0,0.0953598587866,633.9,2000,0.101665939602,190.11534428596497,873.7803297042847,17.2372,-0.00303730787709,268.2573502063751,0.00303730726591,7.3297765254974365,6.967886924743652,2.84653,18300.0,0.0,-6.11180439591e-10,0.00951329059899,2299.61064313,671.7,17.2279,-1.47847698528e-08,2000,2205.56359917,18500.0,187.28538846969604,2.84707,8168.889498710632,1.00436,185.99946928024292,0.26747679710388184
1.00652,0.0,0.0908947301214,565.0,2000,0.102413280475,200.09593677520752,913.2578821182251,17.3021,-0.00197567604482,286.61300826072693,0.00197567731811,7.622493028640747,7.282919406890869,2.85147,18100.0,0.0,1.27329258248e-09,0.00992712471634,2374.37860292,712.5,17.3131,-1.16415022067e-09,2000,2062.31544629,20800.0,187.13160967826843,2.85083,9086.196659088135,1.00684,196.90338134765625,0.2727653980255127
