2017-08-15 18:25:39.977292 PDT | [onesNoise_seed80] itr #0 | Sampling set of tasks/goals for this meta-batch...
2017-08-15 18:25:39.981368 PDT | [onesNoise_seed80] itr #0 | ** Step 0 **
2017-08-15 18:25:39.982389 PDT | [onesNoise_seed80] itr #0 | Obtaining samples...
2017-08-15 18:25:39.985524 PDT | [onesNoise_seed80] itr #0 | Obtaining samples for iteration 0...
2017-08-15 18:25:52.492963 PDT | [onesNoise_seed80] itr #0 | Sampling set of tasks/goals for this meta-batch...
2017-08-15 18:25:52.493664 PDT | [onesNoise_seed80] itr #0 | ** Step 0 **
2017-08-15 18:25:52.494049 PDT | [onesNoise_seed80] itr #0 | Obtaining samples...
2017-08-15 18:25:52.494401 PDT | [onesNoise_seed80] itr #0 | Obtaining samples for iteration 0...
2017-08-15 18:37:21.696573 PDT | [onesNoise_seed80] itr #0 | Processing samples...
2017-08-15 18:37:22.691618 PDT | [onesNoise_seed80] itr #0 | Processing samples...
2017-08-15 18:37:23.278701 PDT | [onesNoise_seed80] itr #0 | fitting baseline...
2017-08-15 18:37:23.732479 PDT | [onesNoise_seed80] itr #0 | fitted
2017-08-15 18:37:24.405284 PDT | [onesNoise_seed80] itr #0 | Logging diagnostics...
2017-08-15 18:37:24.428757 PDT | [onesNoise_seed80] itr #0 | Computing policy updates...
2017-08-15 18:37:24.484107 PDT | [onesNoise_seed80] itr #0 | fitting baseline...
2017-08-15 18:37:25.013420 PDT | [onesNoise_seed80] itr #0 | fitted
2017-08-15 18:37:25.828041 PDT | [onesNoise_seed80] itr #0 | Logging diagnostics...
2017-08-15 18:37:25.859463 PDT | [onesNoise_seed80] itr #0 | Computing policy updates...
2017-08-15 18:37:26.407588 PDT | [onesNoise_seed80] itr #0 | ** Step 1 **
2017-08-15 18:37:26.407883 PDT | [onesNoise_seed80] itr #0 | Obtaining samples...
2017-08-15 18:37:26.408211 PDT | [onesNoise_seed80] itr #0 | Obtaining samples for iteration 0...
2017-08-15 18:37:27.453930 PDT | [onesNoise_seed80] itr #0 | ** Step 1 **
2017-08-15 18:37:27.457071 PDT | [onesNoise_seed80] itr #0 | Obtaining samples...
2017-08-15 18:37:27.460673 PDT | [onesNoise_seed80] itr #0 | Obtaining samples for iteration 0...
2017-08-15 18:50:49.906442 PDT | [onesNoise_seed80] itr #0 | Processing samples...
2017-08-15 18:50:50.552174 PDT | [onesNoise_seed80] itr #0 | fitting baseline...
2017-08-15 18:50:50.788933 PDT | [onesNoise_seed80] itr #0 | fitted
2017-08-15 18:50:51.132981 PDT | [onesNoise_seed80] itr #0 | Logging diagnostics...
2017-08-15 18:50:51.150534 PDT | [onesNoise_seed80] itr #0 | Optimizing policy...
2017-08-15 18:50:51.150940 PDT | [onesNoise_seed80] itr #0 | Computing KL before
2017-08-15 18:50:51.469325 PDT | [onesNoise_seed80] itr #0 | Computing loss before
2017-08-15 18:51:04.187522 PDT | [onesNoise_seed80] itr #0 | Processing samples...
2017-08-15 18:51:04.947013 PDT | [onesNoise_seed80] itr #0 | fitting baseline...
2017-08-15 18:51:05.168798 PDT | [onesNoise_seed80] itr #0 | fitted
2017-08-15 18:51:05.495369 PDT | [onesNoise_seed80] itr #0 | Logging diagnostics...
2017-08-15 18:51:05.510263 PDT | [onesNoise_seed80] itr #0 | Optimizing policy...
2017-08-15 18:51:05.510508 PDT | [onesNoise_seed80] itr #0 | Computing KL before
2017-08-15 18:51:05.797325 PDT | [onesNoise_seed80] itr #0 | Computing loss before
2017-08-15 18:51:06.085665 PDT | [onesNoise_seed80] itr #0 | Optimizing
2017-08-15 18:51:06.108966 PDT | [onesNoise_seed80] itr #0 | Start CG optimization: #parameters: 1412, #inputs: 150000, #subsample_inputs: 150000
2017-08-15 18:51:06.109174 PDT | [onesNoise_seed80] itr #0 | computing loss before
2017-08-15 18:51:06.325365 PDT | [onesNoise_seed80] itr #0 | performing update
2017-08-15 18:51:06.325553 PDT | [onesNoise_seed80] itr #0 | computing gradient
