MaxKL,LossAfter,Perplexity,TotalExecTime,Entropy,StdReturn,AverageReturn,Time,NumTrajs,LossBefore,ExplainedVariance,AveragePolicyStd,MaxReturn,MinReturn,MeanKL,ItrTime
15.8722,0.0854557,17.0795,34.78107523918152,2.83788,271.10698995,51.0,35.166255950927734,200,-0.0026269,0.56649286877,1.0,2500.0,0.0,0.293577,35.16626000404358
0.106669,0.00860514,17.0347,34.78609037399292,2.83525,717.03399501,303.5,70.23590779304504,200,0.0129978,0.736029663782,0.998688,2700.0,0.0,0.0052486,35.05735540390015
1.93159,-0.00893278,17.1457,34.80508208274841,2.84175,726.973005001,360.5,105.47814702987671,200,0.00735167,0.66024179032,1.00194,2700.0,0.0,0.0220771,35.23274493217468
0.293486,-0.0174242,17.2089,33.24083065986633,2.84542,813.075027288,397.0,139.009206533432,200,-0.0117563,0.744506897912,1.00378,2800.0,0.0,0.010044,33.52666425704956
0.504087,-0.0149039,17.108,34.212886810302734,2.83955,860.19997675,466.0,173.5078489780426,200,0.00121102,0.739936059555,1.00084,2800.0,0.0,0.0246561,34.485859870910645
0.177976,-0.0287071,17.1184,34.04748845100403,2.84015,893.184751325,511.0,207.87866830825806,200,-0.0229036,0.692524581968,1.00114,2800.0,0.0,0.00760312,34.35521674156189
0.228046,-0.00586266,16.9235,34.73176026344299,2.8287,1015.57865279,720.0,242.90570425987244,200,0.00163897,0.756299693653,0.995427,2800.0,0.0,0.00941464,35.01071739196777
0.142329,-0.0233389,16.9373,33.782363176345825,2.82952,995.505399282,713.0,276.93110704421997,200,-0.0173795,0.744415800185,0.995836,2800.0,0.0,0.00774377,34.00710320472717
0.0401374,-0.0203394,16.7908,34.49036693572998,2.82083,953.792299193,630.5,311.6304383277893,200,-0.0172194,0.737150881098,0.991521,2900.0,0.0,0.00321137,34.69272708892822
0.100008,-0.00470962,16.6469,34.30016899108887,2.81222,964.764738162,723.0,346.20096158981323,200,-0.000771908,0.721807521794,0.987255,2800.0,0.0,0.00498632,34.56452822685242
1.66242,-0.0366616,16.6404,36.28563117980957,2.81183,998.829189602,765.5,382.8470470905304,200,-0.00151336,0.734868357773,0.987065,2800.0,0.0,0.0631605,36.63111186027527
0.119241,-0.00325674,16.6278,34.50912022590637,2.81108,1058.44225161,1050.0,417.64935755729675,200,0.002456,0.778346966163,0.986691,2800.0,0.0,0.00986713,34.78647208213806
0.0519612,-0.0241351,16.6483,34.96819543838501,2.81231,1049.09186919,1007.5,452.9541275501251,200,-0.0209281,0.745320124779,0.987296,2800.0,0.0,0.00460486,35.29110932350159
0.175891,-0.0187852,16.475,35.29779529571533,2.80184,1045.497011,1106.0,488.5913200378418,200,-0.00876317,0.726926934934,0.982146,2900.0,0.0,0.017999,35.62013626098633
63.4624,-0.64671,16.4029,34.33814191818237,2.79746,1028.54642579,1418.5,523.2824575901031,200,-0.0171097,0.700547220159,0.980015,2900.0,0.0,0.41937,34.68141412734985
1.96421,-0.0204548,16.2632,34.47343707084656,2.78891,988.493677269,1594.5,557.9475848674774,200,0.00318389,0.738439614686,0.975818,2900.0,0.0,0.0483261,34.65411400794983
5.65474,-0.0345524,16.2891,33.497700691223145,2.7905,893.649679684,1859.5,591.6940524578094,200,-0.00096802,0.776429244971,0.976593,2900.0,0.0,0.0697689,33.73880219459534
0.525872,-0.0361935,16.2812,34.59957194328308,2.79001,680.581369125,2103.0,626.5960791110992,200,-0.025156,0.839140687894,0.97637,2900.0,0.0,0.0233892,34.885109424591064
0.21293,-0.0329395,16.0777,34.38746905326843,2.77744,607.706960632,2206.5,661.314380645752,200,-0.0219035,0.878331716245,0.970243,2900.0,0.0,0.0255573,34.70910143852234
0.882186,-0.0402119,15.9026,35.19892477989197,2.76648,460.442993214,2293.5,696.8099210262299,200,-0.0303222,0.92008557941,0.964997,2900.0,200.0,0.0245993,35.47346639633179
0.169155,-0.0325789,15.6633,34.67308521270752,2.75132,397.919275733,2389.5,731.8035318851471,200,-0.0242027,0.946739221347,0.957742,2900.0,0.0,0.016556,34.98894643783569
0.328674,-0.0459913,15.4749,34.62109041213989,2.73922,375.432750303,2400.5,766.8434545993805,200,-0.0367721,0.942656655657,0.951983,2900.0,0.0,0.0271987,35.02553415298462
0.634657,-0.0409992,15.193,35.003798723220825,2.72083,309.354165965,2470.0,802.1263399124146,200,-0.0276351,0.964553374222,0.943275,2900.0,1100.0,0.047354,35.262277364730835
0.253043,-0.0409468,14.9845,34.57970714569092,2.70702,258.800598917,2508.5,837.0902276039124,200,-0.0306489,0.975274393486,0.936837,2900.0,1000.0,0.0271309,34.93861508369446
0.865726,-0.0506926,14.7566,35.99930477142334,2.69169,237.755651878,2541.5,873.3542373180389,200,-0.0382769,0.976962292799,0.929648,2900.0,1400.0,0.0349705,36.247880697250366
0.249209,-0.040616,14.4769,35.70300817489624,2.67255,185.762617337,2593.5,909.4107389450073,200,-0.0361966,0.987581935666,0.920873,2900.0,1800.0,0.0131902,36.05371451377869
0.647795,-0.0100204,14.2173,35.38944339752197,2.65446,178.818343578,2582.0,945.1755526065826,200,-0.00571406,0.989163182513,0.912645,2900.0,2000.0,0.0181355,35.74224400520325
0.353332,-0.0518356,14.1767,33.34381365776062,2.6516,179.663574494,2589.0,978.8464181423187,200,-0.0449311,0.986937043559,0.911398,2900.0,1900.0,0.026899,33.659918785095215
0.179974,-0.0308946,13.8618,35.07266330718994,2.62913,165.056808402,2602.5,1014.2004904747009,200,-0.0248685,0.989101834155,0.9012,2900.0,1900.0,0.0197308,35.33765387535095
1.30533,0.00170222,13.6905,33.61954474449158,2.6167,133.007518584,2653.0,1048.1418974399567,200,0.00814369,0.993819129072,0.895569,2900.0,2200.0,0.0456812,33.93107724189758
0.553072,-0.0370734,13.7463,35.69321656227112,2.62077,143.788038445,2635.0,1084.1492178440094,200,-0.0310723,0.992595996801,0.897304,2900.0,2100.0,0.0174682,35.99345111846924
