AverageReturn,LossBefore,MaxKL,MaxReturn,Time,LossAfter,Perplexity,AveragePolicyStd,ExplainedVariance,TotalExecTime,StdReturn,ItrTime,Entropy,MeanKL,MinReturn,NumTrajs
53.5,0.00760245,0.502284,1800.0,32.906538009643555,-0.000600897,17.0795,1.0,0.418592540912,32.627384662628174,235.558379176,32.90654468536377,2.83788,0.0245566,0.0,200
115.0,-0.0181486,0.26696,2300.0,67.27925205230713,-0.0215296,17.2098,1.00381,0.626103300167,34.032222270965576,397.334871362,34.365912199020386,2.84548,0.0135267,0.0,200
150.0,-0.011676,5.1439,2700.0,102.54991507530212,-0.0296,17.0544,0.999264,0.639242540207,34.85142493247986,496.689037528,35.25553607940674,2.83641,0.0779043,0.0,200
339.0,0.00316875,0.196068,2800.0,135.63497018814087,-0.00193283,16.9551,0.996355,0.705300384081,32.816839933395386,747.247616256,33.072375535964966,2.83057,0.00483142,0.0,200
244.5,-0.00933675,0.107968,2800.0,171.43090343475342,-0.0120469,16.982,0.997145,0.708117497601,35.43197703361511,634.720213953,35.777570486068726,2.83215,0.00250811,0.0,200
408.0,-0.0144349,1.15373,3000.0,206.80910849571228,-0.0378515,16.9029,0.994823,0.72300664781,35.01036620140076,815.865184942,35.359803915023804,2.82748,0.0512022,0.0,200
475.0,-0.0162854,0.233439,2700.0,241.36980652809143,-0.0276163,16.7813,0.991238,0.721788877506,34.20830464363098,829.683674662,34.546319246292114,2.82027,0.0155953,0.0,200
655.5,-0.00639769,0.220584,2900.0,275.9032723903656,-0.0136608,16.6452,0.987207,0.737558914969,34.150413513183594,993.664807669,34.5102174282074,2.81212,0.00851231,0.0,200
629.0,-0.00905049,0.0536034,2800.0,311.770268201828,-0.011898,16.5921,0.98563,0.768154652758,35.56734538078308,965.276644284,35.847620248794556,2.80892,0.00339384,0.0,200
597.5,0.00238931,4.8818,2800.0,346.98730850219727,-0.0565171,16.5171,0.983405,0.721747537626,34.858476638793945,960.64756805,35.19419026374817,2.8044,0.0786957,0.0,200
883.5,-0.0110051,0.038,2900.0,384.13930654525757,-0.0134829,16.5369,0.983988,0.75469271934,36.73566722869873,1066.94786658,37.12960195541382,2.80559,0.00124109,0.0,200
964.5,-0.00593421,0.157101,2900.0,420.86345195770264,-0.0122585,16.4461,0.981285,0.737317413117,36.35010886192322,1102.58321681,36.708247661590576,2.80009,0.00731125,0.0,200
951.0,-0.0173773,0.174077,2900.0,457.81415009498596,-0.0219243,16.3974,0.97983,0.730113196849,36.52822160720825,1044.55684383,36.93539571762085,2.79712,0.00657379,0.0,200
968.5,-0.0126875,0.153676,2900.0,493.8971002101898,-0.0188027,16.2556,0.975582,0.710227836754,35.69902443885803,1079.28575919,36.06629729270935,2.78844,0.0113387,0.0,200
1113.5,-0.0147307,0.143578,2900.0,530.3314020633698,-0.0181772,16.1528,0.972493,0.742505944218,36.01708126068115,1069.65777237,36.419997692108154,2.78209,0.00293297,0.0,200
1108.5,0.00509713,0.179646,2800.0,566.4007470607758,0.00148011,16.0342,0.968924,0.736386098358,35.6345157623291,1071.81050097,36.057851791381836,2.77473,0.0054973,0.0,200
1194.0,-0.0248471,0.769796,2900.0,602.4588711261749,-0.0404422,16.0752,0.970163,0.705599936244,35.6271333694458,1033.42343693,36.04894495010376,2.77727,0.033186,0.0,200
1460.5,-0.0171717,0.256328,2900.0,638.3114380836487,-0.023269,15.8767,0.96417,0.734262725152,35.54384660720825,1044.6002824,35.83935546875,2.76485,0.0112171,0.0,200
1436.5,-0.0208723,0.11238,2900.0,673.8716185092926,-0.026173,15.7409,0.960064,0.719781300614,35.16252875328064,975.252659571,35.543365478515625,2.75626,0.00764224,0.0,200
1721.0,-0.0186316,0.0757086,3000.0,709.7664179801941,-0.0235921,15.5775,0.955094,0.755026658355,35.491819858551025,891.604733052,35.882545948028564,2.74583,0.00734484,0.0,200
1704.5,-0.00516943,0.212071,2900.0,744.7999157905579,-0.0151639,15.4331,0.950652,0.762138396185,34.59763717651367,951.48817649,35.020575284957886,2.73651,0.0204176,0.0,200
