Perplexity,MaxReturn,AverageReturn,NumTrajs,LossAfter,ExplainedVariance,Entropy,MaxKL,ItrTime,LossBefore,MeanKL,Time,AveragePolicyStd,StdReturn,MinReturn,TotalExecTime
17.0795,2300.0,611.5,200,-0.0347704,0.592637587515,2.83788,0.66951,38.60546517372131,-0.0127379,0.0582867,38.6054584980011,1.0,729.94366221,0.0,38.25422739982605
16.8633,2700.0,893.0,200,-0.0201696,0.658111810477,2.82514,0.122694,38.10084867477417,-0.0118869,0.0100709,76.7251307964325,0.993683,863.742438462,0.0,37.61211585998535
16.7634,2800.0,949.5,200,-0.00292793,0.733175137346,2.8192,0.435847,38.09926509857178,0.00550633,0.0156263,114.83921909332275,0.990784,911.811246915,0.0,37.673842430114746
16.8096,2900.0,1241.5,200,-0.0325319,0.741577516329,2.82195,0.246968,38.472986698150635,-0.0200332,0.0211125,153.33102297782898,0.992125,959.701906844,0.0,38.02618217468262
16.642,2800.0,1284.0,200,-0.02505,0.77613031061,2.81193,0.105681,37.576716899871826,-0.0175448,0.0117157,190.9265809059143,0.98715,976.290940243,0.0,37.15012574195862
16.4967,3000.0,1505.5,200,-0.0164751,0.780101796967,2.80316,0.105086,38.296961545944214,-0.011785,0.00680005,229.24357986450195,0.982827,961.623497009,0.0,37.854166746139526
16.3998,2800.0,1550.5,200,-0.042616,0.803252726961,2.79727,0.12453,37.24140954017639,-0.036337,0.0093643,266.4979176521301,0.979961,945.039549437,0.0,36.81606960296631
16.1045,2900.0,1653.0,200,-0.00867354,0.793348425567,2.7791,0.31858,42.00661873817444,-0.00203609,0.01572,308.5188443660736,0.971118,966.328619053,0.0,41.71781659126282
16.0881,2900.0,1705.0,200,-0.0194663,0.812684697114,2.77808,0.274643,38.17652869224548,-0.0104954,0.0188749,346.7129783630371,0.970679,944.179538012,0.0,37.86827278137207
16.0039,2900.0,1900.5,200,-0.0444298,0.837605228056,2.77283,0.46487,38.57258677482605,-0.030271,0.0281484,385.30761528015137,0.968216,831.173718304,0.0,38.230430364608765
15.7635,2900.0,2019.0,200,-0.0401644,0.848506929262,2.7577,0.367554,38.999539852142334,-0.0298485,0.0177781,424.3264698982239,0.960864,724.664750074,0.0,38.598260164260864
15.53,2900.0,2148.0,200,-0.0308946,0.885891221658,2.74277,0.338938,38.87375450134277,-0.0158172,0.038712,463.22304677963257,0.953738,608.437342707,0.0,38.486178398132324
15.4077,2900.0,2348.5,200,-0.0475034,0.948850406128,2.73486,0.224352,40.40440392494202,-0.0369495,0.0251662,503.6379671096802,0.95,391.021418851,600.0,39.94937229156494
15.1256,2900.0,2420.0,200,-0.0329579,0.951964914196,2.71639,0.125533,38.506335973739624,-0.0260345,0.0142495,542.1608111858368,0.941265,355.808937493,600.0,38.097915172576904
14.93,2900.0,2412.5,200,-0.03402,0.945293797838,2.70337,11.0962,38.65620040893555,-0.0273393,0.069142,580.8305084705353,0.935112,407.668676746,400.0,38.22295594215393
14.7273,2900.0,2483.0,200,-0.027378,0.970059313014,2.6897,0.508677,38.387047290802,-0.0186703,0.0265868,619.2277810573578,0.928761,296.160429497,1200.0,37.94677257537842
14.5905,2900.0,2514.0,200,-0.0518438,0.976299808034,2.68037,5.14923,38.212064266204834,-0.0314905,0.078997,657.4523212909698,0.924455,273.868581623,1400.0,37.892807483673096
14.3625,2900.0,2554.5,200,-0.0426583,0.984412814972,2.66462,0.102537,39.12383270263672,-0.0365279,0.00720164,696.5903582572937,0.91724,193.338433841,1800.0,38.545350313186646
14.1026,3000.0,2596.0,200,-0.0375447,0.986246693563,2.64636,0.27721,39.52750611305237,-0.031241,0.0164208,736.1645448207855,0.908924,190.745904281,1800.0,39.129125356674194
13.884,2900.0,2601.5,200,-0.0278011,0.989159041596,2.63074,1.53995,47.26564359664917,-0.0192272,0.0282417,783.4468104839325,0.901922,166.576558975,1800.0,46.82604360580444
13.7512,2900.0,2616.5,200,-0.0262696,0.991163695013,2.62112,0.331557,38.587432861328125,-0.020322,0.0190512,822.0467641353607,0.897508,157.409497807,2100.0,38.173600912094116
13.6122,2900.0,2611.0,200,-0.0271691,0.989727382697,2.61096,0.319604,38.73735332489014,-0.019319,0.0248737,860.8008961677551,0.893006,165.466008594,1900.0,38.26333284378052
13.4813,3000.0,2631.5,200,-0.0272685,0.991403284647,2.6013,0.421572,38.50079941749573,-0.0220935,0.0187354,899.3224649429321,0.888717,153.810760352,2000.0,38.06413006782532
13.3332,2900.0,2631.5,200,-0.0356979,0.992084558604,2.59026,0.270981,38.036067724227905,-0.0251507,0.016022,937.3714601993561,0.883758,145.800377229,2100.0,37.598227977752686
13.1666,2900.0,2645.5,200,-0.0334369,0.992327211782,2.57768,1.35422,41.713165521621704,-0.0272812,0.0325062,979.0984299182892,0.878254,142.055446921,2100.0,41.39192223548889
12.9882,3000.0,2647.0,200,-0.00918398,0.99361133008,2.56404,0.207393,36.95483422279358,-0.00528532,0.0161365,1016.0675020217896,0.872325,133.007518584,2200.0,36.662503242492676
12.9539,2900.0,2648.0,200,-0.0216202,0.993688835975,2.5614,0.719418,36.96516227722168,-0.0159277,0.0202833,1053.0544319152832,0.871068,132.27244611,2300.0,36.70937395095825
12.8512,2900.0,2672.0,200,-0.0274047,0.993620453658,2.55344,0.597444,35.467472553253174,-0.0223266,0.0192571,1088.5407936573029,0.867627,138.260623462,2000.0,35.09215497970581
12.7085,2900.0,2670.0,200,-0.0191531,0.994545230497,2.54227,1.76863,35.4753782749176,-0.00522735,0.0730562,1124.0424942970276,0.862772,128.452325787,2300.0,35.16942763328552
12.6753,3000.0,2661.0,200,-0.0114867,0.994374657015,2.53966,0.649415,36.14417600631714,-0.0060065,0.0227699,1160.1937878131866,0.86169,118.232821162,2300.0,35.84009671211243
12.6373,3000.0,2666.5,200,-0.0236268,0.993765433899,2.53666,1.4487,33.356499910354614,-0.0123657,0.0847127,1193.5633232593536,0.86036,128.948633184,2100.0,33.108474254608154
12.5594,2900.0,2669.0,200,-0.0237933,0.994536104472,2.53047,1.13444,35.3057656288147,-0.0114455,0.0788232,1228.8932814598083,0.857721,118.486286126,2300.0,34.99563264846802
12.4878,3000.0,2670.5,200,-0.0180121,0.994137624378,2.52475,0.670058,35.39079666137695,-0.0117852,0.0154907,1264.3139779567719,0.855303,131.452462891,2300.0,35.15204191207886
12.4144,3000.0,2672.0,200,-0.0325475,0.994217908624,2.51886,0.347779,32.767378091812134,-0.0276392,0.0187016,1297.1132185459137,0.852781,124.963994815,2400.0,32.50991988182068
12.244,3000.0,2679.0,200,-0.0341528,0.994672520305,2.50504,19.5852,34.54625701904297,-0.0130825,0.233289,1331.6796526908875,0.846907,114.712684565,2300.0,34.31907534599304
12.1642,3000.0,2685.5,200,-0.0933545,0.994397811503,2.4985,24.9078,35.23482322692871,-0.0177817,0.311437,1366.936625957489,0.84407,124.658533603,2300.0,34.969534397125244
