Entropy,Perplexity,StdReturn,AveragePolicyStd,MaxReturn,MinReturn,LossAfter,ExplainedVariance,LossBefore,NumTrajs,ItrTime,MaxKL,MeanKL,TotalExecTime,AverageReturn,Time
2.83788,17.0795,0.0,1.0,0.0,0.0,-0.0,1,-0.0,200,34.415518045425415,0.0,0.0,34.00336313247681,0.0,34.41551351547241
2.83788,17.0795,0.0,1.0,0.0,0.0,-0.0,1,-0.0,200,33.83005619049072,0.0,0.0,33.5337176322937,0.0,68.25578212738037
2.83788,17.0795,0.0,1.0,0.0,0.0,-0.0,1,-0.0,200,33.98339915275574,0.0,0.0,33.62202858924866,0.0,102.24744534492493
2.83788,17.0795,14.1067359797,1.0,200.0,0.0,0.000492482,0.0832253421919,0.00553441,200,34.647560119628906,0.0504094,0.00328973,34.32821846008301,1.0,136.90589118003845
2.84064,17.1268,0.0,1.00139,0.0,0.0,-0.0,1,-0.0,200,36.60787773132324,0.0,0.0,36.3348913192749,0.0,173.52995371818542
2.84064,17.1268,0.0,1.00139,0.0,0.0,-0.0,1,-0.0,200,36.126301288604736,0.0,0.0,35.75310516357422,0.0,209.6714813709259
2.84064,17.1268,0.0,1.00139,0.0,0.0,-0.0,1,-0.0,200,33.769262075424194,0.0,0.0,33.46495318412781,0.0,243.44542789459229
2.84064,17.1268,42.320207939,1.00139,600.0,0.0,-0.00153995,0.10999405127,0.00180255,200,35.966925859451294,0.0508549,0.00339045,35.66973662376404,3.0,279.4395761489868
2.84155,17.1422,0.0,1.00184,0.0,0.0,-0.0,1,-0.0,200,35.580280780792236,0.0,0.0,35.334580183029175,0.0,315.0426549911499
2.84155,17.1422,42.320207939,1.00184,600.0,0.0,-0.0278893,0.068976712759,-0.027009,200,34.82040882110596,0.00623156,0.000358037,34.608850717544556,3.0,349.8863613605499
2.82804,16.9123,64.8671719747,0.995095,700.0,0.0,0.0116315,0.116195731795,0.0120894,200,37.421783447265625,0.00252572,0.000139862,37.163310527801514,6.5,387.3297083377838
2.83409,17.0148,15.7400762387,0.998108,200.0,0.0,-0.0124451,0.109106678713,-0.00741468,200,34.558069467544556,0.0707136,0.00610604,34.30113124847412,1.5,421.9146273136139
2.83038,16.9519,49.3735759288,0.996259,700.0,0.0,-0.00727573,0.104308389874,-0.00657865,200,33.76789903640747,0.0109286,0.000519732,33.459694623947144,3.5,455.6906409263611
