MeanKL,Time,LossBefore,LossAfter,MaxReturn,Entropy,AverageReturn,Perplexity,ExplainedVariance,TotalExecTime,StdReturn,AveragePolicyStd,MinReturn,NumTrajs,ItrTime,MaxKL
0.0,34.693578481674194,-0.0,-0.0,0.0,2.83788,0.0,17.0795,1,34.32232403755188,0.0,1.0,0.0,200,34.69358444213867,0.0
0.0,67.9462468624115,-0.0,-0.0,0.0,2.83788,0.0,17.0795,1,32.978617668151855,0.0,1.0,0.0,200,33.248159646987915,0.0
0.0,103.58391165733337,-0.0,-0.0,0.0,2.83788,0.0,17.0795,1,35.2162983417511,0.0,1.0,0.0,200,35.620298624038696,0.0
0.0,139.67710781097412,-0.0,-0.0,0.0,2.83788,0.0,17.0795,1,35.82292413711548,0.0,1.0,0.0,200,36.075379610061646,0.0
0.000964408,175.10782432556152,0.002788,0.00163199,100.0,2.83788,0.5,17.0795,0.0816413488177,35.12509250640869,7.05336798983,1.0,0.0,200,35.419071435928345,0.0418393
0.00168519,208.71547675132751,0.00633183,0.00496497,100.0,2.83927,0.5,17.1033,0.145516214708,33.305823802948,7.05336798983,1.0007,0.0,200,33.594350814819336,0.0731495
0.0,241.18343806266785,-0.0,-0.0,0.0,2.84244,0.0,17.1575,1,32.14643621444702,0.0,1.00228,0.0,200,32.44900846481323,0.0
0.00100289,277.6679766178131,0.000385378,-0.000980951,600.0,2.84244,3.0,17.1575,0.0835628341522,36.19114971160889,42.320207939,1.00228,0.0,200,36.4673273563385,0.0137047
0.000384095,314.9926426410675,-0.00478567,-0.00545186,100.0,2.84263,0.5,17.1608,0.0722471155276,37.02110743522644,7.05336798983,1.00238,0.0,200,37.31206154823303,0.01038
0.0,350.06766533851624,-0.0,-0.0,0.0,2.84024,0.0,17.1198,1,34.8072783946991,0.0,1.00119,0.0,200,35.052252531051636,0.0
0.0,385.41370844841003,-0.0,-0.0,0.0,2.84024,0.0,17.1198,1,35.071967363357544,0.0,1.00119,0.0,200,35.32554745674133,0.0
0.00467703,421.93154430389404,-0.00351025,-0.00687683,1300.0,2.84024,9.5,17.1198,0.167988680099,36.15867781639099,98.2840271865,1.00119,0.0,200,36.498549938201904,0.301715
0.000777716,457.36107182502747,-0.0159021,-0.016941,100.0,2.83848,0.5,17.0898,0.0519363381064,35.155975580215454,7.05336798983,1.00031,0.0,200,35.41148066520691,0.010559
0.00123889,491.39249324798584,0.000676733,-0.00262137,1000.0,2.83053,5.5,16.9545,0.0558571834845,33.70981788635254,70.8501940717,0.996337,0.0,200,34.027461767196655,0.0129376
0.000725124,526.7761077880859,-0.00792297,-0.00951172,1300.0,2.83087,17.5,16.9602,0.156403027912,35.08512306213379,136.542118044,0.996522,0.0,200,35.35824465751648,0.0155889
0.00111453,559.6938717365265,0.0104585,0.00864345,1300.0,2.82691,17.5,16.8931,0.150964447396,32.58835554122925,130.934143752,0.994555,0.0,200,32.900238275527954,0.0258585
0.00587377,593.7528607845306,0.0072605,0.00279503,1900.0,2.83214,35.5,16.9817,0.24968749194,33.676496744155884,189.445902569,0.997167,0.0,200,34.040871143341064,0.144662
0.000287962,630.62562251091,-0.0266075,-0.0279868,1500.0,2.83577,48.5,17.0435,0.339432892005,36.563689947128296,226.710718759,0.998996,0.0,200,36.84621524810791,0.00229448
