Perplexity,LossAfter,MeanKL,LossBefore,Time,ItrTime,MaxReturn,NumTrajs,TotalExecTime,MinReturn,MaxKL,StdReturn,AveragePolicyStd,Entropy,AverageReturn,ExplainedVariance
17.0795,-0.0364423,0.142401,-0.00316456,34.41701340675354,34.41701889038086,2500.0,200,34.06670331954956,0.0,5.7204,696.762333942,1.0,2.83788,508.5,0.561411502416
17.0255,-0.0413697,0.0217251,-0.0269012,69.32192254066467,34.9005024433136,2800.0,200,34.46164584159851,0.0,0.38304,937.438531318,0.998428,2.83471,903.0,0.689306428915
16.798,-0.036975,0.0164229,-0.0276704,102.58935570716858,33.260844469070435,2700.0,200,32.99138379096985,0.0,0.297939,934.739402187,0.991728,2.82126,1203.5,0.742328039017
16.5672,-0.0339282,0.0350595,-0.0147725,135.0419316291809,32.422292947769165,2900.0,200,32.10894823074341,0.0,0.43715,992.098281422,0.984892,2.80743,1271.0,0.759535452509
16.4453,-0.0331753,0.0156372,-0.0249311,166.6164526939392,31.56066370010376,2900.0,200,31.283413648605347,0.0,0.451608,971.873963022,0.981264,2.80004,1481.0,0.781613250071
16.2416,-0.0129278,0.02248,-0.00573019,200.56103038787842,33.93060922622681,2900.0,200,33.541499853134155,0.0,0.987037,1000.12986657,0.975167,2.78757,1534.5,0.773782139696
16.1951,-0.0335129,0.0310973,-0.0223553,234.2926423549652,33.711289167404175,2900.0,200,33.46921348571777,0.0,0.820484,929.106560089,0.973806,2.78471,1681.0,0.813802079664
16.0151,-0.0597348,0.0245235,-0.0492058,268.6909325122833,34.38107943534851,2900.0,200,34.10569429397583,0.0,0.280475,795.914411228,0.968377,2.77353,1845.5,0.83171065282
15.6259,-0.0330588,0.0300676,-0.0235938,302.86442160606384,34.157145738601685,2900.0,200,33.913241386413574,0.0,0.861282,648.0,0.956544,2.74893,2086.0,0.863684544132
15.4426,-0.0275554,0.0539365,-0.0123455,336.26692366600037,33.38821530342102,2900.0,200,33.1700553894043,0.0,1.43614,636.10514068,0.950922,2.73713,2195.5,0.893019044732
15.3476,-0.0522616,0.0510582,-0.0369692,370.79093647003174,34.501068353652954,2900.0,200,34.20742440223694,100.0,0.868226,512.970759401,0.947979,2.73096,2269.0,0.921088909986
15.0665,-0.0478279,0.056123,-0.0328843,404.28452610969543,33.47684192657471,2900.0,200,33.19812512397766,0.0,2.50246,463.303086543,0.939237,2.71247,2324.5,0.917862654739
14.8208,-0.0365334,0.0267176,-0.0276497,437.5264916419983,33.2325553894043,2900.0,200,32.94497466087341,1000.0,0.404374,338.207037183,0.931536,2.69603,2454.0,0.956132018737
14.6173,-0.0647948,0.079746,-0.0460361,471.285427570343,33.74913549423218,2900.0,200,33.50084185600281,1400.0,2.59368,275.374290739,0.925118,2.68221,2487.0,0.971355469821
14.2847,-0.0464954,0.0433628,-0.0360044,505.85321521759033,34.55490589141846,2900.0,200,34.28339147567749,1100.0,0.943751,241.63971114,0.914533,2.65919,2564.5,0.974389472034
14.0299,-0.0290533,0.0300744,-0.019844,537.507550239563,31.64317750930786,2900.0,200,31.370211362838745,2000.0,0.521146,169.870538941,0.906344,2.64119,2612.0,0.989239082773
13.8913,-0.0393287,0.0336769,-0.0316329,570.0614013671875,32.53851509094238,3000.0,200,32.31966519355774,1800.0,0.455218,191.467360143,0.901851,2.63127,2609.5,0.987318965492
13.6734,-0.0377733,0.0236938,-0.0281738,602.3921589851379,32.31281399726868,3000.0,200,32.026686906814575,1900.0,0.243987,188.743211798,0.894747,2.61545,2624.0,0.98886816884
13.4821,-0.0243752,0.00808938,-0.0203533,636.2977113723755,33.889572858810425,3000.0,200,33.586450815200806,2000.0,0.432734,146.593826609,0.888475,2.60136,2635.5,0.990677343075
13.3456,-0.0281565,0.0146201,-0.0227436,670.631954908371,34.31845188140869,3000.0,200,34.022764682769775,2000.0,0.573865,139.466841937,0.88397,2.59119,2657.0,0.993268859733
13.1947,-0.0800778,0.121128,-0.0347933,705.0995244979858,34.44663333892822,2900.0,200,34.155187129974365,1900.0,18.6669,174.642491966,0.878972,2.57981,2630.0,0.989629713365
12.9671,-0.0375168,0.0290737,-0.029295,738.5505878925323,33.43427801132202,2900.0,200,33.20034623146057,2000.0,0.955557,152.721969605,0.871361,2.56242,2624.0,0.991157452746
12.7786,-0.0435069,0.102823,-0.0262503,770.3514156341553,31.793822288513184,2900.0,200,31.54854464530945,2100.0,5.08118,136.36715147,0.864999,2.54777,2652.0,0.992976535866
12.612,-0.0144409,0.0174202,-0.00762,804.0511238574982,33.69323968887329,2900.0,200,33.43598699569702,2200.0,0.367833,139.132131443,0.859348,2.53464,2643.5,0.993171255809
12.564,-0.0218292,0.012718,-0.0157756,836.4221773147583,32.353614807128906,2900.0,200,32.064749002456665,2200.0,0.240846,133.007518584,0.857717,2.53083,2647.0,0.993230714685
12.4653,-0.0251317,0.00357577,-0.0216589,869.7167322635651,33.28186511993408,2900.0,200,33.034316062927246,2200.0,0.0686386,125.871958752,0.854324,2.52295,2657.5,0.994058892973
12.331,-0.040838,0.14927,-0.0163523,903.8435208797455,34.1116304397583,2900.0,200,33.86157703399658,2200.0,5.65321,119.012604374,0.849729,2.51212,2656.0,0.994649058449
12.2306,-0.00337931,0.00575267,0.000170343,938.5351977348328,34.67800426483154,3000.0,200,34.38336801528931,2300.0,0.0593192,114.590575529,0.846231,2.50394,2687.0,0.994838037914
12.2317,-0.0183542,0.0712076,-0.00945023,972.249430179596,33.6955771446228,3000.0,200,33.4249951839447,2300.0,1.18307,123.66790206,0.846264,2.50403,2667.5,0.99380650286
12.174,-0.0266475,0.0504282,-0.0182734,1005.4331750869751,33.17524719238281,2900.0,200,32.84733963012695,2100.0,1.73823,126.791166885,0.844273,2.4993,2668.0,0.993510425967
12.0633,-0.0194277,0.0206883,-0.0135083,1038.8942494392395,33.449222803115845,3000.0,200,33.15998315811157,2300.0,0.143317,124.398553046,0.840439,2.49017,2675.0,0.994113519237
11.9821,-0.0181609,0.0424236,-0.0108084,1070.8406584262848,31.936297178268433,3000.0,200,31.623801708221436,2300.0,1.15442,117.473401245,0.837601,2.48341,2680.0,0.995000564119
11.9175,0.0073553,0.00299823,0.00986194,1105.0743806362152,34.220519065856934,3000.0,200,33.951518297195435,2300.0,0.0901669,116.059252109,0.835344,2.47801,2680.5,0.994035558259
11.9764,-0.027046,0.011222,-0.022419,1136.994239807129,31.906691074371338,2900.0,200,31.591739177703857,2300.0,0.171817,109.97158724,0.837419,2.48294,2672.5,0.99490834206
11.8429,-0.0127334,0.00703717,-0.00836998,1170.7198023796082,33.710691690444946,2900.0,200,33.52758026123047,2200.0,0.228406,124.818868766,0.83274,2.47173,2670.5,0.994355846267
11.7934,-0.0108427,0.0146293,-0.00582271,1203.985243320465,33.23832058906555,2900.0,200,32.965986490249634,2400.0,0.404502,111.874930168,0.831022,2.46754,2672.0,0.995462700206
11.7591,-0.0138364,0.0601783,-0.00256801,1240.4773824214935,36.4739134311676,2900.0,200,36.20121192932129,2300.0,0.737539,122.105487182,0.829814,2.46463,2659.5,0.994468971908
11.7441,-0.0156925,0.0728434,-0.0022203,1274.068016052246,33.58588624000549,3000.0,200,33.374165534973145,2300.0,3.57909,122.474487139,0.829295,2.46335,2670.0,0.994716893052
11.731,0.0250596,0.00715312,0.0291374,1306.7272489070892,32.64474010467529,2900.0,200,32.33036470413208,2300.0,0.0958749,115.055421428,0.828818,2.46224,2671.5,0.994487786436
11.9032,-0.00882419,0.0357593,-0.00389338,1339.5880551338196,32.84550380706787,3000.0,200,32.57099723815918,2300.0,0.897212,110.171457284,0.834864,2.47681,2671.5,0.995252256094
11.88,-0.00610171,0.0250249,0.000682395,1374.8656203746796,35.25680732727051,3000.0,200,34.98668169975281,2400.0,0.462823,114.455231423,0.834043,2.47486,2670.0,0.995011008237
11.8841,-0.0103621,0.0145901,-0.00673347,1408.3028447628021,33.428465604782104,2900.0,200,33.10913419723511,2300.0,0.628037,118.422970745,0.83421,2.4752,2676.0,0.994228839688
11.8441,-0.00762415,0.0572313,-0.000544872,1440.6112191677094,32.29823112487793,2900.0,200,31.959420442581177,2300.0,1.1327,114.764977236,0.83284,2.47183,2673.0,0.994903670615
11.8409,-0.0178183,0.00714693,-0.0146241,1475.6464409828186,35.0164737701416,3000.0,200,34.70734906196594,2300.0,0.181372,124.473892845,0.832682,2.47156,2667.5,0.994390974838
11.7547,-0.0122964,0.0428894,-0.00501965,1509.9733154773712,34.310771465301514,3000.0,200,34.031142473220825,2300.0,0.582963,119.327281038,0.829643,2.46425,2681.0,0.995095059549
11.7252,-0.00203751,0.0355368,0.00487869,1545.698720216751,35.71242713928223,3100.0,200,35.35462307929993,2300.0,0.721302,119.070357352,0.828599,2.46174,2683.5,0.994680642856
11.7538,-0.0248659,0.0461653,-0.0188709,1579.2055323123932,33.49330472946167,3000.0,200,33.266056299209595,2300.0,1.40977,116.592238164,0.829586,2.46418,2667.5,0.994654182343
11.6434,-0.00499414,0.0289307,0.000916447,1614.74839925766,35.52584457397461,2900.0,200,35.243627071380615,2300.0,0.400948,119.036759028,0.825699,2.45474,2680.5,0.994641433554
11.6488,-0.00936217,0.0133368,-0.0056413,1647.896744966507,33.13400888442993,2900.0,200,32.8899827003479,2300.0,0.664483,109.589004923,0.825891,2.4552,2684.5,0.994739660242
11.616,0.00835137,0.021461,0.0143909,1680.4696667194366,32.55621409416199,3000.0,200,32.20031476020813,2400.0,0.519035,119.372316724,0.824707,2.45238,2675.5,0.994813814496
