Entropy,MeanKL,AveragePolicyStd,MaxKL,NumTrajs,MinReturn,ExplainedVariance,Time,LossBefore,StdReturn,LossAfter,MaxReturn,Perplexity,AverageReturn,ItrTime,TotalExecTime
2.83788,0.0,1.0,0.0,200,0.0,1,33.77474522590637,-0.0,0.0,-0.0,0.0,17.0795,0.0,33.77475070953369,33.39840912818909
2.83788,0.0,1.0,0.0,200,0.0,1,67.1044569015503,-0.0,0.0,-0.0,0.0,17.0795,0.0,33.305217266082764,32.85775876045227
2.83788,0.0,1.0,0.0,200,0.0,1,103.14055752754211,-0.0,0.0,-0.0,0.0,17.0795,0.0,36.0281879901886,35.77366542816162
2.83788,0.0,1.0,0.0,200,0.0,1,136.41731524467468,-0.0,0.0,-0.0,0.0,17.0795,0.0,33.257410764694214,32.96587824821472
2.83788,0.000964407,1.0,0.0418393,200,0.0,0.0816413488177,170.4795525074005,0.002788,7.05336798983,0.001632,100.0,17.0795,0.5,34.04187631607056,33.75700926780701
2.83927,0.00168519,1.0007,0.0731495,200,0.0,0.145516211844,203.5640549659729,0.00633184,7.05336798983,0.00496496,100.0,17.1033,0.5,33.07354545593262,32.860098361968994
2.84244,0.0,1.00228,0.0,200,0.0,1,238.28578186035156,-0.0,0.0,-0.0,0.0,17.1575,0.0,34.705668210983276,34.46010208129883
2.84244,0.00100289,1.00228,0.0137048,200,0.0,0.0835628375128,269.396919965744,0.000385376,42.320207939,-0.000980943,600.0,17.1575,3.0,31.09504199028015,30.804314374923706
2.84263,0.000384096,1.00238,0.01038,200,0.0,0.0722471172451,301.6662962436676,-0.00478567,7.05336798983,-0.00545187,100.0,17.1608,0.5,32.263124227523804,32.03475022315979
2.84024,0.0,1.00119,0.0,200,0.0,1,336.39691138267517,-0.0,0.0,-0.0,0.0,17.1198,0.0,34.698530435562134,34.33815860748291
2.84024,0.0,1.00119,0.0,200,0.0,1,370.0858280658722,-0.0,0.0,-0.0,0.0,17.1198,0.0,33.67224383354187,33.369641065597534
2.84024,0.00467702,1.00119,0.301715,200,0.0,0.167988686292,402.4362041950226,-0.00351024,98.2840271865,-0.00687683,1300.0,17.1198,9.5,32.33368992805481,32.122525215148926
2.83848,0.000777717,1.00031,0.010559,200,0.0,0.0519363419635,434.4486572742462,-0.0159021,7.05336798983,-0.016941,100.0,17.0898,0.5,31.997580766677856,31.74524211883545
2.83053,0.00123889,0.996337,0.0129377,200,0.0,0.055857184494,467.7327194213867,0.000676718,70.8501940717,-0.00262137,1000.0,16.9545,5.5,33.27236461639404,32.96333169937134
2.83087,0.000725123,0.996522,0.0155888,200,0.0,0.156403036696,499.83660316467285,-0.00792297,136.542118044,-0.00951173,1300.0,16.9602,17.5,32.07988905906677,31.77354645729065
2.82691,0.00111453,0.994555,0.0258585,200,0.0,0.150964456563,533.8947901725769,0.0104585,130.934143752,0.00864345,1300.0,16.8931,17.5,34.03910517692566,33.77366542816162
2.83214,0.00587377,0.997167,0.144662,200,0.0,0.24968749201,567.2852318286896,0.00726051,189.445902569,0.00279503,1900.0,16.9817,35.5,33.38777422904968,33.08471632003784
2.83577,0.000287959,0.998996,0.00229448,200,0.0,0.339432901285,600.7625408172607,-0.0266075,226.710718759,-0.0279868,1500.0,17.0435,48.5,33.45354890823364,33.14217400550842
2.82246,0.0181412,0.992385,0.685774,200,0.0,0.352040562065,634.5391874313354,0.00322726,254.475440858,-0.011096,1700.0,16.8182,56.5,33.76157760620117,33.46720743179321
2.82408,0.0154135,0.993166,0.864522,200,0.0,0.488833146713,668.2077045440674,-0.0188957,454.312667664,-0.031433,2100.0,16.8454,160.0,33.66533923149109,33.42983937263489
2.81463,0.0671227,0.988488,2.53492,200,0.0,0.65918603705,701.6557908058167,0.00492689,597.377393278,-0.0105349,2600.0,16.687,234.5,33.424997329711914,33.09631943702698
2.81709,0.0145013,0.989687,0.471087,200,0.0,0.723150904091,732.5732805728912,-0.00123394,745.436113963,-0.00768303,2500.0,16.7281,355.0,30.901699781417847,30.672861099243164
2.81648,0.00653765,0.989402,0.153685,200,0.0,0.774618006986,765.8575756549835,-0.0125077,837.291914448,-0.0172434,2800.0,16.7178,456.5,33.26949858665466,32.94253969192505
2.81022,0.00753125,0.986299,0.155961,200,0.0,0.744746119907,797.677109003067,-0.00732683,880.306196729,-0.0125898,2700.0,16.6136,581.0,31.799546241760254,31.532070875167847
2.80656,0.00180966,0.984476,0.0302168,200,0.0,0.738986832919,830.5413489341736,-0.00206009,931.062699285,-0.00477565,2800.0,16.5528,616.5,32.8450403213501,32.568077087402344
2.80553,0.0100435,0.983977,0.305092,200,0.0,0.773998367639,863.8748214244843,-0.0151756,973.546994243,-0.021442,2700.0,16.5358,687.5,33.32036280632019,33.05721354484558
2.79794,0.0107935,0.980245,0.388879,200,0.0,0.746651975629,897.2745544910431,0.0121313,1034.81773758,0.006123,3100.0,16.4108,773.5,33.37824630737305,33.087446212768555
2.80401,0.0205718,0.983264,0.543873,200,0.0,0.758511737687,930.374026298523,-0.00829566,966.333275842,-0.0252888,2800.0,16.5107,660.0,33.092926025390625,32.847678899765015
2.79986,0.00118105,0.981172,0.00521316,200,0.0,0.746361008019,965.9876108169556,-0.0214565,1045.06411287,-0.0244981,2800.0,16.4423,771.0,35.6049280166626,35.32463455200195
2.78913,0.00412324,0.975922,0.215204,200,0.0,0.724100838034,999.139488697052,-0.00223064,1002.76804397,-0.00845061,2800.0,16.2669,762.5,33.13329100608826,32.85429811477661
2.78801,0.00669218,0.975409,0.13322,200,0.0,0.756148144919,1031.048336982727,0.00205325,1005.7622731,-0.00405702,2800.0,16.2487,756.5,31.889028072357178,31.667024612426758
2.78904,0.00799074,0.975957,0.0852433,200,0.0,0.787819984256,1062.5387761592865,-0.0253459,1044.17958226,-0.0312314,2800.0,16.2654,967.0,31.47169303894043,31.16440176963806
2.77637,0.0124161,0.969782,0.533229,200,0.0,0.689422323496,1095.844937801361,-0.0252594,962.190079974,-0.0363506,2900.0,16.0606,759.5,33.28599500656128,32.99994468688965
2.76374,0.0253439,0.963718,0.620726,200,0.0,0.743832870763,1128.613777399063,-0.0109006,1074.87627195,-0.0264027,2900.0,15.859,1171.0,32.759092807769775,32.45875930786133
2.75829,0.0105736,0.961105,0.125736,200,0.0,0.719396348557,1162.5516374111176,-0.00731339,1005.97204236,-0.0152294,2800.0,15.7728,1154.5,33.92496085166931,33.602487325668335
2.75463,0.0117135,0.959386,0.197495,200,0.0,0.743220523375,1195.9430119991302,-0.0122227,942.611266642,-0.0210817,2800.0,15.7152,1328.0,33.376609563827515,33.11571550369263
2.74852,0.0202529,0.956381,0.298041,200,0.0,0.779643590488,1228.45161485672,-0.0247004,954.772093224,-0.0358638,2800.0,15.6195,1535.5,32.49006414413452,32.189903020858765
2.73617,0.0221493,0.950503,0.267737,200,0.0,0.779866807191,1262.660474061966,-0.02681,910.109883476,-0.0385614,2900.0,15.4278,1690.0,34.199567794799805,33.930049419403076
2.72277,0.0110409,0.944132,0.14617,200,0.0,0.822518622409,1295.3769967556,-0.0186991,796.818517606,-0.028248,2900.0,15.2224,1830.5,32.678295850753784,32.37775182723999
2.71342,0.022499,0.939711,0.427992,200,0.0,0.83456879984,1326.743997335434,-0.0286765,663.64071605,-0.0380847,3000.0,15.0807,1959.0,31.350902795791626,31.123829126358032
2.69908,0.0804102,0.932986,2.72428,200,0.0,0.88010659984,1361.355434179306,-0.0267016,549.27201822,-0.0637547,2900.0,14.866,2125.5,34.60323238372803,34.43592166900635
2.68573,0.0217433,0.926763,0.50978,200,0.0,0.90741856431,1395.2881515026093,-0.0387622,497.461305028,-0.0513674,2900.0,14.6689,2213.5,33.91129803657532,33.6382942199707
2.66635,0.0249123,0.917827,0.393354,200,1000.0,0.939841503185,1428.7304797172546,-0.0188447,349.426673281,-0.0296363,2900.0,14.3873,2351.0,33.4370379447937,33.15611124038696
2.65692,0.0309996,0.913503,0.422537,200,1300.0,0.966036497114,1461.842919588089,-0.0394266,291.886536175,-0.0516946,2900.0,14.2524,2423.5,33.08812737464905,32.83312201499939
2.63721,0.0662499,0.904559,0.551843,200,1600.0,0.975898043222,1494.530237197876,-0.0558556,235.072329295,-0.0764418,2900.0,13.9742,2479.0,32.67237734794617,32.42465567588806
2.60928,0.0182535,0.892033,0.32218,200,2000.0,0.985095388574,1527.3413808345795,-0.0152545,196.615741994,-0.0222331,3000.0,13.5893,2543.5,32.79185628890991,32.52685046195984
2.60165,0.0576878,0.88866,0.93187,200,1700.0,0.982832082193,1560.3203439712524,-0.0527944,218.169085803,-0.0688171,2900.0,13.486,2548.5,32.96068239212036,32.70869517326355
2.57526,0.00854283,0.876999,0.0878171,200,2000.0,0.989279751884,1591.1139461994171,-0.0488298,158.043506668,-0.0553258,3000.0,13.1347,2608.5,30.771249771118164,30.48252010345459
2.55084,0.00795183,0.866358,0.234349,200,2000.0,0.990225097546,1620.6119713783264,-0.0238004,152.570475519,-0.0285769,2900.0,12.8179,2616.5,29.487411499023438,29.222554683685303
2.53894,0.0419993,0.861189,0.510291,200,2200.0,0.990661090572,1651.9052109718323,-0.0437575,151.538773916,-0.0562203,3000.0,12.6663,2606.0,31.266014099121094,30.983376026153564
