Entropy,MeanKL,MaxKL,AveragePolicyStd,MaxReturn,Perplexity,ExplainedVariance,LossAfter,AverageReturn,TotalExecTime,LossBefore,StdReturn,MinReturn,ItrTime,NumTrajs,Time
2.83788,0.100711,1.53064,1.0,2400.0,17.0795,0.604192847166,-0.0491137,541.0,23.77128767967224,-0.0196763,722.301183718,0.0,23.938360929489136,200,23.93835473060608
2.8182,0.00482454,0.141202,0.990226,2700.0,16.7467,0.688399143054,-0.0324627,875.0,23.697296619415283,-0.0268697,867.798939847,0.0,23.951329469680786,200,47.89520072937012
2.80477,0.051034,1.28832,0.983582,2800.0,16.5232,0.742697791609,-0.0340013,1124.0,24.296640396118164,-0.00905025,909.46357816,0.0,24.363547563552856,200,72.26750063896179
2.80024,0.00329043,0.0385799,0.981369,2800.0,16.4486,0.743473889484,-0.0279705,1316.5,24.041370630264282,-0.0234948,899.709814329,0.0,24.184939861297607,200,96.45905208587646
2.78849,0.00837344,0.109022,0.975621,2800.0,16.2565,0.732705332968,-0.022523,1403.0,24.065953493118286,-0.0148439,929.618739054,0.0,24.139747142791748,200,120.603271484375
2.78107,0.0107284,0.184371,0.971997,2800.0,16.1363,0.789654961479,-0.00324488,1241.5,23.7481746673584,0.00272608,984.595221398,0.0,23.809796571731567,200,144.418842792511
2.78243,0.0187242,0.191415,0.972672,2800.0,16.1583,0.796514685432,-0.0325145,1568.0,23.92926526069641,-0.0211777,944.07414963,0.0,24.003068685531616,200,168.43731713294983
2.77185,0.0315314,0.675681,0.967531,2900.0,15.9881,0.791853555829,-0.0346676,1683.5,24.166377782821655,-0.0186571,834.132933051,0.0,24.299060583114624,200,192.7669596672058
2.76252,0.0245853,0.238254,0.963062,2900.0,15.8397,0.841806705402,-0.0272805,1913.5,24.14279079437256,-0.0159366,810.597156422,0.0,24.214234590530396,200,216.9872522354126
2.75455,0.293204,55.0399,0.959222,2900.0,15.7139,0.864358281839,-0.338436,2074.5,23.201322317123413,-0.0393936,706.045147282,0.0,23.283876180648804,200,240.27788376808167
