AverageReturn,AveragePolicyStd,LossBefore,LossAfter,StdReturn,MaxKL,ItrTime,Time,Entropy,MinReturn,MaxReturn,Perplexity,MeanKL,TotalExecTime,ExplainedVariance,NumTrajs
24.0,1.00395,0.0181414,0.00937334,131.240237732,0.157369,20.90307927131653,20.90307331085205,2.84576,0.0,1100.0,17.2146,0.0160077,20.74738383293152,0.159067612985,200
159.5,1.0131,-0.0126944,-0.0268346,406.95177847,0.225583,21.084526300430298,41.99296021461487,2.8639,0.0,2000.0,17.5297,0.0183276,20.932472705841064,0.543966864233,200
296.5,1.00989,-0.0152831,-0.0263826,595.766523061,0.126457,21.689040899276733,63.68535017967224,2.85755,0.0,2600.0,17.4188,0.0115327,21.5444757938385,0.680258280295,200
490.5,1.00604,0.000979882,-0.0152039,737.332862417,0.219872,21.307969570159912,84.99666666984558,2.84991,0.0,2500.0,17.2862,0.0210273,21.245179891586304,0.703113773501,200
643.5,1.00629,-0.00922246,-0.0239583,848.562166255,0.212669,21.08503794670105,106.08835482597351,2.8504,0.0,2700.0,17.2947,0.0163852,21.005833387374878,0.741461486822,200
762.0,1.00397,-0.0133385,-0.0211428,908.270884703,0.0879777,21.205799102783203,127.30137276649475,2.84579,0.0,2800.0,17.2151,0.00597214,21.07614827156067,0.734627971726,200
926.5,1.00064,-0.0226602,-0.0275772,983.385860179,0.0263376,22.007201671600342,149.31252574920654,2.83912,0.0,2800.0,17.1007,0.00461076,21.849794626235962,0.744742522781,200
1113.0,0.995004,3.38349e-05,-0.00499338,965.883533352,0.0349972,20.81795907020569,170.13535237312317,2.82779,0.0,2800.0,16.908,0.00531845,20.662355422973633,0.733684348801,200
1171.5,0.995034,-0.0113156,-0.0171544,977.618407151,0.0334901,20.487696409225464,190.6298098564148,2.8278,0.0,2900.0,16.9083,0.00565022,20.416349411010742,0.739430809441,200
1189.5,0.992228,-0.00525454,-0.0141921,923.168321597,0.0570275,20.685818672180176,211.32305693626404,2.82215,0.0,2800.0,16.8129,0.00836988,20.58953070640564,0.729664933995,200
1445.0,0.990913,-0.0147817,-0.0225223,822.784905063,0.0562837,20.784367322921753,232.12685894966125,2.81952,0.0,3000.0,16.7688,0.00839668,20.716485500335693,0.755535273623,200
1537.0,0.987258,-0.0258518,-0.0345137,766.96218942,0.034584,21.02686333656311,253.1613211631775,2.81213,0.0,2900.0,16.6453,0.00850021,20.935365676879883,0.781999491683,200
1793.0,0.980932,-0.0383409,-0.0472364,692.712783194,0.0381857,20.857842206954956,274.02639627456665,2.7992,0.0,2800.0,16.4315,0.0105631,20.755982875823975,0.83185205361,200
1936.5,0.971594,-0.0394082,-0.0526893,620.41739982,0.0604051,21.050352096557617,295.0812678337097,2.78003,0.0,2800.0,16.1196,0.0159259,20.957770347595215,0.867023125957,200
1971.5,0.962109,-0.034494,-0.0508635,628.520286069,0.109563,20.935271978378296,316.02157258987427,2.76033,0.0,2800.0,15.805,0.0235314,20.848090410232544,0.863089834933,200
2130.0,0.953911,-0.044652,-0.0562236,502.19518118,0.0918574,20.843926429748535,336.87626123428345,2.74308,0.0,2900.0,15.5348,0.0174857,20.75506091117859,0.922147936897,200
2243.5,0.943291,-0.0534372,-0.0622574,438.472062964,0.0561455,21.108563661575317,357.98863196372986,2.72076,300.0,2900.0,15.1918,0.012578,20.98859190940857,0.936523785956,200
2298.0,0.930734,-0.0382023,-0.0474303,349.565444516,0.056519,20.778375148773193,378.77228474617004,2.69404,1300.0,2900.0,14.7913,0.0147722,20.684333562850952,0.958160921194,200
2372.5,0.921892,-0.0368182,-0.0435658,343.793179106,0.0350627,20.861020803451538,399.64036655426025,2.67494,700.0,3000.0,14.5114,0.010806,20.78233289718628,0.957780456212,200
2439.0,0.913482,-0.0338219,-0.0437451,261.875924819,0.0860065,20.942169666290283,420.59001564979553,2.65653,1300.0,2900.0,14.2467,0.0199967,20.84807062149048,0.970685833308,200
2456.5,0.90576,-0.0335941,-0.046017,272.869474291,0.156759,20.86841368675232,441.4666919708252,2.63962,1500.0,3000.0,14.0078,0.0197347,20.79579257965088,0.977687704509,200
2533.0,0.89822,-0.0443594,-0.0561828,213.801309631,0.220102,20.749662160873413,462.2265365123749,2.62282,1700.0,2900.0,13.7745,0.0351967,20.675776481628418,0.985644670131,200
2554.0,0.88832,-0.0456359,-0.0528176,218.137571271,0.0664271,20.786927223205566,483.02627515792847,2.60064,1600.0,2900.0,13.4723,0.0134498,20.705925464630127,0.985700201029,200
2598.5,0.878242,-0.0303073,-0.03431,167.772911997,0.0723091,20.97003984451294,504.01147079467773,2.57782,1900.0,2900.0,13.1684,0.0102989,20.907110691070557,0.990136222851,200
2610.5,0.871543,-0.0175399,-0.0195929,176.181014868,0.0297543,21.150813341140747,525.1688690185547,2.56267,1900.0,3000.0,12.9704,0.004274,21.05556011199951,0.989886808409,200
2573.5,0.86774,-0.0547222,-0.0602003,172.475360559,0.0417792,21.59170365333557,546.7692620754242,2.5539,1900.0,2900.0,12.8571,0.011677,21.48460841178894,0.988368364337,200
2616.5,0.855984,-0.0296569,-0.0403864,178.823236745,0.341467,21.003463983535767,567.7774629592896,2.52654,1800.0,3000.0,12.5101,0.0441353,20.93587565422058,0.989886576358,200
2626.5,0.849608,-0.0235039,-0.0265263,160.149149233,0.0791757,21.342201471328735,589.1328821182251,2.51171,1900.0,2900.0,12.326,0.00760101,21.239448070526123,0.9915355903,200
2625.5,0.844623,-0.030575,-0.0382027,156.523959827,0.115034,21.549003839492798,610.6861515045166,2.49996,2100.0,2900.0,12.182,0.0167578,21.49331545829773,0.991796880141,200
2641.5,0.838255,-0.00907655,-0.00973431,126.600750393,0.00656141,21.34673309326172,632.0372145175934,2.48467,2300.0,3000.0,11.9971,0.000742356,21.262781620025635,0.994350121246,200
2638.0,0.836318,-0.011676,-0.0189811,131.362094989,0.154242,21.454762935638428,653.5006303787231,2.48013,2200.0,3000.0,11.9428,0.030372,21.37025761604309,0.993819186963,200
2639.0,0.833929,-0.0201849,-0.023167,148.926156198,0.0423439,21.37947988510132,674.8872995376587,2.47429,2100.0,3100.0,11.8733,0.00561785,21.300584077835083,0.993372276901,200
2648.0,0.829733,-0.00566358,-0.0104749,132.64991519,0.183495,21.419330596923828,696.3173930644989,2.4642,2200.0,3000.0,11.7541,0.0181336,21.341552019119263,0.993398088225,200
2647.0,0.828606,-0.0406609,-0.0449737,134.874015288,0.0720324,21.260480403900146,717.5875065326691,2.46137,2200.0,3000.0,11.7208,0.0110413,21.16155219078064,0.993735878572,200
2656.5,0.820293,-0.0160379,-0.0202388,127.897419833,0.0525824,21.19088125228882,738.7814154624939,2.44104,2100.0,2900.0,11.4849,0.0140334,21.061798334121704,0.993814501722,200
2654.0,0.817066,-0.0273294,-0.0303181,132.981201679,0.028944,23.24836230278015,762.0339667797089,2.43302,2300.0,3000.0,11.3932,0.0076383,23.1132652759552,0.993806404262,200
2641.5,0.811441,-0.0141209,-0.0151367,122.587723692,0.0165355,22.61025905609131,784.6495625972748,2.41935,2300.0,2900.0,11.2386,0.00185183,22.526076555252075,0.993552677418,200
2647.0,0.808599,-0.0128657,-0.0159789,142.095038619,0.0162052,23.3054621219635,807.9690175056458,2.41229,2000.0,3000.0,11.1595,0.00349511,23.199434995651245,0.99297148449,200
2657.0,0.805976,-0.0231029,-0.0254751,140.182024525,0.0485246,23.07421326637268,831.0477705001831,2.40586,2200.0,3000.0,11.088,0.00621884,22.902056455612183,0.993667572396,200
2657.0,0.801361,-0.00938763,-0.012088,115.978446273,0.10281,23.330661296844482,854.3831157684326,2.39431,2300.0,2900.0,10.9606,0.0083132,23.19845175743103,0.9944546065,200
2668.0,0.799442,-0.0336243,-0.0357767,132.951118837,0.0303103,23.317119121551514,877.7041118144989,2.38962,2300.0,2900.0,10.9093,0.00324962,23.221319437026978,0.993757076851,200
2647.5,0.792772,-0.0246052,-0.0343363,135.6235599,0.475464,23.301726818084717,901.0114409923553,2.3728,2200.0,2900.0,10.7274,0.0360555,23.177098989486694,0.993070623305,200
2677.0,0.787781,-0.0160305,-0.0188677,122.356037857,0.0961771,23.00644874572754,924.0225033760071,2.3605,2100.0,3000.0,10.5963,0.00721449,22.87322473526001,0.994076215799,200
2659.0,0.784703,-0.0205207,-0.0265478,122.143358395,0.204878,23.632339239120483,947.6577773094177,2.35249,2200.0,2900.0,10.5117,0.018503,23.34725284576416,0.994369117715,200
2666.5,0.78064,-0.012727,-0.0202021,128.560297137,0.31116,25.07562828063965,972.7422626018524,2.34222,2200.0,3000.0,10.4044,0.043038,24.854099988937378,0.993786101757,200
2675.0,0.778171,-0.0149367,-0.0246773,125.199840255,0.216673,24.87553310394287,997.6431374549866,2.33586,2200.0,3000.0,10.3384,0.0537415,24.784611701965332,0.994355419387,200
2676.5,0.775327,-0.00655151,-0.0131294,109.076807801,0.273389,25.53135585784912,1023.187837600708,2.32839,2200.0,3000.0,10.2614,0.0218201,25.255692720413208,0.995058155598,200
2681.0,0.774058,-0.00283633,-0.0111954,115.494588618,0.259201,24.09386396408081,1047.3114590644836,2.32512,2400.0,3000.0,10.2279,0.0479786,23.80859375,0.99518263566,200
2673.0,0.773562,-0.00223303,-0.00359894,119.042009392,0.0267763,26.596054077148438,1073.9429812431335,2.3237,2300.0,3000.0,10.2134,0.00409374,26.41535472869873,0.994945997078,200
