NumTrajs,AverageReturn,Entropy,MaxKL,ExplainedVariance,MaxReturn,TotalExecTime,LossAfter,MeanKL,AveragePolicyStd,LossBefore,ItrTime,StdReturn,Time,Perplexity,MinReturn
200,19.5,2.84576,0.339023,0.137487553852,1400.0,21.499895572662354,-0.00532343,0.0199955,1.00395,0.00656396,21.81483817100525,127.160331865,21.81483030319214,17.2146,0.0
200,175.5,2.85232,0.093508,0.611976773461,2400.0,20.968841075897217,-0.0135665,0.00600048,1.00725,-0.00789975,21.078834772109985,470.052922552,42.897700548172,17.3279,0.0
200,251.5,2.84837,0.140717,0.587214012773,2500.0,21.16102933883667,-0.0120073,0.00982807,1.00528,-0.00202469,21.258689403533936,542.952806421,64.16958618164062,17.2596,0.0
200,338.0,2.84736,0.042697,0.673880084359,2300.0,22.121058225631714,-0.0220024,0.00362815,1.00477,-0.0174609,22.18158197402954,646.959040435,86.35485601425171,17.2422,0.0
200,613.0,2.83863,0.212921,0.75833583861,2700.0,21.073922395706177,-0.0419197,0.0162345,1.00043,-0.0286191,21.168907642364502,848.546404152,107.53157496452332,17.0923,0.0
200,715.5,2.82432,0.058508,0.777291611154,2700.0,20.45803189277649,-0.0167541,0.00698159,0.993315,-0.0104604,20.523845434188843,899.894299349,128.06025314331055,16.8494,0.0
200,817.0,2.81909,0.0385148,0.742133036482,2700.0,21.027886867523193,-0.0296678,0.00501775,0.990709,-0.0230391,21.12481999397278,943.297938087,149.19141006469727,16.7616,0.0
200,1000.5,2.80757,0.0302672,0.737713211325,2800.0,20.80515217781067,-0.0204191,0.00563595,0.985059,-0.0139627,20.960076808929443,957.157118764,170.1641252040863,16.5696,0.0
200,1079.0,2.80059,0.0907512,0.740126865727,2700.0,20.926069021224976,-0.0122443,0.0134815,0.981654,-0.000517976,21.058354377746582,944.224020029,191.22674679756165,16.4543,0.0
200,1207.0,2.80033,0.0173739,0.766014733057,2900.0,21.140997648239136,-0.0206556,0.0045155,0.981549,-0.0143333,21.21006202697754,910.41254385,212.44103908538818,16.45,0.0
200,1333.0,2.79316,0.0774421,0.746693606451,2800.0,20.929737091064453,-0.0282497,0.011071,0.978,-0.0182074,21.024415731430054,901.837568523,233.47315382957458,16.3326,0.0
200,1587.5,2.78406,0.0160834,0.782145119306,2800.0,20.722361087799072,-0.0355062,0.00403578,0.97363,-0.0302825,20.82659077644348,856.675988925,254.30285835266113,16.1846,0.0
200,1683.5,2.76892,0.0391839,0.792742714145,2800.0,21.09611439704895,-0.0444256,0.00729698,0.966255,-0.0372034,21.189229488372803,758.140982931,275.49587512016296,15.9414,0.0
200,1867.5,2.75031,0.107498,0.846322290986,2900.0,21.351788997650146,-0.0351061,0.0197039,0.957292,-0.0224985,21.426434993743896,669.920704263,296.9271984100342,15.6475,0.0
