AverageReturn,Entropy,ExplainedVariance,ItrTime,AveragePolicyStd,MaxReturn,TotalExecTime,StdReturn,LossBefore,NumTrajs,MinReturn,LossAfter,MaxKL,MeanKL,Perplexity,Time
48.5,1.66796,0.540946351022,13.634705305099487,0.55714,1900.0,13.525093078613281,255.338500818,0.00750767,200,0.0,0.461063,97.1163,6.33296,5.30132,13.63469934463501
1325.5,1.67546,0.828506666377,13.373886346817017,0.559261,2900.0,13.270119428634644,1299.46133071,0.00252226,200,0.0,-0.00240411,0.233789,0.0323102,5.34127,27.01142430305481
1361.5,1.67672,0.834523561766,13.404672861099243,0.559592,3000.0,13.29268193244934,1291.76923249,-0.0202755,200,0.0,-0.063867,3.03485,0.262401,5.34801,40.419079065322876
1324.5,1.66659,0.843843336579,13.42872953414917,0.556763,2900.0,13.368526220321655,1289.28264938,-0.0158306,200,0.0,-0.0187028,0.135213,0.0187701,5.29406,53.85144662857056
1425.0,1.65867,0.852798267561,13.451697587966919,0.554552,2900.0,13.394954919815063,1308.80670842,-0.00307973,200,0.0,-0.202297,19.0106,1.50182,5.25233,67.30787777900696
1622.0,1.65713,0.853499211048,13.36148452758789,0.554123,3000.0,13.301044464111328,1283.16639607,0.00806469,200,0.0,0.00519854,0.110595,0.0204856,5.24424,80.68087434768677
1525.5,1.66116,0.853625502034,13.426603078842163,0.555239,3000.0,13.374240398406982,1288.21572339,-0.0060813,200,0.0,-0.019818,2.9688,0.286713,5.26543,94.11389923095703
1585.0,1.65812,0.786672221378,13.664690732955933,0.554396,2900.0,13.578660726547241,1269.00551614,0.00783763,200,0.0,-0.0336805,1.76677,0.162178,5.24945,107.79277467727661
1646.5,1.66204,0.773761461397,13.383476495742798,0.555497,2900.0,13.329610347747803,1180.84196656,-0.0101824,200,0.0,-0.0382598,1.12245,0.251247,5.27006,121.181569814682
2182.0,1.65695,0.842230910459,13.59539008140564,0.554076,2900.0,13.455621480941772,778.573053734,-0.00189009,200,0.0,-0.0444425,6.51226,0.776285,5.24329,134.78168869018555
2604.0,1.65601,0.988729292416,13.561739683151245,0.553809,3000.0,13.43540358543396,192.572064433,-0.0192174,200,1900.0,-0.0663963,5.52326,0.934919,5.23835,148.35733127593994
