AveragePolicyStd,AverageReturn,Perplexity,LossAfter,NumTrajs,MinReturn,ItrTime,Entropy,LossBefore,MaxReturn,MaxKL,TotalExecTime,ExplainedVariance,MeanKL,StdReturn,Time
0.789575,9.0,10.6089,-0.025387,200,0.0,13.563729763031006,2.36169,-0.000461109,1100.0,1.44923,13.437217235565186,0.121596095039,0.232987,88.4251095561,13.563709735870361
0.789196,801.5,10.604,-0.0376606,200,0.0,15.160811185836792,2.36123,-0.00754741,2700.0,1.03024,15.06850004196167,0.789216780563,0.121337,905.9512956,28.743606567382812
0.787633,1205.0,10.564,-0.0087692,200,0.0,14.176281452178955,2.35746,-0.000924997,2900.0,0.373292,14.026708364486694,0.828360421853,0.0716297,1144.58507766,42.925145387649536
0.787373,1184.5,10.5592,-0.0161779,200,0.0,14.298849821090698,2.35699,-0.01075,3000.0,0.56339,14.23393988609314,0.827438304919,0.079313,1189.62588657,57.22968053817749
0.785091,1279.5,10.5026,-0.0205074,200,0.0,13.751120567321777,2.35162,-0.00940219,2900.0,1.16682,13.686731100082397,0.822597973483,0.13356,1203.67343993,70.98533034324646
0.783142,1469.0,10.4533,-0.024332,200,0.0,13.628781795501709,2.34692,-0.0100062,3000.0,1.79444,13.560726642608643,0.816335404891,0.106208,1187.57694488,84.62420320510864
0.781113,1476.5,10.4011,0.00606294,200,0.0,11.075093984603882,2.34191,0.0108202,3000.0,0.124664,11.02897310256958,0.824786859731,0.0220192,1162.62536958,95.70810794830322
0.783163,1632.5,10.4575,-0.0545511,200,0.0,10.88357424736023,2.34732,-0.0140184,2800.0,2.63042,10.813703536987305,0.820799776692,0.300278,1033.43783074,106.59496521949768
0.780286,2464.0,10.3845,-0.101645,200,1700.0,10.691934823989868,2.34031,-0.0605527,2900.0,3.82465,10.612154006958008,0.978180591338,0.427728,250.407667614,117.2914650440216
0.768459,2536.0,10.0748,-0.0494248,200,1700.0,10.68724799156189,2.31004,-0.0304464,3100.0,2.50017,10.607204914093018,0.987040291065,0.180279,214.018690773,127.98294019699097
0.76253,2622.5,9.9226,-0.0319831,200,1900.0,10.592705249786377,2.29482,-0.0239623,3000.0,0.630723,10.540518999099731,0.992821869996,0.0569277,140.86784587,138.58070993423462
0.757985,2634.0,9.80442,-0.0303508,200,2100.0,10.732419967651367,2.28283,-0.0115481,3100.0,1.38843,10.680260181427002,0.99313097821,0.15962,142.632394637,149.3189663887024
0.755764,2661.5,9.74798,-0.0165775,200,2200.0,10.733336448669434,2.27706,-0.00746368,2900.0,0.729296,10.663263082504272,0.993913036467,0.0727804,122.342756222,160.05829739570618
0.754408,2668.0,9.71167,-0.025452,200,2300.0,10.665288925170898,2.27333,-0.0215423,3000.0,0.0790537,10.612329483032227,0.993787615722,0.0113511,134.447015586,170.73237442970276
0.750317,2677.5,9.60763,-0.0341852,200,2400.0,10.666764736175537,2.26256,-0.0118878,3000.0,2.33908,10.602709293365479,0.994657853111,0.240381,122.244631784,181.40535759925842
0.748101,2675.5,9.55068,-0.0156505,200,2300.0,11.045314073562622,2.25661,-0.0105697,2900.0,0.801168,10.979379653930664,0.994864952317,0.0523008,116.403393421,192.45560884475708
0.746135,2683.5,9.50034,-0.0139028,200,2300.0,10.928714036941528,2.25133,-0.00681319,3000.0,0.727883,10.875558376312256,0.994949736014,0.0682003,120.323522222,203.39320588111877
0.74488,2668.0,9.46803,-0.00169975,200,2300.0,11.04939317703247,2.24792,0.00413199,3000.0,0.387162,10.997257947921753,0.995039024279,0.0306226,126.396202475,214.4477732181549
0.745612,2676.5,9.48762,-0.0176429,200,2400.0,10.997747421264648,2.24999,-0.00672416,2900.0,0.801876,10.916897773742676,0.995183353995,0.0679612,115.7486501,225.45026278495789
0.744384,2681.5,9.45578,-0.016309,200,2300.0,10.752005577087402,2.24663,-0.00997492,3000.0,0.391379,10.701870203018188,0.994634907046,0.0558152,125.330562913,236.20769357681274
0.742457,2680.5,9.40873,-0.0145887,200,2400.0,10.737720012664795,2.24164,-0.012632,3000.0,0.0619473,10.673253297805786,0.993988543346,0.00454891,121.941584375,246.96132373809814
0.740116,2689.5,9.34949,-0.0136032,200,2200.0,10.74470329284668,2.23532,-0.00887054,3000.0,0.33185,10.694461107254028,0.994146495713,0.0399253,123.853744392,257.7134144306183
0.7385,2671.5,9.30812,0.00255231,200,2300.0,10.782459259033203,2.23089,0.00550813,2900.0,0.470538,10.725344181060791,0.994876139094,0.0334404,116.780777528,268.5001046657562
0.739584,2666.5,9.33379,-0.0170031,200,2200.0,10.784611225128174,2.23364,-0.00625373,2900.0,0.775141,10.714887857437134,0.995489718535,0.0937879,107.83204533,279.2926163673401
0.738408,2663.0,9.30465,-0.0135735,200,2300.0,10.818027257919312,2.23051,-0.00309698,3000.0,1.08304,10.762537479400635,0.994327421057,0.0840244,116.751873647,290.1194519996643
0.737915,2687.0,9.29025,-0.0159086,200,2100.0,10.807891368865967,2.22897,-0.00193007,2900.0,1.6449,10.745075702667236,0.994991000928,0.194295,119.293755075,300.93132996559143
0.737685,2662.5,9.28129,-0.0157627,200,2400.0,10.747984170913696,2.228,-0.00979376,2900.0,0.228139,10.699414491653442,0.994563778631,0.0281483,119.347182623,311.68587946891785
