LossAfter,MeanKL,ExplainedVariance,MaxKL,Perplexity,MaxReturn,TotalExecTime,ItrTime,Time,Entropy,AveragePolicyStd,NumTrajs,MinReturn,LossBefore,AverageReturn,StdReturn
-0.0174394,0.0911932,0.0817161722011,1.10794,10.6089,1100.0,10.842251062393188,10.941753625869751,10.94175100326538,2.36169,0.789575,200,0.0,-0.00597201,8.5,88.1915528835
-0.074661,0.290589,0.69684451807,2.30193,10.5457,2500.0,10.887831926345825,10.970332384109497,21.915279150009155,2.35572,0.787003,200,0.0,-0.00360675,451.0,710.843864713
-0.00510121,0.0415739,0.826726326223,0.215898,10.5267,2900.0,22.95661735534668,23.01385736465454,44.93354249000549,2.35391,0.786086,200,0.0,0.00119342,1050.5,1067.89500888
-0.0243816,0.0995778,0.814744412356,0.770626,10.533,2800.0,10.593011856079102,10.670418500900269,55.6076500415802,2.35451,0.786339,200,0.0,-0.00339129,995.0,1087.14074526
-0.0197504,0.0247185,0.826990895674,0.223679,10.5151,2900.0,10.60669493675232,10.666139602661133,66.2845811843872,2.35282,0.785631,200,0.0,-0.0163098,1129.5,1174.38483897
-0.0166847,0.068614,0.835828038841,1.10087,10.4297,2800.0,10.748962879180908,10.795180082321167,77.09157514572144,2.34466,0.782331,200,0.0,-0.0114599,1261.0,1127.42139416
-0.00813411,0.0586326,0.81478315194,0.421138,10.3702,2800.0,10.759772777557373,10.818307638168335,87.91590309143066,2.33893,0.780017,200,0.0,-0.00371855,1101.0,1129.64551962
-0.0261553,0.0235938,0.835428531972,0.224882,10.3509,2900.0,10.687655925750732,10.766209840774536,98.68746185302734,2.33707,0.779234,200,0.0,-0.018064,1164.0,1194.82383639
-0.00353753,0.0162504,0.817791777533,0.072512,10.2578,2900.0,10.947728157043457,11.007695198059082,109.69928884506226,2.32804,0.775696,200,0.0,0.000567138,1314.5,1177.64160507
-0.0316168,0.0431048,0.842064808503,0.418385,10.2607,2800.0,11.213639736175537,11.27873158454895,120.98301720619202,2.32832,0.775831,200,0.0,-0.0269063,1505.0,1171.78282971
-0.018834,0.0659956,0.825773633817,0.71749,10.1236,2900.0,10.81747055053711,10.874696731567383,131.86270022392273,2.31487,0.770701,200,0.0,-0.0139883,1429.5,1186.37251738
-0.0252031,0.0296049,0.800082294751,0.367258,10.0531,2900.0,11.001304864883423,11.06835389137268,142.93500757217407,2.30788,0.768086,200,0.0,-0.0209428,1618.0,1141.83010996
-0.0600929,0.507656,0.831967367026,4.5983,9.94833,3000.0,11.344529151916504,11.413599252700806,154.35601258277893,2.29741,0.764197,200,0.0,-0.00963487,1764.0,1042.35502589
-0.0553474,0.262827,0.962486349252,1.11447,9.90052,2900.0,10.846345663070679,10.903673648834229,165.26563811302185,2.29259,0.762404,200,1300.0,-0.0191961,2446.5,296.458681775
-0.0391024,0.0215791,0.980819659622,0.214715,9.80595,2900.0,10.987383127212524,11.045531034469604,176.31657600402832,2.28299,0.758495,200,1600.0,-0.0313445,2563.5,208.609084174
-0.021389,0.0581509,0.989453983278,0.468642,9.65347,2900.0,10.693218231201172,10.76089882850647,187.0841257572174,2.26732,0.752568,200,2100.0,-0.0117832,2581.5,160.336365183
