Perplexity,Time,AveragePolicyStd,NumTrajs,TotalExecTime,ItrTime,Entropy,MaxReturn,LossAfter,AverageReturn,StdReturn,MinReturn,MeanKL,LossBefore,ExplainedVariance,MaxKL
10.6089,14.486212968826294,0.789575,200,14.365718126296997,14.486219644546509,2.36169,1700.0,-0.000552821,11.5,126.955700935,0.0,0.050903,0.00601057,0.0769631940267,0.53144
10.6728,29.835696935653687,0.792309,200,15.263113498687744,15.341411352157593,2.3677,2400.0,-0.124788,246.5,549.807011596,0.0,0.904268,-0.0160019,0.554676045947,12.2871
10.5878,44.587292194366455,0.789129,200,14.662204265594482,14.745051383972168,2.3597,2800.0,-0.0514041,915.5,1101.04938581,0.0,0.201817,-0.00838542,0.817219253756,2.4759
10.5435,59.42038440704346,0.787667,200,14.767355680465698,14.827875852584839,2.35551,2900.0,-0.0328534,1038.5,1197.10807783,0.0,0.00248316,-0.0309988,0.822681590353,0.0209006
10.3813,74.62231230735779,0.781525,200,15.128183603286743,15.19709849357605,2.34001,2900.0,-0.046278,1188.5,1237.70664941,0.0,0.183306,-0.00775212,0.824443984619,2.38957
10.3412,89.26932215690613,0.779903,200,14.555032730102539,14.640307664871216,2.33613,2900.0,-0.0103648,1332.5,1256.54038932,0.0,0.00559486,-0.00867029,0.820794490498,0.0241498
10.2964,104.75920557975769,0.778199,200,15.396156787872314,15.483213424682617,2.3318,2900.0,-0.0347845,1267.0,1268.82268265,0.0,0.0344495,-0.0288027,0.824301434866,0.177661
10.1492,119.81619906425476,0.772622,200,14.955422639846802,15.047811508178711,2.31739,2900.0,-0.00546335,1355.5,1288.04881507,0.0,0.0175866,-6.91656e-05,0.80957104333,0.19317
10.1489,144.69221138954163,0.772743,200,24.81206774711609,24.87144422531128,2.31736,2900.0,-0.0179464,1309.0,1277.81806217,0.0,0.0373601,-0.0108155,0.81487331607,0.22421
10.0941,160.29718017578125,0.770445,200,15.472599267959595,15.59593939781189,2.31195,2900.0,0.00140118,1457.5,1240.54171635,0.0,0.0236006,0.00890133,0.82219712011,0.204773
10.1391,175.50404000282288,0.771887,200,15.127646684646606,15.198232650756836,2.3164,3000.0,-0.0123838,1578.5,1202.90803888,0.0,0.0465438,-0.00374404,0.81271153476,0.244457
10.1202,189.51682806015015,0.771068,200,13.939213037490845,14.008275032043457,2.31453,2900.0,-0.00479754,1809.0,1029.32939334,0.0,0.0728023,0.00677827,0.797875325834,0.711773
10.1545,202.66411447525024,0.772425,200,13.0747811794281,13.14187216758728,2.31792,2900.0,-0.0532468,2299.0,476.024159051,600.0,0.244194,-0.0225468,0.931970048541,1.49894
10.0407,217.3432297706604,0.768096,200,14.563073635101318,14.67182445526123,2.30665,2900.0,-0.0556752,2524.5,261.055070818,1500.0,0.513994,-0.00486236,0.978630652902,2.57393
10.0163,231.54689717292786,0.766997,200,14.109548568725586,14.19700574874878,2.30422,2900.0,-0.0491468,2596.5,176.458918732,1600.0,0.0749288,-0.0378689,0.989600128708,0.567216
9.82846,246.61911273002625,0.759749,200,14.958208322525024,15.068369388580322,2.28528,3000.0,-0.0149744,2638.5,144.802451637,2200.0,0.0928975,-0.0054682,0.992635653931,0.590618
9.80162,260.7156970500946,0.758864,200,13.998530387878418,14.091864585876465,2.28255,3000.0,-0.0401746,2645.0,140.267601391,2200.0,0.106049,-0.0277858,0.993386506227,0.693926
9.66638,275.31092405319214,0.753583,200,14.511489868164062,14.590047836303711,2.26865,3000.0,-0.02957,2648.0,149.318451639,2000.0,0.0563488,-0.0207748,0.992605178669,0.689289
9.56649,290.0490987300873,0.749572,200,14.678537607192993,14.73341703414917,2.25827,3000.0,-0.0350272,2650.0,130.384048104,2200.0,0.0381288,-0.0290894,0.993862556004,0.388614
9.42836,304.72129130363464,0.744073,200,14.534745693206787,14.662779331207275,2.24372,3000.0,-0.0192452,2674.5,131.908111957,2300.0,0.0545853,-0.0110145,0.994288071796,0.445455
9.37658,318.61073780059814,0.741978,200,13.821603775024414,13.884687185287476,2.23821,3000.0,-0.021597,2661.0,124.012096184,2300.0,0.0923881,-0.0101464,0.993711863919,0.38639
9.32914,332.9826717376709,0.739973,200,14.255485534667969,14.3674635887146,2.23314,2900.0,-0.010511,2667.5,114.427924913,2300.0,0.161593,0.00332721,0.994942916931,1.21652
9.34467,347.99223709106445,0.740612,200,14.92214298248291,15.004890203475952,2.23481,3000.0,-0.0160483,2661.0,126.80299681,2300.0,0.183649,-0.00336128,0.993804953827,1.65746
9.32898,362.641827583313,0.739935,200,14.574837923049927,14.639738321304321,2.23313,2900.0,0.00418841,2659.0,118.823398369,2400.0,0.033158,0.0096856,0.99449799646,0.278952
9.37427,376.67717933654785,0.74178,200,13.90640640258789,14.02807331085205,2.23797,2900.0,0.00251845,2667.5,112.221878437,2300.0,0.0652446,0.0108518,0.994906201216,0.478586
9.42526,391.5062189102173,0.744027,200,14.726797580718994,14.821396827697754,2.24339,3000.0,0.0113532,2653.0,121.618255209,2300.0,0.0232432,0.0149546,0.994623538544,0.121361
