AveragePolicyStd,MinReturn,MaxKL,Entropy,ExplainedVariance,AverageReturn,LossBefore,MeanKL,StdReturn,NumTrajs,Perplexity,MaxReturn,Time,ItrTime,TotalExecTime,LossAfter
0.681555,0.0,58.4909,2.07111,0.597616801838,59.5,-0.0115038,4.00675,281.442267615,200,7.93364,1700.0,26.27868890762329,26.27869439125061,26.101705312728882,0.251388
0.677655,0.0,0.363279,2.05961,0.819314568389,1094.0,-0.00705439,0.0482428,1250.62544353,200,7.84289,2900.0,51.869115352630615,25.581682920455933,25.34505343437195,-0.0163739
0.676462,0.0,1.34386,2.05608,0.81926339675,1141.5,0.0150871,0.113083,1251.5701139,200,7.81527,2900.0,79.05582976341248,27.17750573158264,27.022435665130615,-0.0111105
0.679028,0.0,0.40336,2.06362,0.818166273651,1172.0,-0.000291733,0.0242315,1299.5445356,200,7.87445,3000.0,105.48815274238586,26.425307035446167,26.294992208480835,-0.00338483
0.678966,0.0,1.69911,2.06348,0.800903276282,1020.5,-0.00809017,0.134227,1223.16382795,200,7.87331,2900.0,131.12799763679504,25.63681149482727,25.45631456375122,-0.0411476
0.677585,0.0,1.20381,2.05943,0.82589115129,1173.5,-0.00363983,0.0903738,1259.06622145,200,7.84152,2900.0,156.80074405670166,25.657986402511597,25.410486459732056,-0.0273925
0.676968,0.0,0.325703,2.05761,0.818292383018,1041.0,0.017526,0.0270896,1217.29988088,200,7.82726,2900.0,180.46031665802002,23.656176567077637,23.49416208267212,0.00838453
0.679941,0.0,0.630289,2.06638,0.826028460964,1276.0,0.00601935,0.060478,1221.19777268,200,7.89616,2900.0,206.0722029209137,25.580597400665283,25.388128519058228,-0.00249484
0.680964,0.0,5.15615,2.06939,0.824919910649,1352.5,-0.0152665,0.444406,1257.21666788,200,7.91996,3000.0,232.52538084983826,26.447009325027466,26.26117706298828,-0.109814
0.678374,0.0,0.455856,2.06175,0.807662884418,1147.0,-0.00110217,0.0722866,1289.60885543,200,7.85973,2900.0,257.329843044281,24.796611547470093,24.543169021606445,-0.00878919
0.6782,0.0,0.544572,2.0612,0.814540893222,1114.5,-0.0117158,0.0655278,1254.16894795,200,7.8554,2900.0,281.07158946990967,23.719955921173096,23.571908473968506,-0.0234736
0.676235,0.0,0.380833,2.05534,0.81957288015,1342.5,-0.00555858,0.0469902,1268.20493218,200,7.80952,3000.0,307.87819957733154,26.76662254333496,26.510640859603882,-0.0145313
0.675279,0.0,4.41827,2.05256,0.794895891586,1372.0,-0.0154501,0.47816,1280.3577625,200,7.78785,2900.0,333.676433801651,25.77255082130432,25.593947649002075,-0.0953007
0.672687,0.0,0.570738,2.04484,0.822561399819,1437.0,0.0146595,0.0693623,1284.18495553,200,7.72792,2900.0,358.56196665763855,24.86437964439392,24.700368642807007,-0.00239245
0.675151,0.0,0.37051,2.05217,0.782706146982,1421.0,0.019219,0.0459269,1256.76529233,200,7.78477,3000.0,384.5251886844635,25.950682640075684,25.77826476097107,0.00975831
0.678402,0.0,0.985965,2.06178,0.779916197587,1514.5,-0.00650503,0.161915,1235.53217279,200,7.85994,3000.0,410.0132026672363,25.480553150177002,25.31268310546875,-0.022576
0.6773,0.0,0.736422,2.05853,0.797365907185,1916.0,0.000987366,0.0915479,982.366530374,200,7.83441,2900.0,435.56006121635437,25.535499095916748,25.30885910987854,-0.0132298
0.677482,0.0,1.76875,2.05902,0.882543828315,2183.5,-0.0178675,0.350141,702.550887837,200,7.83828,3000.0,461.50845766067505,25.94394564628601,25.801894664764404,-0.0546913
0.674471,900.0,1.66312,2.05009,0.965864951325,2454.5,-0.0208405,0.374075,356.342181056,200,7.76857,2900.0,487.2602779865265,25.744347095489502,25.56707262992859,-0.0654109
0.670998,2000.0,0.503792,2.03967,0.991485721174,2616.5,-0.0178864,0.0666693,154.200356679,200,7.68804,3000.0,512.5976688861847,25.328027486801147,25.257153272628784,-0.0281649
0.667963,2300.0,0.956427,2.03072,0.992498671602,2639.0,-0.0252628,0.191248,143.104856661,200,7.61959,2900.0,536.9400684833527,24.323750734329224,24.19170641899109,-0.0419952
0.66374,2200.0,0.945084,2.01809,0.994040892427,2657.0,-0.0166013,0.102469,132.857066052,200,7.52395,3000.0,560.9982993602753,24.047144889831543,23.960878133773804,-0.0265739
0.660986,2200.0,0.26783,2.00979,0.993124960018,2667.0,-0.00813721,0.0507839,135.318143647,200,7.46175,3000.0,585.7889974117279,24.777626276016235,24.610451221466064,-0.0151722
