Perplexity,Entropy,ExplainedVariance,Time,MaxReturn,TotalExecTime,StdReturn,LossAfter,AverageReturn,ItrTime,LossBefore,MaxKL,AveragePolicyStd,MinReturn,MeanKL,NumTrajs
7.93364,2.07111,0.197189471924,26.41647458076477,1400.0,26.088871717453003,131.19070089,-0.0523647,17.0,26.416481018066406,0.00249377,31.2023,0.681555,0.0,2.77187,200
7.95344,2.07361,0.826871598651,53.91241407394409,3000.0,27.255188465118408,1191.55360769,-0.0156479,1300.0,27.489781618118286,-0.0104769,0.191543,0.682402,0.0,0.0421438,200
7.91189,2.06837,0.824120540487,80.5190942287445,2900.0,26.398090600967407,1221.57930565,-0.0119077,1412.0,26.581642389297485,-0.00874647,0.260712,0.680619,0.0,0.0284119,200
7.87737,2.06399,0.847901332532,106.45149636268616,2900.0,25.841737270355225,1197.98789643,-0.0064125,1455.0,25.90516448020935,-0.000310011,0.426104,0.679132,0.0,0.0316101,200
7.87615,2.06384,0.837037715056,131.15903449058533,2900.0,24.51099967956543,1145.3513653,-0.000277778,1504.5,24.69818902015686,0.00328177,0.214329,0.679078,0.0,0.0288163,200
7.88908,2.06548,0.83241552359,155.62030792236328,2900.0,24.38224959373474,1219.29282783,-0.0118075,1385.0,24.45637607574463,-0.00144316,0.365323,0.679646,0.0,0.0541174,200
7.88339,2.06476,0.838882646198,180.07340931892395,2900.0,24.31752872467041,1171.19927852,-0.0231413,1518.5,24.44860076904297,-0.0102625,0.38985,0.679391,0.0,0.0632427,200
7.84304,2.05963,0.819122019267,203.97659039497375,2900.0,23.7895245552063,1225.79759749,-0.00956639,1354.5,23.90046000480652,-0.00903061,0.855691,0.677653,0.0,0.071228,200
7.80771,2.05511,0.811677639679,228.53542590141296,2900.0,24.441476106643677,1219.69504385,-0.0104576,1412.0,24.552589416503906,-0.00316323,0.214597,0.676123,0.0,0.026881,200
7.79537,2.05353,0.843462137392,253.59863901138306,2900.0,24.983609437942505,1171.14377853,0.00445812,1608.5,25.05482816696167,0.0109246,0.247766,0.675595,0.0,0.0239028,200
7.83807,2.05899,0.832211681963,278.94224095344543,2900.0,25.10201597213745,1169.64855833,-0.0135239,1716.5,25.330917358398438,-0.0104331,0.0530482,0.677441,0.0,0.011049,200
7.79728,2.05378,0.835726557041,303.09792160987854,2800.0,23.939212322235107,1178.40135353,0.00250794,1620.5,24.140510320663452,0.0108193,0.384513,0.675671,0.0,0.0650834,200
7.83958,2.05919,0.812863529474,328.02287006378174,2900.0,24.81299877166748,1147.65837687,0.00879164,1605.5,24.916810989379883,0.00698612,4.42908,0.677502,0.0,0.521241,200
7.86702,2.06268,0.877743382164,353.42651987075806,2900.0,25.244074821472168,935.315989385,-0.143069,1922.0,25.399833917617798,-0.0362969,10.7599,0.67869,0.0,1.0515,200
7.72552,2.04453,0.990745943915,378.04039454460144,3000.0,24.463785886764526,162.461533909,-0.0637322,2607.5,24.611549615859985,-0.0365386,2.52607,0.672555,2000.0,0.389861,200
7.58567,2.02626,0.992200994949,402.77956080436707,3000.0,24.46878957748413,151.327459504,-0.0328389,2640.0,24.73509454727173,-0.0236548,0.542547,0.666439,2100.0,0.0973068,200
7.49647,2.01443,0.992585632575,427.0476903915405,3000.0,24.107441902160645,141.134687444,-0.0256103,2659.0,24.248892784118652,-0.0182907,0.711908,0.662509,2200.0,0.100753,200
7.42823,2.00529,0.993965496102,451.5866734981537,3000.0,24.308786869049072,127.073797456,-0.0322461,2673.5,24.52990436553955,-0.0189446,0.63624,0.659491,2200.0,0.126725,200
7.3582,1.99582,0.99517873369,475.87081599235535,3000.0,24.058172464370728,115.221525767,-0.0285477,2682.0,24.276390075683594,-0.00583125,1.5843,0.656381,2400.0,0.262743,200
7.33678,1.9929,0.994363909395,500.16323804855347,3000.0,24.170832633972168,126.885775404,-0.0272843,2680.0,24.286797285079956,-0.0195169,0.325608,0.655423,2300.0,0.0592255,200
7.26553,1.98314,0.994271502969,525.4875221252441,3000.0,25.131841897964478,116.443119161,-0.00867855,2679.0,25.318743467330933,-0.00737877,0.0465222,0.652244,2400.0,0.0025609,200
7.23877,1.97945,0.993936595218,550.4681112766266,3000.0,24.884575843811035,126.837494456,-0.0136828,2678.5,24.969976663589478,-0.00857977,0.286429,0.651051,2300.0,0.0299861,200
7.20779,1.97516,0.993721008091,574.781635761261,3000.0,24.162813186645508,123.24670381,-0.00508172,2664.5,24.299201488494873,0.00296322,0.483443,0.649659,2300.0,0.0536209,200
7.21848,1.97664,0.993936466002,599.1340711116791,3000.0,24.097461462020874,134.011193562,-0.00862513,2679.0,24.34065842628479,0.00747479,1.23125,0.650159,2200.0,0.167648,200
7.2455,1.98038,0.994906463031,624.188764333725,2900.0,24.79817032814026,115.627635105,-0.0143161,2680.5,25.04178261756897,-0.00446563,0.739259,0.651374,2300.0,0.0676301,200
7.22934,1.97815,0.994522834351,648.6823687553406,2900.0,24.383949518203735,117.761411337,0.00991388,2686.5,24.47108030319214,0.0175875,0.60422,0.650682,2300.0,0.0675217,200
7.2932,1.98694,0.994565212385,686.0380563735962,2900.0,37.12396311759949,118.438802763,-0.0126305,2666.5,37.34447717666626,-0.0065753,0.306845,0.653553,2300.0,0.0389733,200
7.26926,1.98365,0.995007317994,711.2177548408508,3000.0,24.975095510482788,116.532184396,-0.00365798,2670.5,25.17244863510132,-0.00221177,0.0589365,0.652489,2400.0,0.00734637,200
7.26122,1.98255,0.995227693951,736.4287843704224,3000.0,25.071582794189453,105.848948979,-0.033871,2686.0,25.20708727836609,-0.0224606,0.846808,0.652088,2200.0,0.117692,200
7.18013,1.97132,0.994591243149,762.2157261371613,2900.0,25.503256797790527,113.837603629,-0.0591364,2671.0,25.747579097747803,-0.0167973,2.34042,0.648453,2400.0,0.532069,200
7.12008,1.96292,0.99503998179,787.7547764778137,2900.0,25.28230094909668,116.188424553,-0.0110162,2674.5,25.52985143661499,0.00275,1.0159,0.645773,2300.0,0.196868,200
7.12988,1.96429,0.994309628446,813.1852600574493,3000.0,25.20313262939453,114.864050077,0.0238844,2672.5,25.42507290840149,0.0344828,1.13699,0.646222,2400.0,0.105976,200
7.25388,1.98154,0.994995273111,839.6672315597534,3000.0,26.2799174785614,117.520211028,-0.00448496,2683.0,26.468668222427368,0.00253683,0.413872,0.651852,2400.0,0.0815808,200
7.26308,1.9828,0.994705185902,864.7557570934296,3000.0,24.966208934783936,116.322826651,-0.0177844,2687.0,25.079419374465942,-0.0157645,0.101828,0.652272,2300.0,0.0152471,200
7.20606,1.97492,0.995053892084,890.214234828949,3000.0,25.376806497573853,112.462215877,-0.0185833,2673.5,25.454106092453003,-0.00781416,0.439166,0.649677,2300.0,0.0738407,200
7.17796,1.97102,0.994668713662,916.1553380489349,3000.0,25.701289415359497,126.237870704,-0.0275724,2692.0,25.9332435131073,-0.0214638,1.16039,0.648401,2400.0,0.109942,200
7.10134,1.96028,0.994417919917,942.504506111145,3000.0,26.230928421020508,120.406602809,0.00391318,2676.5,26.325172424316406,0.00714618,0.306657,0.644898,2400.0,0.0262816,200
7.12675,1.96386,0.994429488974,967.4395489692688,3000.0,24.856906175613403,131.505703298,-0.00745924,2687.5,24.92545771598816,0.00500502,0.585048,0.646094,2300.0,0.0913957,200
7.14461,1.96636,0.994787493461,993.3432176113129,2900.0,25.69033908843994,110.488687204,-0.0182868,2681.5,25.866560220718384,-0.013156,0.186342,0.646894,2300.0,0.0390804,200
7.09777,1.95978,0.99485551815,1018.5347020626068,3000.0,24.961616039276123,124.703648704,-0.0185823,2693.0,25.176395177841187,-0.0113144,0.51438,0.644755,2400.0,0.0673148,200
7.05773,1.95412,0.994944968789,1042.652625799179,2900.0,23.840977907180786,108.02661709,0.00354423,2680.5,24.113417387008667,0.0106819,0.642343,0.642907,2400.0,0.0776799,200
7.09553,1.95946,0.995357904686,1067.170048713684,2900.0,24.373456716537476,104.096109437,-0.00978505,2692.0,24.50682830810547,-0.002832,0.652703,0.644583,2400.0,0.0683312,200
7.08548,1.95805,0.994999158652,1090.138837337494,2900.0,22.861040115356445,114.275981728,-0.0116769,2679.0,22.963619709014893,-0.00346915,0.66951,0.644123,2300.0,0.0678566,200
7.07321,1.95631,0.995247679432,1113.0943694114685,3000.0,22.88310408592224,103.4395959,-0.0176116,2674.5,22.951611518859863,-0.0105087,0.593452,0.643558,2400.0,0.066791,200
7.03614,1.95106,0.99470098125,1135.8592462539673,3000.0,22.619388580322266,121.70045193,-0.0433539,2683.0,22.756945848464966,-0.0263492,1.10486,0.641868,2300.0,0.171493,200
6.94405,1.93789,0.994886269848,1158.6564888954163,3000.0,22.708523511886597,114.210332282,0.00978588,2684.0,22.78980565071106,0.0137836,0.237649,0.637647,2300.0,0.0229541,200
6.99207,1.94478,0.99512670099,1181.176857471466,3000.0,22.443185806274414,111.44056712,-0.0371181,2691.0,22.509109258651733,-0.0275495,0.760903,0.639865,2300.0,0.0965976,200
6.89642,1.931,0.994698362208,1202.6064412593842,2900.0,21.31781506538391,119.461290802,-0.0188817,2677.0,21.419609308242798,-0.00534288,0.899044,0.635475,2300.0,0.138056,200
6.87802,1.92833,0.994956327322,1223.9813435077667,3000.0,21.289973974227905,116.27123462,-0.0155912,2691.0,21.3714816570282,-0.00926067,0.363665,0.634649,2400.0,0.0343707,200
6.84624,1.9237,0.994911947637,1245.2172374725342,3000.0,21.072718143463135,117.179349717,0.00406481,2687.0,21.219783782958984,0.0111319,0.28894,0.633155,2300.0,0.0488913,200
