MinReturn,LossBefore,NumTrajs,AverageReturn,MaxReturn,MaxKL,AveragePolicyStd,LossAfter,MeanKL,ItrTime,Entropy,ExplainedVariance,StdReturn,Time,TotalExecTime,Perplexity
0.0,-0.00327023,200,15.0,1500.0,10.8073,0.681555,-0.0420638,1.14485,26.743674278259277,2.07111,0.175660757372,115.217186218,26.74366807937622,26.42896270751953,7.93364
0.0,-0.0196745,200,112.5,1500.0,1.33677,0.680524,-0.0571708,0.181571,28.000757217407227,2.06784,0.420095007738,318.894575056,54.76299571990967,27.73897695541382,7.90773
0.0,0.00315333,200,245.0,1900.0,1.31042,0.677184,-0.0493374,0.262497,25.87483859062195,2.058,0.58761588109,508.404366622,80.66028356552124,25.591172695159912,7.83033
0.0,0.0130986,200,1071.5,2600.0,1.19952,0.677726,-0.0275005,0.160245,25.15649700164795,2.05958,0.778322193238,921.920685309,105.82556891441345,25.016817331314087,7.84269
0.0,-0.000305096,200,1177.0,2800.0,2.23919,0.679899,-0.0100492,0.246546,23.999579668045044,2.06613,0.833997750488,1111.0675047,129.85282444953918,23.931292057037354,7.89421
0.0,-0.00856132,200,1266.0,2900.0,0.0211472,0.679871,-0.011558,0.00474267,24.986759662628174,2.06598,0.84368561124,1124.0302487,154.8460054397583,24.889868021011353,7.89301
0.0,0.00440172,200,1380.5,2900.0,0.801834,0.678405,-0.0149347,0.133725,25.21600651741028,2.0617,0.833961715479,1167.12028086,180.07373189926147,25.15957474708557,7.85929
0.0,-0.0015327,200,1336.0,2900.0,1.42552,0.679129,-0.00360187,0.131546,24.241511821746826,2.0639,0.824506951934,1209.58835973,204.32983207702637,24.160743236541748,7.87661
0.0,0.00354929,200,1531.5,2800.0,1.03571,0.678884,-0.000987368,0.137816,23.76131558418274,2.06313,0.839586240487,1088.60357798,228.09719109535217,23.663384437561035,7.87058
0.0,-0.0351212,200,2033.5,2900.0,7.44902,0.679455,-0.124694,0.767708,25.8342502117157,2.06491,0.860394819317,692.551622625,253.940101146698,25.768048763275146,7.88456
1400.0,-0.02212,200,2418.5,2900.0,14.4704,0.673518,-0.109823,1.48207,25.348705768585205,2.04735,0.957574213483,296.154942555,279.2986304759979,25.18746018409729,7.74731
2000.0,-0.0172342,200,2617.5,3000.0,3.32138,0.669846,-0.0456433,0.319506,24.344953536987305,2.03629,0.992829235164,147.796312539,303.66261434555054,24.288769483566284,7.66209
2200.0,-0.0130099,200,2650.5,3000.0,0.332824,0.666931,-0.0190577,0.0391962,24.09831476211548,2.02767,0.99329380719,141.066473692,327.77295422554016,24.002556562423706,7.59635
2200.0,-0.0159707,200,2645.0,3000.0,0.408005,0.66476,-0.0217322,0.0358049,24.925732135772705,2.02116,0.993254672686,131.814263265,352.7077374458313,24.852707624435425,7.5471
2100.0,-0.0169752,200,2655.5,2900.0,0.866666,0.662136,-0.0261082,0.0792058,24.692639589309692,2.01318,0.992673785806,133.677784243,377.4084413051605,24.597150087356567,7.48707
2300.0,0.00793468,200,2672.0,2900.0,0.186037,0.659315,0.00251502,0.0293727,24.13292646408081,2.00469,0.993979402558,123.353151561,401.54550409317017,24.061835765838623,7.42379
2400.0,-0.0244295,200,2672.0,2900.0,0.354818,0.660642,-0.0334509,0.0521837,23.836267709732056,2.00866,0.995307066322,114.960862906,425.3913080692291,23.699010610580444,7.4533
2100.0,-0.00112789,200,2675.0,3000.0,1.5021,0.656635,-0.0143507,0.0879003,24.283419132232666,1.99644,0.99352177607,137.02189606,449.6816055774689,24.137781381607056,7.36282
2300.0,-0.0100577,200,2663.5,2900.0,0.483096,0.656431,-0.0181449,0.0896925,26.004132509231567,1.99588,0.993829564609,123.360244812,475.6936945915222,25.745556354522705,7.35867
2100.0,-0.0232631,200,2663.0,3000.0,1.17658,0.654807,-0.0481292,0.203486,24.469189167022705,1.99085,0.993962473625,133.157801123,500.17411756515503,24.20793652534485,7.32176
2200.0,-0.0113558,200,2668.5,3000.0,1.50229,0.650989,-0.0323439,0.205594,25.518872261047363,1.97922,0.994155283316,118.986343754,525.7135214805603,25.388110160827637,7.23708
2400.0,-0.00353565,200,2686.5,2900.0,0.762677,0.649138,-0.00929287,0.0738191,24.292101621627808,1.97354,0.994651627023,112.994468891,550.0166914463043,24.168240308761597,7.19611
2300.0,-0.000158768,200,2672.0,3000.0,1.07003,0.64857,-0.0122038,0.106517,24.47374963760376,1.97177,0.994401749564,114.087685576,574.497579574585,24.341453552246094,7.1834
2300.0,-0.00466637,200,2685.5,3000.0,0.302526,0.648608,-0.00915443,0.0415405,24.04725956916809,1.97169,0.994429352526,116.789340267,598.5499176979065,23.957359313964844,7.18283
2300.0,-0.00397514,200,2676.5,2900.0,1.00736,0.647877,-0.0187184,0.161223,25.31265664100647,1.96936,0.994310647215,122.872901813,623.8740558624268,25.16545844078064,7.16609
2400.0,0.0134732,200,2686.0,2900.0,0.986413,0.647229,0.00390633,0.105584,24.15327763557434,1.96737,0.994957087875,118.33849754,648.0435748100281,24.005552530288696,7.15186
2300.0,0.00247162,200,2674.5,3000.0,1.24713,0.649459,-0.0112924,0.127507,37.112101554870605,1.97411,0.994677457453,119.162703897,685.1617500782013,36.91809606552124,7.20021
2400.0,-0.00187398,200,2688.5,2900.0,1.28505,0.649823,-0.0172547,0.0998384,23.958504676818848,1.97535,0.995210112109,112.773002088,709.1413383483887,23.694384813308716,7.20911
2400.0,-0.00922223,200,2691.0,2900.0,2.8295,0.649517,-0.0344158,0.329428,25.216224670410156,1.97441,0.994606752204,117.128134963,734.3657441139221,24.9238224029541,7.20235
2400.0,-6.94506e-05,200,2681.5,2900.0,0.739985,0.648041,-0.00619346,0.050308,25.71206498146057,1.9698,0.995213910248,114.489082449,760.0824909210205,25.4972505569458,7.16922
2300.0,-0.0177548,200,2672.5,2900.0,0.700432,0.648058,-0.0262386,0.0710789,26.708070993423462,1.96976,0.994744113766,111.327220391,786.8289856910706,26.598124265670776,7.16897
2300.0,-0.0140327,200,2679.5,3000.0,0.238677,0.645242,-0.0188186,0.0443505,26.284582138061523,1.96088,0.994683966541,123.003048743,813.149466753006,26.021928548812866,7.10561
2300.0,0.00636565,200,2662.0,2900.0,0.895563,0.643102,-0.0158228,0.203362,25.119425773620605,1.95387,0.994406144257,127.106254763,838.285845041275,24.947092533111572,7.05593
2300.0,0.000725324,200,2672.5,3000.0,0.790676,0.644143,-0.00808302,0.0576738,25.494181156158447,1.95705,0.993773873418,134.140784253,863.7847971916199,25.31318688392639,7.07842
2300.0,-0.0229131,200,2689.0,3100.0,0.701511,0.644364,-0.03072,0.0619404,25.751845359802246,1.95741,0.994326060298,115.667627277,889.539044380188,25.55902338027954,7.08099
2300.0,-0.0129715,200,2674.0,2900.0,0.765117,0.640648,-0.0304167,0.128839,26.334309101104736,1.94596,0.994702832101,114.560027933,915.8799495697021,26.145698070526123,7.00033
2400.0,-0.00636866,200,2674.0,3000.0,1.91585,0.638457,-0.015269,0.0830761,25.362420797348022,1.93947,0.994613797543,118.844436134,941.2544922828674,25.113871097564697,6.95508
2400.0,0.00100878,200,2677.0,3000.0,0.290263,0.637383,-0.00336611,0.0283409,24.71975040435791,1.93629,0.995364934875,115.633040261,965.9848308563232,24.655985593795776,6.93296
2300.0,-0.00471309,200,2667.0,2900.0,1.51658,0.637628,-0.0257215,0.200891,24.80382990837097,1.93679,0.994895386698,115.373307138,990.7958841323853,24.668325185775757,6.93646
2300.0,0.00513546,200,2671.5,3000.0,1.27019,0.636802,-0.0137373,0.181125,24.018855333328247,1.93444,0.994919372503,111.075424825,1014.8189885616302,23.833093881607056,6.92013
2300.0,-0.00235673,200,2681.5,3000.0,0.943021,0.637684,-0.0205971,0.139554,24.719637155532837,1.937,0.995163142073,120.448121613,1039.5484564304352,24.638153553009033,6.93793
2300.0,-0.0223774,200,2678.0,2900.0,3.00526,0.637274,-0.0460391,0.186833,24.008390188217163,1.93582,0.994384525218,120.482363855,1063.564251422882,23.85904335975647,6.92976
2400.0,-0.0154684,200,2679.0,2900.0,0.445399,0.633676,-0.0243158,0.0686769,22.915032625198364,1.92464,0.994777705491,113.397530837,1086.4877710342407,22.830732345581055,6.85266
2300.0,-0.000414457,200,2673.0,2900.0,1.50029,0.631245,-0.0214879,0.153983,22.767786264419556,1.9169,0.995146758687,109.412065148,1109.2627301216125,22.68359112739563,6.79985
2300.0,-0.00916653,200,2673.5,2900.0,1.00685,0.631176,-0.0162232,0.0824727,22.490585327148438,1.91669,0.995363724472,113.347915729,1131.7678530216217,22.388089179992676,6.79845
2300.0,-0.00120966,200,2683.5,3100.0,0.551783,0.629691,-0.00778866,0.0480184,22.65448760986328,1.91211,0.994635688183,124.409605738,1154.428296327591,22.543967723846436,6.76736
2400.0,-0.00563009,200,2690.0,2900.0,0.303275,0.629502,-0.0115726,0.0389437,22.930726289749146,1.91151,0.994903354864,112.694276696,1177.3656740188599,22.836355924606323,6.76327
2300.0,-0.00826095,200,2668.0,2900.0,0.229591,0.628647,-0.011108,0.0162313,21.48289680480957,1.90869,0.994980083437,118.6423196,1198.8546080589294,21.388521671295166,6.74426
