AveragePolicyStd,MeanKL,LossBefore,Entropy,StdReturn,Perplexity,ItrTime,TotalExecTime,NumTrajs,Time,MaxKL,AverageReturn,LossAfter,ExplainedVariance,MaxReturn,MinReturn
1.0,0.000487991,0.00239638,2.83788,55.3534100124,17.0795,28.570972681045532,28.250731468200684,200,28.570966243743896,0.00126987,6.0,0.000817571,0.124343995009,700.0,0.0
1.0012,4.17633e-05,0.00834817,2.84027,64.8671719747,17.1204,26.724642515182495,26.428815841674805,200,55.30188059806824,9.52133e-05,6.5,0.00807284,0.116661654066,700.0,0.0
1.00329,3.55633e-05,-0.0158803,2.84445,63.4803119085,17.1921,29.73153328895569,29.54263997077942,200,85.0377893447876,4.09689e-05,4.5,-0.0160559,0.0486767660522,900.0,0.0
0.999315,0.000128012,0.00787473,2.83651,9.94987437107,17.0561,27.716229677200317,27.463284730911255,200,112.79233074188232,0.000327855,1.0,0.00710439,0.0813042113547,100.0,0.0
1.00129,0.000111789,-0.00369648,2.84045,98.9949493661,17.1234,27.822813510894775,27.680591106414795,200,140.6524097919464,0.000240471,10.0,-0.00429605,0.111347960945,1300.0,0.0
1.00036,4.85656e-05,0.0104068,2.8386,15.7400762387,17.0918,27.10962462425232,26.897595167160034,200,167.77840614318848,9.80854e-05,1.5,0.0101119,0.0824777779673,200.0,0.0
1.00297,0.000154399,-0.0171761,2.8438,35.8329457343,17.1809,26.32359004020691,26.173457145690918,200,194.12117075920105,0.000308705,4.0,-0.017963,0.109210889014,400.0,0.0
0.998668,0.000141094,0.000239465,2.83521,76.666485507,17.034,23.555388689041138,23.411781311035156,200,217.68197536468506,0.000492609,8.5,-0.000594268,0.0800177539702,900.0,0.0
0.998729,0.00019466,0.0116297,2.83533,110.488687204,17.036,24.4469633102417,24.35386824607849,200,242.13526582717896,0.000516597,18.5,0.0105949,0.160618929444,1100.0,0.0
1.00164,0.000135692,-0.0171059,2.84115,115.662223738,17.1354,24.74986457824707,24.615903615951538,200,266.88896226882935,0.000241144,16.5,-0.017797,0.14331242565,1100.0,0.0
0.997364,0.000179951,-0.00750579,2.83259,80.8146026409,16.9895,24.325148344039917,24.23242163658142,200,291.21960616111755,0.000515045,13.0,-0.00840813,0.146093644995,700.0,0.0
0.995505,0.000255399,0.00108168,2.82884,141.50618361,16.9258,23.990695476531982,23.932815074920654,200,315.2142708301544,0.00052914,24.0,-0.000143411,0.178895339209,1300.0,0.0
