LossBefore,MinReturn,MaxKL,ExplainedVariance,ItrTime,Perplexity,MeanKL,Time,AverageReturn,TotalExecTime,LossAfter,Entropy,AveragePolicyStd,NumTrajs,StdReturn,MaxReturn
0.00145454,0.0,0.00140135,0.105239348525,21.781015634536743,17.0795,0.000430853,21.781008005142212,9.5,21.621264934539795,0.000493228,2.83788,1.0,200,89.7761104081,900.0
0.00929031,0.0,0.00226524,0.138253402681,20.949064254760742,17.1043,0.000317639,42.73466515541077,14.0,20.790480613708496,0.0076107,2.83933,1.00075,200,108.18502669,1000.0
-0.00362342,0.0,0.0010863,0.0771794602239,20.926687717437744,17.184,0.000202265,63.667383909225464,7.5,20.854768991470337,-0.00457785,2.84398,1.00307,200,69.9553428982,900.0
0.00271259,0.0,0.00179945,0.0949038707874,19.00242280960083,17.1529,0.000299576,82.67599701881409,11.0,18.91351556777954,0.00131169,2.84216,1.00216,200,84.7289796941,900.0
0.0104126,0.0,0.000830545,0.166167330296,17.493967294692993,17.1761,0.000336611,100.17367029190063,23.5,17.436909198760986,0.00906715,2.84352,1.00283,200,151.320025112,1500.0
-0.0151147,0.0,0.00293935,0.18479737188,15.285815715789795,17.2658,0.000595062,115.47825646400452,28.0,15.199599266052246,-0.0174269,2.84873,1.00547,200,177.245592329,1900.0
-0.014232,0.0,0.00187013,0.186203221137,15.924498081207275,17.1358,0.00056509,131.4065432548523,31.5,15.84326982498169,-0.0160882,2.84117,1.00169,200,146.14290951,1100.0
0.00413188,0.0,0.0077275,0.311905850405,17.28032374382019,17.0143,0.00198587,148.695885181427,91.5,17.221510887145996,-0.0014066,2.83405,0.998127,200,290.994415754,1500.0
-0.0184072,0.0,0.00245821,0.212807049449,17.210800409317017,17.0495,0.0009186,165.91095089912415,81.5,17.147095203399658,-0.0209759,2.83612,0.999142,200,265.344587282,1700.0
-0.0139037,0.0,0.0051937,0.332282370184,17.270991802215576,16.8933,0.0019176,183.18991827964783,118.5,17.14668035507202,-0.018504,2.82692,0.994558,200,270.19946336,1300.0
0.00441596,0.0,0.00363946,0.351147312443,17.84754705429077,16.7763,0.00164234,201.04314184188843,172.0,17.778965711593628,0.000748113,2.81997,0.991099,200,356.393041458,1700.0
-0.0262796,0.0,0.0178933,0.433705857382,17.226364612579346,16.8133,0.00604589,218.29135990142822,299.0,17.16282629966736,-0.0382898,2.82217,0.992196,200,475.288333541,2000.0
-0.0253535,0.0,0.0150904,0.503283873248,18.16925597190857,16.5939,0.00608233,236.46752071380615,497.5,18.111941814422607,-0.0354924,2.80903,0.985705,200,569.862922114,1800.0
-0.0383601,0.0,0.0289118,0.561460919749,17.210593223571777,16.3848,0.0105031,253.68411231040955,691.5,17.14994239807129,-0.0538737,2.79636,0.979476,200,645.273391672,2300.0
-0.036529,0.0,0.0347438,0.675668970907,17.090448141098022,16.0736,0.0130957,270.78083968162537,1019.0,17.020305395126343,-0.0539741,2.77718,0.970109,200,636.112411449,2300.0
-0.0660078,0.0,0.0612842,0.762725055691,18.068100214004517,15.7827,0.0217957,288.8527853488922,1320.0,17.964000940322876,-0.0898933,2.75891,0.961307,200,648.382603098,2500.0
-0.0406082,0.0,0.0570741,0.839244163392,19.031815767288208,15.2703,0.0216387,307.88845229148865,1640.5,18.9350848197937,-0.0607026,2.72591,0.945584,200,529.34842023,2700.0
-0.0430592,500.0,0.105078,0.912145263881,18.760971546173096,14.9634,0.0359993,326.65504908561707,1886.5,18.667285203933716,-0.0702568,2.7056,0.936056,200,416.614630084,2600.0
-0.0666015,1100.0,0.0710909,0.950594710677,19.525920629501343,14.6446,0.026327,346.18793201446533,2129.5,19.42030668258667,-0.0870304,2.68407,0.92604,200,319.655674125,2700.0
-0.0611801,1500.0,0.108568,0.970477894246,19.090277671813965,14.165,0.0369019,365.28300952911377,2268.5,19.010813236236572,-0.0840382,2.65077,0.910746,200,261.453150679,2800.0
-0.0611499,1700.0,0.0280258,0.978052051855,18.896210432052612,13.7382,0.0125591,384.18367981910706,2383.0,18.790567636489868,-0.0720398,2.62018,0.896928,200,242.303528658,2900.0
-0.0727087,1500.0,0.0616637,0.982454447901,19.552345752716064,13.3245,0.023696,403.7443685531616,2423.0,19.46920657157898,-0.0891971,2.58961,0.883332,200,219.250997717,2800.0
-0.0171466,1900.0,0.059107,0.986816569196,19.314643144607544,12.8488,0.0202582,423.07172989845276,2505.0,19.222103357315063,-0.0264453,2.55325,0.867467,200,180.762274825,2900.0
-0.0661777,1700.0,0.0149027,0.986747110437,19.0229012966156,12.7392,0.00932617,442.09994173049927,2529.0,18.925304174423218,-0.0751353,2.54468,0.863699,200,198.64289567,2900.0
-0.0279549,2100.0,0.00462566,0.991955046651,19.379937410354614,12.3245,0.00199902,461.4830174446106,2586.5,19.278652906417847,-0.0303524,2.51159,0.849567,200,151.220864962,2900.0
-0.0567088,1800.0,0.0146661,0.990091224753,19.775811910629272,12.1535,0.00590903,481.26413011550903,2568.5,19.69116997718811,-0.0627128,2.49761,0.843667,200,164.796086119,2900.0
-0.0417672,2000.0,0.060631,0.990755946355,19.13021945953369,11.8137,0.0207074,500.40094661712646,2572.5,19.07141089439392,-0.0497484,2.46926,0.831765,200,165.208201976,2900.0
-0.0514302,2000.0,0.0860156,0.99163423359,18.9946870803833,11.5695,0.0250513,519.4061071872711,2600.5,18.927005529403687,-0.060338,2.44838,0.823077,200,150.165741766,2900.0
-0.0424419,2100.0,0.00312394,0.993531788703,19.450763463974,11.2758,0.0021076,538.866592168808,2635.0,19.352089166641235,-0.0454954,2.42266,0.812534,200,140.267601391,2900.0
-0.0405293,2200.0,0.0405091,0.992484415768,19.34086322784424,11.0391,0.0138038,558.2124993801117,2634.0,19.2836012840271,-0.0452554,2.40144,0.803969,200,143.331782937,3000.0
-0.0346066,2200.0,0.0128722,0.992784867286,21.44317054748535,10.8176,0.00581225,579.6692845821381,2654.0,21.342771291732788,-0.0378774,2.38118,0.795852,200,144.166570328,3000.0
-0.0198744,2200.0,0.000955522,0.993860416288,20.831092596054077,10.632,0.000195335,600.5063989162445,2643.0,20.72009038925171,-0.0205748,2.36387,0.788991,200,136.568664049,3000.0
-0.0112028,2200.0,0.0483275,0.993540097849,21.620156049728394,10.5269,0.016364,622.1313083171844,2648.5,21.556394815444946,-0.0156226,2.35394,0.785079,200,129.219774029,2900.0
-0.0212474,2300.0,0.012001,0.993221809366,21.765197277069092,10.4681,0.00207663,643.9021964073181,2646.0,21.575514793395996,-0.0225004,2.34833,0.782887,200,136.689428999,2900.0
-0.0157661,2300.0,0.0232955,0.994242392304,21.95250654220581,10.3575,0.00634606,665.8584222793579,2654.5,21.8017098903656,-0.0175011,2.33771,0.778737,200,120.746635564,2900.0
-0.00264867,2400.0,0.00867429,0.993482450775,21.855600118637085,10.2762,0.00303017,687.7192199230194,2642.0,21.729778051376343,-0.00440628,2.32983,0.775681,200,133.925352342,3000.0
-0.0107374,2300.0,0.0641664,0.995103338705,21.560600996017456,10.2626,0.0204313,709.2829887866974,2667.0,21.483707189559937,-0.0150015,2.3285,0.77516,200,111.852581553,3000.0
-0.00558444,2200.0,0.0348917,0.992522177318,21.330100059509277,10.2076,0.00981353,730.6214988231659,2638.0,21.264153242111206,-0.00750012,2.32313,0.773081,200,139.125842316,2900.0
-0.0232201,2300.0,0.0287586,0.994778026709,21.207729816436768,10.1792,0.00680707,751.8355624675751,2682.0,21.13549828529358,-0.0249791,2.32034,0.772003,200,121.144541767,3000.0
-0.010572,2400.0,0.0155979,0.994123827707,21.334917068481445,10.0617,0.00477366,773.1788756847382,2673.0,21.218470573425293,-0.0122885,2.30873,0.767534,200,120.710397232,3000.0
-0.00887013,2400.0,0.0132261,0.995022421172,21.506977081298828,10.0086,0.00416613,794.6940772533417,2673.5,21.4216890335083,-0.0104002,2.30345,0.76551,200,116.823584948,3000.0
-0.0210086,2300.0,0.0314432,0.994523924896,21.0862557888031,9.96432,0.0121719,815.7884790897369,2662.5,21.032801151275635,-0.0249483,2.29901,0.763812,200,122.244631784,2900.0
