MinReturn,AverageReturn,TotalExecTime,NumTrajs,ExplainedVariance,Time,MeanKL,MaxKL,AveragePolicyStd,Perplexity,MaxReturn,StdReturn,Entropy,ItrTime,LossBefore,LossAfter
0.0,0.0,25.382747888565063,200,1,25.569581270217896,0.0,0.0,1.0,17.0795,0.0,0.0,2.83788,25.5695903301239,-0.0,-0.0
0.0,0.0,25.509055852890015,200,1,51.185675859451294,0.0,0.0,1.0,17.0795,0.0,0.0,2.83788,25.589534997940063,-0.0,-0.0
0.0,3.5,26.161115884780884,200,0.0875745334085,77.65005445480347,9.1464e-05,0.000143003,1.0,17.0795,600.0,42.8689864587,2.83788,26.448039770126343,-0.0173831,-0.0177902
0.0,4.0,25.827018976211548,200,0.0999753630783,103.68785881996155,9.40756e-05,0.000418599,0.995667,16.9317,800.0,56.4269439187,2.82919,26.026037454605103,-0.00216584,-0.00264073
0.0,16.0,26.864939212799072,200,0.21308604923,130.76303434371948,0.000472883,0.00290575,0.995135,16.9133,1500.0,139.441744108,2.8281,27.05307364463806,0.00703481,0.00452933
0.0,18.5,25.93821406364441,200,0.214901840119,156.92468357086182,0.000424428,0.00149626,0.996891,16.9729,1400.0,131.938432612,2.83162,26.135673761367798,0.0222945,0.0204051
0.0,13.5,27.448622465133667,200,0.198192178504,184.6913447380066,0.000364529,0.00150001,1.00249,17.1632,700.0,75.9457042893,2.84277,27.746830940246582,-0.0130968,-0.0147505
0.0,33.0,26.037980794906616,200,0.257319038743,210.94267749786377,0.00030158,0.00101174,0.999222,17.0512,1100.0,149.368671414,2.83622,26.24644899368286,-0.00593613,-0.00719599
0.0,28.0,26.598833799362183,200,0.169168404785,237.77796983718872,0.000433411,0.00175372,0.997757,17.0006,1400.0,140.413674548,2.83325,26.817909955978394,0.0106645,0.00874284
0.0,49.0,25.772490739822388,200,0.265536078591,263.75486850738525,0.000447026,0.00167007,1.00046,17.0915,1400.0,207.120737735,2.83858,25.973018169403076,0.00258853,0.000813318
0.0,62.5,25.845531940460205,200,0.284179865943,289.79055285453796,0.000885339,0.00348608,1.00113,17.1137,1800.0,249.286481784,2.83988,26.02834439277649,-0.00129635,-0.00478642
0.0,95.5,26.15980339050293,200,0.323490311022,316.1593053340912,0.00125929,0.00490272,1.00086,17.1026,2100.0,285.008333212,2.83923,26.360228776931763,-0.0267728,-0.0313503
0.0,126.0,26.870668649673462,200,0.318958651415,343.32608914375305,0.00137232,0.00508349,0.99411,16.8752,1800.0,345.28828535,2.82584,27.15481734275818,-0.0135226,-0.0175345
0.0,168.0,25.932787656784058,200,0.333976347924,369.5817394256592,0.00336285,0.012827,0.990752,16.7614,1700.0,360.24436151,2.81908,26.235605478286743,-0.0119421,-0.0200366
0.0,297.5,25.60246992111206,200,0.433824749075,395.3764441013336,0.00248806,0.00853585,0.987858,16.6617,2000.0,481.709196508,2.81311,25.79019856452942,-0.0163674,-0.022655
0.0,396.5,24.515522718429565,200,0.464935552988,419.97107887268066,0.00406785,0.0123791,0.983814,16.5259,2000.0,539.479146956,2.80493,24.587879419326782,-0.0198656,-0.0287259
0.0,566.0,24.30987310409546,200,0.535499613805,444.4686577320099,0.00387997,0.0111426,0.978864,16.3625,2400.0,624.134600867,2.79499,24.488077878952026,-0.0188407,-0.0270313
0.0,729.5,25.937188148498535,200,0.633638516531,470.52808451652527,0.00699707,0.0185827,0.974235,16.2091,2200.0,689.332829626,2.78557,26.05490732192993,-0.0241781,-0.0371539
0.0,919.5,25.16049289703369,200,0.649050410615,495.86559081077576,0.00749246,0.0210701,0.968389,16.0143,2300.0,626.154733273,2.77348,25.32711386680603,-0.0488402,-0.0613117
0.0,1272.0,25.935933351516724,200,0.713870587512,522.0751111507416,0.0147019,0.0450584,0.956631,15.628,2500.0,610.668486169,2.74906,26.187662601470947,-0.0232168,-0.0419699
0.0,1531.5,26.490593910217285,200,0.830411446491,548.6901497840881,0.0140505,0.0378258,0.951061,15.4476,2500.0,531.27935213,2.73746,26.59578561782837,-0.06775,-0.0869066
100.0,1719.5,25.88608717918396,200,0.877026887638,574.7712275981903,0.019486,0.0521535,0.935089,14.9331,2500.0,481.009095548,2.70358,26.074304342269897,-0.0477854,-0.0693531
0.0,1882.5,24.73245334625244,200,0.912657770041,599.7253134250641,0.0266383,0.0759151,0.923975,14.5805,2600.0,432.369922636,2.67969,24.911964654922485,-0.0580305,-0.0833979
900.0,2081.0,25.773194313049316,200,0.947491097412,625.8011131286621,0.0327833,0.0941004,0.910658,14.1636,2800.0,342.985422431,2.65067,26.070733070373535,-0.0617131,-0.0884409
1500.0,2263.0,24.675102710723877,200,0.97201507853,650.8145277500153,0.0174318,0.0457769,0.896721,13.7332,2800.0,243.168665745,2.61982,25.009214639663696,-0.0525837,-0.0666245
1600.0,2324.5,25.12754487991333,200,0.979180709177,676.1912648677826,0.00948529,0.0239983,0.884998,13.3768,2900.0,237.170297466,2.59352,25.365935564041138,-0.0386864,-0.0477421
1700.0,2386.5,25.51539444923401,200,0.980157795181,701.9003303050995,0.015395,0.0418254,0.876475,13.1206,2800.0,220.834213835,2.57418,25.696154356002808,-0.0416997,-0.0521152
1800.0,2456.5,26.15800380706787,200,0.985432138838,728.2815163135529,0.0262063,0.0759867,0.867391,12.8498,2900.0,207.984975419,2.55333,26.371270656585693,-0.0547856,-0.0696664
2000.0,2476.0,27.482502460479736,200,0.98844608903,756.056604385376,0.0259431,0.0819239,0.855592,12.5026,2900.0,171.82549287,2.52594,27.751129627227783,-0.0485549,-0.0607565
1700.0,2524.5,26.034258127212524,200,0.989322120008,782.3423116207123,0.0281481,0.0760821,0.845281,12.2028,3000.0,177.903766121,2.50166,26.279587268829346,-0.0552424,-0.0701159
2100.0,2573.0,27.849647045135498,200,0.990344789906,810.4736003875732,0.0219525,0.0591629,0.833735,11.8703,2900.0,166.045174576,2.47404,28.112932205200195,-0.0478499,-0.0582288
2000.0,2590.0,26.4165940284729,200,0.990487742314,837.1461334228516,0.0179375,0.0581375,0.823806,11.5897,3000.0,169.705627485,2.45012,26.665087699890137,-0.036861,-0.0441603
2200.0,2612.0,28.276676416397095,200,0.9927199106,865.6468980312347,0.000958991,0.00369591,0.81622,11.378,2900.0,143.02447343,2.43168,28.463465213775635,-0.0243461,-0.0258787
1900.0,2597.5,26.34434413909912,200,0.992536944644,892.1628477573395,0.0220135,0.0663234,0.811266,11.2404,3000.0,148.13422967,2.41951,26.493255138397217,-0.0430445,-0.0504637
2100.0,2620.0,27.122265338897705,200,0.992023978094,919.5634903907776,0.0127035,0.039069,0.802585,11.001,2900.0,140.712472795,2.39799,27.373284101486206,-0.0402476,-0.0443067
2200.0,2613.0,27.250869274139404,200,0.991190511918,947.1019632816315,0.0251426,0.0860386,0.794555,10.7819,2900.0,145.3650577,2.37787,27.531221628189087,-0.018674,-0.0255723
2200.0,2636.0,26.19637656211853,200,0.993210340913,973.5258326530457,0.00245529,0.00656658,0.79089,10.6817,2900.0,133.431630433,2.36853,26.389381408691406,-0.0133267,-0.0144605
2000.0,2642.5,27.114017724990845,200,0.992578168586,1000.7852640151978,0.000965705,0.00192393,0.788309,10.6107,2900.0,150.810311319,2.36187,27.240152597427368,-0.00220314,-0.00295521
2200.0,2654.5,26.679741859436035,200,0.993592433643,1027.7421102523804,0.00262786,0.0091594,0.787878,10.599,3000.0,135.940244225,2.36076,26.94175410270691,-0.0228983,-0.0248929
2200.0,2661.5,27.562551498413086,200,0.994534746401,1055.645925283432,0.00873904,0.0261646,0.783377,10.4784,3000.0,124.369409422,2.34932,27.887720108032227,-0.0187484,-0.0212068
2300.0,2660.0,28.040308952331543,200,0.994430665648,1083.9349043369293,0.00629129,0.0205251,0.779671,10.3806,2900.0,126.491106407,2.33994,28.273701667785645,-0.012605,-0.0146099
2300.0,2662.0,26.690414667129517,200,0.99394748996,1110.8511073589325,0.00662084,0.0236571,0.777209,10.3154,2900.0,125.123938557,2.33364,26.89361333847046,0.00130207,-0.000230041
2200.0,2655.5,26.830597400665283,200,0.993974154727,1137.9199388027191,0.0105054,0.0336907,0.777455,10.3221,3000.0,124.77880429,2.33429,27.065104722976685,-0.00362841,-0.00751622
2300.0,2672.0,27.2419593334198,200,0.994680447145,1165.4735431671143,0.000157919,0.000664413,0.776776,10.3034,3000.0,126.554336156,2.33247,27.545865535736084,-0.00520584,-0.00568662
2300.0,2680.5,25.75502610206604,200,0.995386823165,1191.5298221111298,0.0146055,0.0430926,0.775734,10.2766,3000.0,114.323007308,2.32987,26.051695346832275,-0.0257728,-0.0293051
2300.0,2658.5,27.220831155776978,200,0.994464530101,1218.9402585029602,0.000792745,0.00210987,0.770783,10.145,2900.0,121.357941644,2.31699,27.390968084335327,-0.0212237,-0.0218512
2300.0,2668.5,26.3713481426239,200,0.994286792037,1245.5805282592773,0.000861219,0.00411412,0.766735,10.038,3000.0,127.897419833,2.30637,26.621139764785767,-0.0262628,-0.027298
2300.0,2684.5,27.56469440460205,200,0.994837190247,1273.3709366321564,0.000631778,0.00242341,0.761651,9.90701,3000.0,121.695316262,2.29324,27.781954765319824,-0.0157819,-0.0161999
2200.0,2662.0,28.54139280319214,200,0.994040848876,1302.203945159912,0.010496,0.0404745,0.758638,9.82914,3000.0,127.89057823,2.28535,28.816314935684204,-0.0269882,-0.0306305
2300.0,2684.5,27.67977237701416,200,0.994939693296,1330.2049148082733,0.016193,0.0540999,0.753533,9.6974,3000.0,118.362789761,2.27186,27.980416774749756,-0.00553137,-0.00890575
