MeanKL,Entropy,LossAfter,MaxReturn,StdReturn,ItrTime,Time,Perplexity,TotalExecTime,LossBefore,AverageReturn,AveragePolicyStd,MinReturn,NumTrajs,ExplainedVariance,MaxKL
0.000607737,2.83788,0.0133307,300.0,21.1601039695,22.557496786117554,22.557491302490234,17.0795,22.435532808303833,0.0152856,1.5,1.0,0.0,200,0.041413702785,0.00290042
0.000325894,2.85316,0.0134851,1400.0,114.035082321,22.742124319076538,45.30429148674011,17.3426,22.622937202453613,0.0150665,14.0,1.00767,0.0,200,0.159770924664,0.00145488
0.000373502,2.8607,-0.0219779,800.0,83.5164654425,22.551543951034546,67.86178827285767,17.4737,22.470280170440674,-0.0203827,15.0,1.01148,0.0,200,0.18801168927,0.00111488
0.000137472,2.8505,0.0105907,800.0,66.7158152165,22.024678230285645,89.89945411682129,17.2965,21.8507661819458,0.0112305,7.0,1.00635,0.0,200,0.0961089204134,0.000496528
0.000198451,2.85612,-0.00404758,1500.0,139.681781203,21.757194757461548,111.67022156715393,17.3939,21.694474935531616,-0.00328275,17.0,1.00918,0.0,200,0.114677753215,0.000557102
0.000334281,2.85448,0.000382128,800.0,77.3239936889,21.230199098587036,132.91198897361755,17.3654,21.17697024345398,0.00156631,11.0,1.00837,0.0,200,0.10744847769,0.00120636
0.0004998,2.85526,0.00175705,1500.0,153.556992677,21.178669691085815,154.0964527130127,17.379,21.115981101989746,0.00364738,29.5,1.00877,0.0,200,0.140506266587,0.00229955
0.000529737,2.85709,-0.0213896,1500.0,200.568566829,20.565074920654297,174.67981815338135,17.4107,20.501296281814575,-0.0194349,41.5,1.00969,0.0,200,0.199091642265,0.00206038
0.00133545,2.84737,0.00157426,1600.0,224.182403413,17.960118055343628,192.64473915100098,17.2423,17.894421577453613,0.00567083,56.5,1.00482,0.0,200,0.272023180009,0.00400676
0.0020835,2.8502,-0.00965862,1700.0,303.377240412,16.252373933792114,208.90578150749207,17.2913,16.155094623565674,-0.00423844,103.5,1.0063,0.0,200,0.29218525626,0.00725832
0.00244484,2.84808,-0.0264947,1600.0,365.512995665,15.523903369903564,224.44058895111084,17.2547,15.433239221572876,-0.0209133,174.5,1.00524,0.0,200,0.333723296122,0.00759537
0.00276511,2.83763,-0.00903713,1600.0,431.833011707,17.12884497642517,241.57235097885132,17.0752,17.0545494556427,-0.00285942,245.5,0.999972,0.0,200,0.389588702531,0.00714308
0.00639911,2.8362,-0.0367157,1900.0,521.248501197,17.405834674835205,258.9909188747406,17.0508,17.343847513198853,-0.0246417,410.0,0.999241,0.0,200,0.490681944188,0.0179118
0.00694636,2.82388,-0.0287312,2200.0,569.796235509,17.21004629135132,276.21339440345764,16.842,17.07434844970703,-0.0173461,538.5,0.993057,0.0,200,0.511567124828,0.0169147
0.0112235,2.8152,-0.0566856,2200.0,664.657618628,17.887940883636475,294.1054518222809,16.6966,17.834059953689575,-0.0401827,819.5,0.988755,0.0,200,0.612280508031,0.0282038
0.015635,2.79511,-0.0708303,2400.0,681.286283437,17.26876997947693,311.3805606365204,16.3645,17.136735916137695,-0.0493716,1093.0,0.97886,0.0,200,0.68399677542,0.0389975
0.0258765,2.77043,-0.0723918,2600.0,588.241234529,17.821380853652954,329.20483899116516,15.9654,17.755425930023193,-0.0451884,1533.5,0.966838,0.0,200,0.819729175008,0.0651646
0.0403038,2.74783,-0.0951329,2600.0,540.166409544,17.52858018875122,346.75220584869385,15.6088,17.438680410385132,-0.0613452,1670.5,0.955976,0.0,200,0.827944202925,0.118237
0.0415122,2.71716,-0.10564,2800.0,433.178946857,17.312682151794434,364.07237672805786,15.1373,17.24286437034607,-0.0705308,2016.0,0.941429,500.0,200,0.926549990121,0.111326
0.0227884,2.68189,-0.0817068,2800.0,302.124146668,17.741669416427612,381.8324165344238,14.6127,17.624895095825195,-0.0657545,2239.0,0.924996,800.0,200,0.959859065899,0.0635861
0.0346764,2.64902,-0.0620275,2800.0,266.258802671,19.090251207351685,400.92678928375244,14.1401,18.993715047836304,-0.0427626,2347.5,0.909908,1400.0,200,0.976318214927,0.0994231
0.0153377,2.62764,-0.0588737,2800.0,200.688813839,19.161134481430054,420.09382462501526,13.841,19.102343797683716,-0.0480915,2418.0,0.900221,1800.0,200,0.981986885567,0.037301
0.0361295,2.60359,-0.0791279,2900.0,204.868250346,19.20682668685913,439.3201279640198,13.5122,19.137473821640015,-0.0610012,2473.0,0.889467,1800.0,200,0.985965204419,0.101898
0.0411975,2.57309,-0.0742399,2900.0,181.630806858,19.248162269592285,458.58630418777466,13.1063,19.14671778678894,-0.0578053,2535.5,0.875996,1800.0,200,0.988196555142,0.129333
0.00151517,2.54419,-0.0334079,3000.0,162.0,18.864779233932495,477.454261302948,12.7329,18.78164315223694,-0.0313424,2584.0,0.863429,2100.0,200,0.991179289143,0.00245939
0.00895001,2.52852,-0.0501489,3100.0,158.363505897,19.375685691833496,496.8400402069092,12.5349,19.307026863098145,-0.0456957,2589.0,0.856694,2200.0,200,0.990866229504,0.0228856
0.0184511,2.50567,-0.0310504,3000.0,160.869512338,19.335092544555664,516.1856007575989,12.2517,19.270745515823364,-0.024997,2589.0,0.846958,2100.0,200,0.9911536286,0.0577131
0.0342997,2.49317,-0.037014,2900.0,139.856176124,19.143821716308594,535.3345959186554,12.0996,19.07772970199585,-0.0272416,2609.5,0.841681,2100.0,200,0.99294773538,0.121177
0.0018232,2.47955,-0.0337159,2900.0,129.888413648,19.557222366333008,554.9081690311432,11.9359,19.476269960403442,-0.03153,2627.0,0.835974,2200.0,200,0.99405645241,0.00418094
0.0144677,2.46378,-0.0229427,3000.0,130.551713891,19.738630294799805,574.657506942749,11.7492,19.67693018913269,-0.0190843,2637.5,0.829406,2300.0,200,0.993984877012,0.0651978
0.03201,2.45424,-0.057583,3000.0,141.985034423,19.51143455505371,594.1775853633881,11.6376,19.371649265289307,-0.0482038,2634.5,0.82546,2200.0,200,0.993247003292,0.106816
0.0100163,2.43014,-0.0233599,2900.0,135.631854665,19.31471276283264,613.4974977970123,11.3605,19.245128870010376,-0.0194833,2648.0,0.81557,2200.0,200,0.993311877299,0.0255657
0.00445233,2.4204,-0.0161244,3000.0,139.642400438,19.660605907440186,633.1620254516602,11.2503,19.59155011177063,-0.0139949,2650.0,0.811613,2200.0,200,0.993176181147,0.0159107
0.00867606,2.4134,-0.0217092,3000.0,134.458171935,19.042298078536987,652.2286026477814,11.1719,18.939768075942993,-0.018803,2639.0,0.808774,2100.0,200,0.993370907033,0.0256577
0.00712713,2.404,-0.0346561,3000.0,135.527672451,20.807814121246338,673.0425083637238,11.0674,20.67404341697693,-0.0307715,2661.5,0.804979,2100.0,200,0.993531442311,0.0182359
0.0276463,2.38861,-0.000876953,3000.0,141.883755236,21.30934166908264,694.3547837734222,10.8984,21.226763248443604,0.00435103,2663.0,0.798816,2200.0,200,0.993219797667,0.0969507
0.00655062,2.39079,-0.0170506,3000.0,129.010658474,21.85288906097412,716.2178111076355,10.9221,21.721304893493652,-0.0151309,2677.5,0.799684,2300.0,200,0.99423116582,0.0226103
0.0193368,2.38322,-0.017723,3000.0,133.954283246,21.3531653881073,737.5812504291534,10.8398,21.256240606307983,-0.0136984,2662.5,0.79666,2100.0,200,0.99358305178,0.072238
0.000894998,2.37637,0.0140101,3100.0,123.360244812,22.171342611312866,759.7582302093506,10.7658,22.07088828086853,0.0147492,2663.5,0.793953,2300.0,200,0.994464751039,0.00435303
0.00315827,2.38375,-0.00926227,3000.0,131.677636674,22.71950912475586,782.4810655117035,10.8455,22.631583213806152,-0.00787707,2669.0,0.796889,2300.0,200,0.993330825473,0.0107103
0.0180969,2.37981,-0.0169784,2900.0,116.940155635,21.840296030044556,804.3293676376343,10.8029,21.7204110622406,-0.013238,2665.0,0.795322,2300.0,200,0.99454210796,0.0726643
0.00419132,2.37319,-0.0157597,3000.0,131.814263265,21.288864374160767,825.6231968402863,10.7316,21.199206829071045,-0.0147031,2665.0,0.792707,2200.0,200,0.99363070327,0.0135068
0.00402454,2.36584,-0.0147398,3100.0,127.734098815,21.339235305786133,846.9671788215637,10.653,21.242159128189087,-0.0137662,2672.0,0.789799,2300.0,200,0.99437259926,0.0145034
0.00217722,2.35896,-0.0184079,3000.0,115.973057216,21.38642406463623,868.3577373027802,10.5799,21.268664121627808,-0.0173858,2675.5,0.787081,2400.0,200,0.994609356032,0.00641322
0.00019396,2.35026,-0.01694,2900.0,113.22433484,21.454766273498535,889.8173525333405,10.4883,21.358360528945923,-0.0165157,2669.5,0.783665,2300.0,200,0.995238437042,0.00107633
0.0118452,2.34201,-0.0060388,3000.0,127.353837791,20.936003923416138,910.7586464881897,10.4021,20.8436598777771,-0.00371741,2659.0,0.780433,2400.0,200,0.993951708389,0.0464538
0.0125944,2.34015,-0.00787166,2900.0,116.322826651,20.99837636947632,931.759752035141,10.3828,20.910879611968994,-0.0050541,2663.0,0.779721,2300.0,200,0.994988827136,0.0403871
0.00716105,2.33762,-0.00665619,3000.0,123.489878128,21.135987043380737,952.9004509449005,10.3566,21.032881259918213,-0.00300356,2675.5,0.778752,2300.0,200,0.994060128303,0.0272123
0.00268319,2.33612,-0.0212262,2900.0,118.570654042,21.31727647781372,974.2226717472076,10.341,21.209217071533203,-0.0202241,2671.0,0.778126,2200.0,200,0.994872277108,0.00874135
0.00536017,2.32601,-0.0135245,3000.0,129.45655642,21.205546855926514,995.4310963153839,10.237,21.116461277008057,-0.0114876,2679.0,0.774198,2200.0,200,0.99372835857,0.0162708
