AverageReturn,Entropy,AveragePolicyStd,MeanKL,LossBefore,Perplexity,TotalExecTime,MinReturn,Time,NumTrajs,MaxReturn,LossAfter,MaxKL,ExplainedVariance,StdReturn,ItrTime
1.0,2.82159,0.991891,0.00249287,0.00226617,16.8035,37.382434606552124,0.0,37.69121050834656,200,200.0,-0.000114016,0.0099002,0.100301418606,14.1067359797,37.69121599197388
46.5,2.82386,0.993041,0.00514791,-0.0101617,16.8417,36.390164375305176,0.0,74.54966855049133,200,1300.0,-0.0180511,0.0269769,0.352015490905,215.61018065,36.84375047683716
118.5,2.81877,0.99054,0.00620139,-0.0108337,16.7563,35.53770065307617,0.0,110.53168845176697,200,1800.0,-0.0189764,0.0284201,0.433624310835,332.577434592,35.964691400527954
243.5,2.81336,0.987855,0.012481,-0.0208595,16.6658,35.41732931137085,0.0,146.40239787101746,200,2000.0,-0.0346393,0.0454032,0.457979353636,503.247205655,35.855783462524414
490.5,2.80293,0.982722,0.0215829,-0.0264282,16.4929,34.775744676589966,0.0,181.61528420448303,200,2300.0,-0.0460098,0.0767772,0.520202143272,654.873842812,35.200722455978394
798.5,2.78971,0.976265,0.0210549,-0.0341404,16.2764,36.6305468082428,0.0,218.5944516658783,200,2600.0,-0.0508415,0.0647625,0.571844219333,670.483221267,36.96275448799133
1311.5,2.77264,0.967965,0.0348405,-0.0453455,16.0009,36.74331998825073,0.0,255.75184750556946,200,2700.0,-0.0702969,0.104839,0.726473042016,623.873184229,37.14485430717468
1626.5,2.74997,0.957019,0.0539846,-0.0485574,15.6422,36.57799768447876,0.0,292.7816958427429,200,2600.0,-0.0819398,0.168132,0.785353464944,564.223138483,37.003448247909546
1978.5,2.72569,0.94546,0.0231139,-0.0573354,15.267,35.9551784992218,600.0,329.0575921535492,200,2900.0,-0.0722214,0.0663776,0.856211949285,402.104153174,36.25675415992737
2152.5,2.69703,0.932,0.0588363,-0.0505609,14.8355,38.401695728302,900.0,367.7863223552704,200,2800.0,-0.0784121,0.183825,0.945473153365,344.374432849,38.712186336517334
2315.0,2.67174,0.92029,0.0100031,-0.0384332,14.4652,36.7786500453949,1100.0,404.99983382225037,200,2900.0,-0.0466124,0.0173196,0.949493582682,298.621834433,37.19875478744507
2383.5,2.65253,0.911491,0.0401037,-0.0411628,14.1899,35.589356899261475,1600.0,441.02044439315796,200,3000.0,-0.0604186,0.10293,0.975985871906,263.396564139,36.006067752838135
2468.0,2.63195,0.902162,0.0167411,-0.0373123,13.9008,34.93484663963318,1400.0,476.42073369026184,200,2900.0,-0.0454867,0.0441358,0.982365366067,219.945447782,35.386821031570435
2532.0,2.61329,0.893787,0.0211106,-0.0592469,13.6439,39.51436471939087,1500.0,516.4850404262543,200,2900.0,-0.0687842,0.0593101,0.985343115814,204.147005856,40.04653191566467
2571.0,2.58367,0.880643,0.0528967,-0.0327463,13.2456,38.950291872024536,2000.0,555.7281823158264,200,3000.0,-0.0521191,0.15934,0.989411702735,185.63135511,39.22940707206726
2589.5,2.56729,0.873462,0.013292,-0.0384056,13.0305,34.0723774433136,2000.0,590.1190052032471,200,2900.0,-0.0436323,0.0386175,0.991829776438,158.239533619,34.36582088470459
2617.5,2.54809,0.865116,0.00853075,-0.057237,12.7827,34.303040504455566,2100.0,624.7652451992035,200,3000.0,-0.0627155,0.022355,0.991340812819,165.359456942,34.630088329315186
2605.5,2.51947,0.85284,0.00450469,-0.0138427,12.422,33.63326811790466,2100.0,658.8068435192108,200,3000.0,-0.0160587,0.0105698,0.992555228814,159.749021906,34.02074670791626
2625.0,2.51255,0.849905,0.00104346,-0.0414937,12.3364,34.47956371307373,2100.0,693.719226360321,200,2900.0,-0.0434913,0.00339971,0.993053339486,148.239670804,34.895348072052
2643.0,2.4918,0.841148,0.00524486,-0.0280789,12.083,33.87757706642151,2200.0,728.0116832256317,200,3000.0,-0.0307832,0.0143791,0.993205100746,144.398753457,34.28262901306152
2641.5,2.47776,0.835233,0.00953499,-0.0317847,11.9146,34.06064486503601,2100.0,762.4996814727783,200,3000.0,-0.034714,0.0345531,0.992340738074,144.318224767,34.47146034240723
2663.5,2.46187,0.828633,0.00618453,-0.0272764,11.7267,34.703447341918945,2100.0,797.6307065486908,200,3000.0,-0.0297966,0.0204209,0.992774072493,140.419905996,35.11410713195801
2643.0,2.44823,0.823019,0.000569783,-0.00534611,11.5679,35.39841175079346,2200.0,833.471800327301,200,2900.0,-0.0058259,0.00124595,0.994404729922,123.089398406,35.82810711860657
2634.5,2.44556,0.821959,0.0154171,-0.0196957,11.537,34.98422312736511,2000.0,868.939582824707,200,2900.0,-0.0231774,0.0614971,0.993687915807,122.718173063,35.45571160316467
2634.0,2.43571,0.817915,0.00448971,-0.0227692,11.424,34.86597037315369,2100.0,904.2503352165222,200,3000.0,-0.0250698,0.0149099,0.992444208034,138.722745071,35.297385692596436
2664.0,2.42433,0.813325,0.0935108,-0.0159675,11.2946,35.25499629974365,1900.0,939.9355466365814,200,2900.0,-0.0341641,0.301641,0.993847707759,138.938835464,35.6699914932251
2640.5,2.41634,0.810171,0.00924069,-0.0241126,11.2048,34.03099775314331,2300.0,974.3638291358948,200,2900.0,-0.0262078,0.0300886,0.993611095487,131.946011687,34.421422243118286
2647.5,2.40429,0.805263,0.00615244,-0.0240765,11.0706,33.82031059265137,2200.0,1008.6131858825684,200,3000.0,-0.0256016,0.0177124,0.99357021447,141.752425023,34.229361057281494
2660.0,2.39225,0.800428,0.04055,-0.0162408,10.9381,34.453845739364624,2300.0,1043.5288121700287,200,3000.0,-0.0224813,0.164037,0.994157723538,122.065556157,34.894134759902954
2672.5,2.38413,0.797168,0.0112433,-0.00196008,10.8496,33.62253189086914,2300.0,1077.6076917648315,200,2900.0,-0.00381744,0.0380977,0.994810984719,116.592238164,34.065037965774536
2685.5,2.38315,0.796756,0.0175184,0.00737737,10.839,33.67154049873352,2400.0,1111.7837543487549,200,3000.0,0.00354218,0.0675742,0.995007604893,115.064112563,34.16734862327576
2676.5,2.38684,0.798255,0.0481627,0.00578311,10.879,38.19011831283569,2300.0,1150.4303557872772,200,2900.0,-0.00154666,0.210709,0.993985374447,122.872901813,38.61500811576843
2659.5,2.38973,0.799401,0.004408,0.00993765,10.9105,37.19294571876526,2300.0,1187.9056985378265,200,3000.0,0.00855149,0.0186365,0.994447695231,116.231450133,37.46114730834961
2662.5,2.3947,0.801408,0.0365041,-0.00683483,10.9649,35.599193811416626,2300.0,1223.979484796524,200,3000.0,-0.0133152,0.15972,0.993883159479,129.783473524,36.05883550643921
2667.5,2.39128,0.800007,0.00659747,0.00181828,10.9275,35.606300830841064,2400.0,1259.9490792751312,200,3000.0,7.70651e-05,0.0345289,0.994856449128,114.864050077,35.951598167419434
2660.5,2.39219,0.800388,0.00119714,-0.0161306,10.9374,34.93462347984314,2200.0,1295.2354881763458,200,2900.0,-0.0166851,0.00314078,0.993696300466,132.24881852,35.27455139160156
2688.5,2.38412,0.797185,0.00176925,-0.0161639,10.8496,35.58464312553406,2100.0,1331.2297372817993,200,2900.0,-0.0171353,0.00772846,0.994639196374,131.216424277,35.968085527420044
2670.0,2.37604,0.793887,0.00555491,-0.0214574,10.7622,34.106202602386475,2000.0,1365.736820936203,200,3000.0,-0.023588,0.030208,0.992698760407,144.913767462,34.49176788330078
2658.0,2.36531,0.789668,0.00112415,-0.0141883,10.6474,34.71368169784546,2200.0,1400.866598367691,200,2900.0,-0.0154187,0.00421017,0.993037377427,132.800602408,35.11889290809631
2683.0,2.35822,0.786972,0.0235433,-0.0106785,10.5721,33.87693428993225,2300.0,1435.1642031669617,200,3000.0,-0.0145519,0.0888875,0.995130341861,122.926807491,34.279906272888184
2671.5,2.35288,0.784871,0.00526533,-0.015876,10.5158,36.50771975517273,2200.0,1472.1068453788757,200,3000.0,-0.01735,0.0212485,0.994008068415,120.157188715,36.92584800720215
