Entropy,NumTrajs,ExplainedVariance,MinReturn,Time,MaxReturn,Perplexity,LossBefore,AverageReturn,AveragePolicyStd,MaxKL,LossAfter,MeanKL,TotalExecTime,StdReturn,ItrTime
2.82159,200,0.332720748165,0.0,28.009769439697266,1600.0,16.8035,-0.0109241,177.0,0.991891,0.0518701,-0.0225276,0.0164135,27.686421871185303,366.157070122,28.009774684906006
2.81067,200,0.54055755713,0.0,57.43674659729004,1900.0,16.621,-0.0274303,537.0,0.986486,0.050202,-0.0468505,0.0173481,29.0771803855896,595.50902596,29.40469264984131
2.79695,200,0.589923620005,0.0,88.32500720024109,2200.0,16.3946,-0.0284835,859.0,0.979748,0.050558,-0.0471875,0.017293,30.672919511795044,616.051134241,30.86146831512451
2.78271,200,0.722003552021,0.0,117.38039040565491,2500.0,16.1627,-0.0361722,1224.5,0.972802,0.0736899,-0.0586526,0.0236831,28.741485357284546,642.533851248,29.021872758865356
2.76462,200,0.717135914421,0.0,145.69150757789612,2500.0,15.873,-0.0428073,1487.0,0.964076,0.0629925,-0.0604876,0.0206997,28.03527593612671,554.735071904,28.29282283782959
2.74322,200,0.850327071633,0.0,177.07996559143066,2500.0,15.5369,-0.054743,1724.5,0.953797,0.0595114,-0.0733806,0.0217827,31.058226823806763,469.414262672,31.364238262176514
2.71585,200,0.923526154043,500.0,209.91470909118652,2700.0,15.1174,-0.0515105,2029.5,0.940907,0.0844535,-0.0703267,0.0278256,32.57303214073181,341.144763993,32.817238569259644
2.69009,200,0.940815112274,400.0,241.87545347213745,2800.0,14.733,-0.0567694,2136.5,0.928867,0.055138,-0.0731439,0.0217631,31.719034671783447,341.493411357,31.938186168670654
2.66171,200,0.967291106426,1200.0,273.89037823677063,2800.0,14.3207,-0.0543749,2278.0,0.915845,0.0915084,-0.0734389,0.0321037,31.722916841506958,284.808707732,32.00538182258606
2.63452,200,0.9761412361,1600.0,306.59726428985596,2800.0,13.9366,-0.0513424,2364.0,0.903522,0.148849,-0.0750208,0.0501127,32.40974950790405,232.172349775,32.67668676376343
2.60885,200,0.984483810374,1800.0,339.20466232299805,2800.0,13.5834,-0.063125,2459.0,0.892024,0.117679,-0.0823871,0.0407268,32.31843948364258,211.468673803,32.58957076072693
2.57729,200,0.987084550061,1700.0,369.2718434333801,3000.0,13.1614,-0.049201,2508.5,0.87799,0.0641738,-0.0601274,0.0226377,29.80251979827881,193.074467499,30.040828227996826
2.55269,200,0.988353541891,1900.0,400.20585560798645,2900.0,12.8415,-0.0344245,2548.0,0.867326,0.0424496,-0.0422126,0.0175079,30.628601789474487,182.745724984,30.91471767425537
2.53547,200,0.989209046141,1900.0,433.44078516960144,3000.0,12.6224,-0.044983,2555.0,0.859943,0.0320053,-0.0502166,0.011517,33.065837144851685,172.26433177,33.21765422821045
2.51298,200,0.990302350459,1900.0,466.15545105934143,2900.0,12.3417,-0.0362463,2591.5,0.850233,0.0338211,-0.0415176,0.0130722,32.3728609085083,164.553182892,32.687342166900635
2.49486,200,0.992866273864,2000.0,498.1854610443115,2900.0,12.12,-0.0111983,2620.0,0.842659,0.059377,-0.0190853,0.018779,31.65913987159729,140.356688476,32.00935888290405
2.48926,200,0.993058506358,2200.0,530.188679933548,2900.0,12.0523,-0.0389705,2624.0,0.840217,0.0244206,-0.0438175,0.0105332,31.703370809555054,144.30523206,31.976096630096436
2.46977,200,0.991674924004,2100.0,562.0569882392883,3000.0,11.8198,-0.0118611,2629.0,0.832071,0.0450138,-0.0174707,0.0155442,31.59917163848877,157.031843904,31.84915566444397
2.46384,200,0.993171207903,2300.0,596.9439358711243,2900.0,11.7499,-0.00995548,2635.0,0.829661,0.0361842,-0.0136083,0.0106337,34.63074588775635,134.443296597,34.87359023094177
2.45887,200,0.992995061985,2000.0,630.5550811290741,3000.0,11.6915,-0.0395795,2629.0,0.827543,0.0739938,-0.0476831,0.0268232,33.32679224014282,154.463587942,33.59486699104309
2.43908,200,0.992525783283,2200.0,664.2502872943878,3000.0,11.4624,-0.0207847,2641.0,0.819483,0.0329385,-0.024223,0.00935432,33.42833089828491,132.359359322,33.67559599876404
2.42868,200,0.99410822438,2300.0,697.3492136001587,2900.0,11.3439,-0.0140147,2663.5,0.815266,0.0109973,-0.0152787,0.00326094,32.76208996772766,123.360244812,33.05712413787842
2.42168,200,0.994256278462,2300.0,728.3506445884705,3000.0,11.2647,-0.0143075,2652.0,0.812381,0.0287227,-0.0178176,0.00862624,30.729117155075073,119.565881421,30.988088369369507
2.41452,200,0.993385820798,2300.0,761.1757626533508,3000.0,11.1844,-0.0186835,2660.5,0.809348,0.0103383,-0.0201845,0.00441664,32.479938983917236,129.960570944,32.81004762649536
2.40518,200,0.994101088535,2200.0,794.3692116737366,2900.0,11.0804,-0.0209399,2663.5,0.805596,0.205747,-0.031478,0.0573015,32.887309312820435,129.297138406,33.166146755218506
2.39471,200,0.994515274624,2300.0,825.6499676704407,2900.0,10.965,-0.00408352,2670.0,0.801386,0.025363,-0.00555962,0.00727939,31.011938333511353,125.6980509,31.262452602386475
2.39267,200,0.994188957039,2200.0,859.6266541481018,3000.0,10.9427,-0.00941217,2660.0,0.800555,0.048751,-0.0122465,0.0126897,33.720460176467896,126.885775404,33.9659423828125
2.38796,200,0.994755930561,2300.0,892.070898771286,2900.0,10.8913,-0.00836502,2675.0,0.798734,0.00498502,-0.00870763,0.00125018,32.11286783218384,120.726964676,32.42109775543213
