MinReturn,MaxReturn,NumTrajs,ExplainedVariance,ItrTime,TotalExecTime,Entropy,LossAfter,AveragePolicyStd,Perplexity,MeanKL,AverageReturn,LossBefore,Time,StdReturn,MaxKL
0.0,1300.0,200,0.278858536109,36.029929399490356,35.71307015419006,2.82159,0.0168305,0.991891,16.8035,0.00478329,19.0,0.0214854,36.02992105484009,128.214663748,0.020096
0.0,1900.0,200,0.38080374911,35.994070529937744,35.524696350097656,2.84307,-0.0114166,1.00267,17.1685,0.00582749,86.5,-0.00288045,72.03999996185303,300.612291831,0.0275844
0.0,1600.0,200,0.427114421343,36.25721335411072,35.82596206665039,2.84163,-0.0173687,1.00193,17.1438,0.00733125,104.0,-0.00778428,108.31416368484497,313.023960744,0.0328723
0.0,2200.0,200,0.493007055157,35.94971251487732,35.53420877456665,2.83774,-0.0229985,0.999978,17.0772,0.00963353,250.5,-0.0121594,144.2757077217102,479.27001784,0.0312768
0.0,2200.0,200,0.563259412569,36.14926767349243,35.728639125823975,2.83166,-0.0160685,0.996948,16.9737,0.0240488,566.5,0.00577051,180.4403474330902,674.409185881,0.0816279
0.0,2300.0,200,0.646549077623,35.9351646900177,35.50957655906677,2.83455,-0.0604879,0.998427,17.0227,0.02454,1039.5,-0.0406334,216.3927948474884,677.340202557,0.0765232
0.0,2600.0,200,0.728597460646,36.090222120285034,35.67357134819031,2.81423,-0.0686067,0.988344,16.6804,0.0404785,1444.0,-0.0403375,252.4973840713501,629.971427924,0.123642
0.0,2700.0,200,0.860015388377,36.00201201438904,35.57988142967224,2.79406,-0.0675586,0.978368,16.3473,0.0505397,1812.5,-0.0372311,288.5045094490051,509.40529051,0.154671
800.0,2800.0,200,0.904646163431,35.97921538352966,35.54494571685791,2.77545,-0.065957,0.969319,16.0458,0.0303119,2125.0,-0.0496665,324.50232219696045,356.616040021,0.0926505
1100.0,2800.0,200,0.94603067543,36.010032176971436,35.58338189125061,2.75061,-0.0727119,0.957398,15.6522,0.0285857,2235.0,-0.0550471,360.5258388519287,332.076798346,0.0692354
1200.0,2900.0,200,0.967108498843,36.20934867858887,35.783984661102295,2.72309,-0.0692623,0.944318,15.2273,0.0252263,2381.0,-0.0561809,396.7511863708496,288.338342924,0.0717458
1500.0,2900.0,200,0.98054925501,36.961273431777954,36.52727913856506,2.695,-0.0783761,0.931114,14.8055,0.043269,2452.5,-0.0584925,433.7279751300812,235.146231099,0.127727
