MaxReturn,Entropy,LossAfter,AverageReturn,NumTrajs,StdReturn,MaxKL,Time,ExplainedVariance,AveragePolicyStd,Perplexity,MinReturn,LossBefore,MeanKL,ItrTime
800.0,2.83804,-0.00715685,4.0,200,56.4269439187,0.000685239,16.89712905883789,0.0566854793975,1.00032,17.0823,0.0,-0.00689866,0.000167984,16.89713215827942
1000.0,2.83115,-0.0162443,17.0,200,120.875969489,0.00796571,33.685134410858154,0.184294167272,0.996885,16.9649,0.0,-0.0137059,0.00138821,16.58111572265625
1200.0,2.82429,0.00286429,26.5,200,144.733375557,0.00564872,50.4066526889801,0.209785462919,0.993442,16.849,0.0,0.00500174,0.001134,16.51874089241028
1000.0,2.82679,0.00371408,13.5,200,94.6982048404,0.0109295,66.88870096206665,0.116375627803,0.994664,16.8912,0.0,0.00604832,0.00104206,16.28471827507019
1500.0,2.82982,0.00288739,37.0,200,197.309401702,0.00812836,83.56583881378174,0.182188729569,0.996105,16.9424,0.0,0.00518933,0.00123997,16.462091207504272
1700.0,2.83241,-0.0187681,57.5,200,234.40083191,0.0173922,100.5317280292511,0.364323244935,0.997425,16.9864,0.0,-0.0150227,0.00192648,16.746184825897217
1700.0,2.8249,0.000203862,97.0,200,288.601801796,0.0176028,117.24788689613342,0.367374881282,0.993715,16.8593,0.0,0.00391966,0.00221443,16.514413356781006
2100.0,2.82686,-0.0243457,188.5,200,439.906524162,0.00480137,133.92107224464417,0.453350979047,0.994699,16.8924,0.0,-0.0216701,0.0014226,16.46504831314087
2100.0,2.81603,-0.0289482,202.5,200,461.458286305,0.0235344,150.690532207489,0.446267771869,0.9893,16.7103,0.0,-0.0220384,0.00570756,16.574999570846558
2200.0,2.80501,-0.0260685,331.5,200,527.880431537,0.0177825,167.36974358558655,0.51146630913,0.983826,16.5272,0.0,-0.0199993,0.0052374,16.467848300933838
2300.0,2.79501,-0.0121378,534.0,200,663.659551276,0.0480657,184.0665147304535,0.601817595531,0.978924,16.3627,0.0,-0.000488192,0.0120993,16.51744294166565
2300.0,2.79476,-0.060528,721.0,200,739.161010877,0.187197,200.74977445602417,0.616023568274,0.978817,16.3588,0.0,-0.0323108,0.0376538,16.368863582611084
2600.0,2.77861,-0.0645667,1216.5,200,709.209242749,0.33819,217.50062537193298,0.672439561546,0.970901,16.0966,0.0,-0.0260348,0.0609125,16.540889739990234
2600.0,2.76559,-0.0721356,1738.0,200,534.935510132,0.257104,234.47911763191223,0.834733359433,0.964629,15.8884,0.0,-0.0449297,0.0506618,16.769057035446167
2800.0,2.74313,-0.0651939,1999.5,200,459.183786735,0.230136,251.79630255699158,0.901143866511,0.953814,15.5355,300.0,-0.0427096,0.0437177,17.12098479270935
2800.0,2.72177,-0.0870606,2203.5,200,376.878959349,0.168591,268.84704875946045,0.937897503595,0.943618,15.2072,400.0,-0.0629145,0.051618,16.846877336502075
2900.0,2.69031,-0.0652617,2342.5,200,312.639968654,0.292663,286.6827464103699,0.965802715779,0.928917,14.7363,1200.0,-0.0444434,0.0601191,17.609828233718872
2800.0,2.66809,-0.0678493,2425.0,200,247.335804121,0.174488,304.2043995857239,0.978782754799,0.918652,14.4124,1300.0,-0.0519467,0.0428236,17.28023648262024
2900.0,2.64212,-0.0544231,2519.5,200,195.370801298,0.0923335,320.8937313556671,0.986103792482,0.906822,14.0429,1800.0,-0.044937,0.0275914,16.49610471725464
2900.0,2.61965,-0.0631251,2556.0,200,174.825627412,0.138966,337.8436975479126,0.989002417423,0.896756,13.7309,2000.0,-0.0506695,0.0400704,16.746803283691406
2900.0,2.59432,-0.0351096,2586.0,200,179.733135509,0.0105873,355.2198920249939,0.989325467287,0.885401,13.3874,2000.0,-0.0319305,0.00343195,17.181562662124634
3000.0,2.57835,-0.0414404,2590.5,200,162.04860382,0.00999957,372.28999400138855,0.99126652012,0.878383,13.1754,1900.0,-0.0381608,0.00362096,16.8613383769989
2900.0,2.55927,-0.022037,2620.5,200,149.765650267,0.203782,389.0315544605255,0.992099011696,0.870069,12.9264,2100.0,-0.0100118,0.0544109,16.545166730880737
3000.0,2.55426,-0.0385712,2624.0,200,151.40673697,0.133169,406.2550814151764,0.991272264479,0.867916,12.8618,2100.0,-0.0291098,0.0323735,16.906423568725586
2900.0,2.53971,-0.0086517,2658.5,200,128.560297137,0.0466367,422.9722590446472,0.994335291591,0.861601,12.676,2300.0,-0.0055798,0.0123606,16.52392053604126
2900.0,2.53692,-0.0388291,2643.5,200,143.728041801,0.0572702,439.68634390830994,0.992578292441,0.86036,12.6407,1900.0,-0.0344813,0.0126211,16.490060806274414
2900.0,2.51968,-0.0252132,2641.5,200,134.639333035,0.029463,456.43884921073914,0.993624040986,0.853009,12.4246,2200.0,-0.0220364,0.00903474,16.53960156440735
2900.0,2.50866,-0.0393654,2652.0,200,136.733317081,0.213899,473.7941963672638,0.993253544003,0.848367,12.2885,2100.0,-0.0308799,0.0442287,17.143373012542725
2900.0,2.49322,-0.0215957,2675.5,200,122.677422536,0.00991516,490.4289436340332,0.994741767522,0.841925,12.1002,2200.0,-0.0198445,0.00148089,16.436118364334106
3000.0,2.4833,-0.0331284,2668.0,200,124.402572321,0.0252211,507.18298983573914,0.994609898312,0.837695,11.9807,2300.0,-0.0306588,0.0051118,16.55278468132019
3000.0,2.46797,-0.0265967,2677.0,200,130.656036983,0.0287862,524.0582594871521,0.994050922742,0.831344,11.7985,2300.0,-0.02412,0.00758979,16.687888860702515
3000.0,2.45591,-0.0050161,2661.5,200,135.158240592,0.0161809,540.9797875881195,0.994163461015,0.826394,11.657,2300.0,-0.00372244,0.00156523,16.727761030197144
2900.0,2.45405,-0.0157025,2664.0,200,120.432553739,0.212966,557.6770143508911,0.994082180052,0.825712,11.6353,2200.0,-0.00898137,0.0360227,16.48475956916809
2900.0,2.44956,-0.00692996,2659.5,200,126.529640796,0.119158,574.1550796031952,0.993990009841,0.823907,11.5832,2300.0,-0.0037208,0.0125961,16.287108421325684
2900.0,2.4477,-0.00918175,2665.5,200,121.077454549,0.172732,590.8567700386047,0.994234996013,0.823074,11.5617,2300.0,-0.00487242,0.0197555,16.498610734939575
3000.0,2.44526,-0.00285205,2657.5,200,127.450970965,0.0329789,607.8462691307068,0.993575823155,0.822143,11.5335,2400.0,-0.000134073,0.00833215,16.654234170913696
3000.0,2.44519,-0.00928908,2674.5,200,110.904237971,0.123411,624.531076669693,0.995064485304,0.822013,11.5328,2400.0,-0.0052454,0.0257262,16.467130661010742
2900.0,2.44257,-0.00192321,2645.5,200,135.571936624,0.152726,641.3907556533813,0.992996906753,0.820898,11.5026,2200.0,0.00201173,0.0287298,16.6567542552948
3000.0,2.44358,-0.0177487,2691.5,200,116.523602759,0.0673561,657.7773065567017,0.995206702086,0.821325,11.5141,2300.0,-0.0157126,0.012054,16.194518327713013
3000.0,2.43572,-0.0070114,2681.5,200,117.080100786,0.0751448,674.5236897468567,0.994155296729,0.818101,11.424,2400.0,-0.00432433,0.00971086,16.547403812408447
3000.0,2.43356,-0.00614468,2681.0,200,115.494588618,0.199388,691.1595287322998,0.995162494877,0.817161,11.3994,2300.0,0.00021082,0.0288072,16.454933166503906
2900.0,2.43366,-0.00459949,2672.0,200,120.066648158,0.0334447,707.5367205142975,0.994384483503,0.817287,11.4006,2200.0,-0.00186897,0.00843044,16.17658233642578
