Entropy,ExplainedVariance,MaxReturn,LossBefore,ItrTime,MaxKL,MinReturn,AveragePolicyStd,LossAfter,Perplexity,NumTrajs,StdReturn,MeanKL,AverageReturn,Time
2.83804,0.322149159054,1100.0,-0.00248023,16.365749835968018,0.0077066,0.0,1.00032,-0.0048366,17.0823,200,123.238589736,0.00201525,21.5,16.3657443523407
2.83556,0.369389281302,1500.0,-0.0187997,16.347927570343018,0.0043737,0.0,0.999065,-0.0213453,17.04,200,242.825039895,0.00116212,56.0,32.91674447059631
2.82616,0.331490061081,1500.0,-0.00913125,16.72702717781067,0.0074683,0.0,0.994437,-0.0128078,16.8806,200,199.358345699,0.00198434,42.5,49.86623668670654
2.8216,0.368003357013,1800.0,-0.00928731,16.405743837356567,0.00961378,0.0,0.992119,-0.0125687,16.8037,200,303.234232896,0.00187567,93.0,66.47188997268677
2.81696,0.395605518277,1800.0,-0.00688847,16.384608268737793,0.0128982,0.0,0.98979,-0.0126614,16.7258,200,352.987251894,0.00377058,130.0,83.05472946166992
2.81351,0.450764694629,2000.0,-0.0262191,16.447030067443848,0.0124097,0.0,0.988085,-0.0323002,16.6683,200,545.563699306,0.00385034,285.5,99.69896197319031
2.8004,0.461415537753,2100.0,-0.0140613,16.223482847213745,0.0207839,0.0,0.981625,-0.0209136,16.4512,200,566.533097003,0.00493466,309.5,116.12880396842957
2.79337,0.539629358963,2500.0,-0.0116323,16.539756059646606,0.0402651,0.0,0.978193,-0.0238291,16.336,200,712.926363659,0.0104774,556.0,132.86799597740173
2.78755,0.605364233739,2400.0,-0.0135447,16.222184658050537,0.0279069,0.0,0.975363,-0.0244428,16.2413,200,759.601046603,0.0104222,807.5,149.30254793167114
2.78078,0.633517777805,2600.0,-0.0186938,16.195409297943115,0.0276723,0.0,0.972128,-0.0279697,16.1316,200,768.725568717,0.00901361,969.0,165.6936173439026
2.77144,0.683203009598,2600.0,-0.036213,16.164093017578125,0.0546129,0.0,0.967724,-0.0486976,15.9816,200,808.192427581,0.0143671,1175.0,182.07643103599548
2.75333,0.75631751689,2700.0,-0.0396359,16.067484140396118,0.16789,0.0,0.958981,-0.0608197,15.6948,200,751.31551295,0.0282109,1465.0,198.4444065093994
2.73351,0.886635152235,2800.0,-0.051922,16.24748706817627,0.149147,0.0,0.949641,-0.0736972,15.3868,200,569.73480673,0.031641,1851.5,214.89463329315186
2.70755,0.946804887773,2800.0,-0.0487942,16.22660183906555,0.254457,1000.0,0.937482,-0.0766108,14.9925,200,352.986897774,0.0483871,2125.5,231.32704710960388
2.68315,0.96493581895,2800.0,-0.0604712,16.460238456726074,0.096762,1400.0,0.926031,-0.0777276,14.6311,200,311.987179224,0.0239229,2242.0,247.99030470848083
2.65292,0.97164423941,2900.0,-0.0510865,16.83940362930298,0.273593,1300.0,0.912255,-0.0870261,14.1954,200,281.05826798,0.0729573,2352.5,265.0172872543335
