MinReturn,LossBefore,Entropy,AverageReturn,StdReturn,NumTrajs,Perplexity,ItrTime,AveragePolicyStd,MeanKL,LossAfter,MaxReturn,Time,MaxKL,ExplainedVariance
0.0,-0.0230907,2.83804,178.5,402.973634373,200,17.0823,15.920847177505493,1.00032,0.026518,-0.0391918,2000.0,15.920841932296753,0.191576,0.441261661601
0.0,-0.0112917,2.81495,547.5,679.554081733,200,16.6924,15.953489303588867,0.988708,0.0151936,-0.0269209,2500.0,32.14307928085327,0.081169,0.624456090738
0.0,-0.0405522,2.80931,824.5,718.922631442,200,16.5984,16.434391498565674,0.985945,0.018659,-0.0604803,2400.0,48.759329319000244,0.075087,0.642590071315
0.0,-0.0357143,2.78903,1165.5,683.78340869,200,16.2653,16.04888081550598,0.975983,0.0221858,-0.0579172,2700.0,64.9925696849823,0.0634909,0.718443981566
0.0,-0.038364,2.77117,1492.0,626.526934776,200,15.9774,15.901981592178345,0.96737,0.0130218,-0.0503993,2900.0,81.09825396537781,0.0374415,0.718777385272
0.0,-0.0525202,2.75199,1691.0,551.197786643,200,15.6738,15.979602813720703,0.958059,0.0280246,-0.0728296,2800.0,97.25575876235962,0.0995189,0.80721897761
800.0,-0.0320708,2.72573,1987.5,417.245431371,200,15.2676,16.277158975601196,0.945603,0.0126177,-0.0412242,2800.0,113.72738885879517,0.0332741,0.862125404756
1000.0,-0.0415326,2.7097,2090.5,393.013676607,200,15.0247,16.125385284423828,0.937999,0.0299988,-0.0600416,2900.0,130.04692268371582,0.0997813,0.905349270979
1000.0,-0.0327399,2.68893,2269.0,356.565561994,200,14.7159,16.405895709991455,0.92833,0.0124769,-0.0421117,2900.0,146.63765406608582,0.0276202,0.92349257803
1500.0,-0.0430894,2.67256,2344.5,256.065909484,200,14.477,16.224366426467896,0.920787,0.0489587,-0.0677879,2900.0,163.08759546279907,0.194292,0.967994793608
1400.0,-0.0593636,2.65102,2446.0,258.232453421,200,14.1684,16.213658809661865,0.910959,0.0239043,-0.0722765,2800.0,179.5117928981781,0.0733904,0.970799249451
1400.0,-0.0439341,2.62133,2507.5,214.927313295,200,13.7541,16.381196975708008,0.897478,0.0206293,-0.0549846,3100.0,196.2063467502594,0.0861531,0.983693312645
1400.0,-0.0417564,2.59937,2524.0,225.219892549,200,13.4552,16.395164251327515,0.88769,0.0128074,-0.0488084,2900.0,212.79535007476807,0.0376503,0.976284534976
1900.0,-0.0389596,2.57849,2554.0,174.59667809,200,13.1772,16.33303141593933,0.878497,0.0106569,-0.0444857,3000.0,229.3310832977295,0.0344882,0.98835298911
1900.0,-0.0421683,2.55901,2582.0,174.573766643,200,12.923,16.214578866958618,0.869955,0.0212978,-0.0506492,2900.0,245.74213886260986,0.103815,0.988971152353
2200.0,-0.014168,2.53793,2622.0,140.0571312,200,12.6534,16.168030261993408,0.860907,0.0077672,-0.0186765,2900.0,262.1236274242401,0.028077,0.992645165217
