MinReturn,MaxReturn,AverageReturn,ExplainedVariance,Perplexity,AveragePolicyStd,Time,LossAfter,NumTrajs,Entropy,StdReturn,MaxKL,LossBefore,ItrTime,MeanKL
0.0,200.0,1.0,0.0702939935774,17.0795,1.0,16.415103673934937,0.00120097,200,2.83788,14.1067359797,0.00327359,0.00235514,16.415106058120728,0.000509718
0.0,0.0,0.0,1,17.1197,1.0012,32.894877195358276,-0.0,200,2.84023,0.0,0.0,-0.0,16.26017928123474,0.0
0.0,800.0,4.5,0.0974025792428,17.1197,1.0012,49.44556522369385,0.0146184,200,2.84023,56.830889488,0.000184631,0.014979,16.338905096054077,7.76085e-05
0.0,800.0,4.0,0.105844201346,17.2484,1.00496,65.91595339775085,-0.00745262,200,2.84772,56.4269439187,0.00102281,-0.0067148,16.25871181488037,0.000169245
0.0,0.0,0.0,1,17.1906,1.0033,82.50080895423889,-0.0,200,2.84436,0.0,0.0,-0.0,16.38592004776001,0.0
0.0,800.0,4.0,0.07278223383,17.1906,1.0033,99.02940893173218,0.00468917,200,2.84436,56.4269439187,0.000766784,0.00516555,16.326399087905884,0.000145871
0.0,300.0,2.0,0.0861613842132,17.2351,1.00458,115.73242735862732,-0.0173356,200,2.84695,22.2710574513,0.000366238,-0.0167409,16.506457805633545,0.00014007
0.0,700.0,8.0,0.170957031981,17.0914,1.0004,132.30630779266357,-0.0122297,200,2.83858,66.6033032214,0.00102852,-0.0112815,16.370823860168457,0.000245965
0.0,200.0,1.0,0.0583694348903,16.9953,0.997563,148.7676122188568,-0.0119731,200,2.83294,14.1067359797,0.000347259,-0.0115362,16.26738977432251,8.65167e-05
0.0,800.0,5.5,0.126400579977,16.8975,0.994683,165.2237229347229,0.0123257,200,2.82717,60.1643582198,0.000794052,0.013356,16.25724148750305,0.000285179
0.0,1200.0,10.5,0.102768094525,17.0108,0.998028,181.7518458366394,0.00259825,200,2.83385,95.6020397272,0.000790508,0.00333371,16.332457065582275,0.000162931
0.0,1100.0,12.0,0.118658322095,17.0391,0.998852,198.5041539669037,0.0225723,200,2.83551,106.564534438,0.00257077,0.0248936,16.4623966217041,0.000646069
