MinReturn,MaxKL,NumTrajs,MaxReturn,ExplainedVariance,Time,MeanKL,ItrTime,LossBefore,StdReturn,Entropy,AveragePolicyStd,LossAfter,Perplexity,AverageReturn
0.0,0.0468369,200,2000.0,0.292502361732,16.428553581237793,0.00426957,16.428558588027954,0.0104195,233.632189563,2.83788,1.0,0.00409746,17.0795,54.0
0.0,0.0159414,200,1800.0,0.442763746793,32.89817190170288,0.00186425,16.198670625686646,-0.0120269,321.974766092,2.8483,1.00524,-0.0167965,17.2584,113.5
0.0,0.0230187,200,2300.0,0.604604072693,49.48683190345764,0.00268862,16.399877548217773,-0.00664334,475.110250363,2.84228,1.00221,-0.0129614,17.1549,204.5
0.0,0.0175899,200,2100.0,0.605495499274,66.5643880367279,0.00168492,16.88221311569214,-0.00644534,491.383506032,2.83896,1.00054,-0.0102695,17.098,243.5
0.0,0.0245047,200,2100.0,0.497915713266,83.0195083618164,0.00296159,16.257649183273315,-0.0124911,484.767985742,2.83574,0.998933,-0.0194412,17.043,220.0
0.0,0.0304692,200,2800.0,0.693576996187,99.67205476760864,0.00369741,16.445130348205566,-0.0325479,670.340212131,2.82949,0.995825,-0.0394261,16.9369,388.0
0.0,0.0252996,200,2600.0,0.663405142917,116.31501150131226,0.00380869,16.45456099510193,-0.0101021,661.345408996,2.81322,0.987755,-0.01703,16.6635,416.5
0.0,0.0366618,200,2600.0,0.68362251566,132.87237644195557,0.00589287,16.356346607208252,-0.0200342,778.909494101,2.80817,0.98527,-0.0291722,16.5795,720.0
0.0,0.0367772,200,2600.0,0.705668411193,149.17621779441833,0.0067246,16.098243951797485,-0.0340904,804.908535177,2.79815,0.980333,-0.0433573,16.4143,883.5
0.0,0.0180158,200,2600.0,0.73469797619,165.4694857597351,0.00455604,16.10145926475525,-0.0343159,794.467746356,2.78111,0.972014,-0.0413118,16.1369,961.0
0.0,0.026859,200,2800.0,0.75713016258,181.9585883617401,0.00861267,16.280089378356934,-0.0125254,753.540974334,2.76395,0.963712,-0.0232769,15.8623,1076.0
0.0,0.0555055,200,2800.0,0.781088054138,198.69682383537292,0.0153301,16.427571296691895,-0.0633444,754.585813543,2.75769,0.960698,-0.0814829,15.7633,1325.5
0.0,0.0944223,200,2800.0,0.825874359431,215.14796710014343,0.0227784,16.25822353363037,-0.0359936,685.784222624,2.72601,0.945604,-0.0574754,15.2719,1600.0
200.0,0.0684659,200,2800.0,0.883618264112,231.76101851463318,0.0164715,16.432837963104248,-0.0392095,515.988129708,2.70802,0.937137,-0.053039,14.9995,1882.5
500.0,0.0705743,200,2800.0,0.90536589789,247.97966170310974,0.0189955,16.026973009109497,-0.0410724,475.735220475,2.68841,0.927992,-0.0570414,14.7083,1974.0
600.0,0.071552,200,2900.0,0.923050111943,264.31591534614563,0.0227318,16.133170127868652,-0.0617864,419.070101534,2.66788,0.918547,-0.0786158,14.4093,2130.5
1000.0,0.0864145,200,2900.0,0.953784538695,280.7213099002838,0.0198937,16.207504510879517,-0.0387381,368.325942611,2.63698,0.904443,-0.0508233,13.971,2244.0
1200.0,0.078439,200,2800.0,0.965836336381,297.01964020729065,0.0206881,16.112918853759766,-0.0473899,300.792287135,2.61761,0.895736,-0.0599517,13.703,2318.0
1500.0,0.0871058,200,2800.0,0.976893614116,313.38619470596313,0.0242907,16.159470796585083,-0.0438803,247.717581128,2.59392,0.885177,-0.0566887,13.3821,2406.0
