NumTrajs,Time,Entropy,LossBefore,MaxKL,ExplainedVariance,Perplexity,MaxReturn,LossAfter,ItrTime,AveragePolicyStd,AverageReturn,MeanKL,MinReturn,StdReturn
200,16.90206503868103,2.83788,0.00622233,0.00441267,0.122328104456,17.0795,100.0,0.00394306,16.902071714401245,1.0,0.5,0.000894555,0.0,7.05336798983
200,33.38688945770264,2.8441,-0.0,0.0,1,17.1861,0.0,-0.0,16.278640031814575,1.00312,0.0,0.0,0.0,0.0
200,49.80466651916504,2.8441,-0.00090865,0.00276976,0.189191450133,17.1861,1500.0,-0.00293865,16.222723960876465,1.00312,12.5,0.000500856,0.0,114.864050077
200,67.15202069282532,2.84364,0.0112542,0.00103436,0.100062178464,17.1783,900.0,0.0102954,17.137335538864136,1.00289,4.5,0.00018165,0.0,63.4803119085
200,83.73125743865967,2.84927,-0.00140656,0.000254207,0.0788372417124,17.2752,200.0,-0.00167105,16.372276306152344,1.00572,1.0,5.83696e-05,0.0,14.1067359797
200,100.40597701072693,2.84857,-0.00145529,0.00103148,0.100963580968,17.2631,1000.0,-0.00233044,16.47279644012451,1.00536,7.5,0.000235221,0.0,72.7581610543
200,117.09123539924622,2.84784,-0.00930037,0.00215298,0.0833421397238,17.2505,900.0,-0.0107188,16.454678535461426,1.005,4.5,0.000268178,0.0,63.4803119085
200,133.4571077823639,2.84319,0.00359785,0.00028216,0.106974733941,17.1705,1100.0,0.00313312,16.173460721969604,1.00267,8.0,0.00011685,0.0,82.6801064344
200,149.84118175506592,2.84499,0.0102771,0.00119134,0.0552523387026,17.2014,500.0,0.00909439,16.187459230422974,1.00356,3.5,0.000316627,0.0,36.5752648658
200,166.22067880630493,2.85013,-0.00695771,0.00185072,0.285412320245,17.29,1200.0,-0.00890738,16.194507360458374,1.00615,33.0,0.000520133,0.0,164.045725333
200,182.6501715183258,2.84665,0.00456125,0.00439531,0.275624027719,17.23,1700.0,0.000920482,16.24047327041626,1.0044,37.0,0.00109764,0.0,197.815570671
200,199.36461448669434,2.84893,-0.00598294,0.00188721,0.290437515536,17.2693,1500.0,-0.00757938,16.421952962875366,1.00554,62.0,0.000464682,0.0,230.77261536
200,216.03763031959534,2.84594,-0.0148255,0.00432192,0.291371424884,17.2177,1600.0,-0.018712,16.476272344589233,1.00404,53.5,0.00131461,0.0,209.016147702
200,232.4844992160797,2.83853,-0.0290133,0.00650168,0.376716268742,17.0906,1700.0,-0.0350393,16.225476503372192,1.00033,134.5,0.00210147,0.0,360.776592921
200,248.8526542186737,2.82402,-0.0100734,0.00497286,0.39353863673,16.8444,1400.0,-0.0143971,16.171279191970825,0.993109,154.5,0.00158212,0.0,340.264235558
200,265.282550573349,2.81898,-0.0341409,0.00770599,0.431124691028,16.7598,2200.0,-0.0397188,16.223024606704712,0.990599,289.5,0.00240406,0.0,534.172022854
200,281.66605734825134,2.80191,-0.00437104,0.0132652,0.448441305625,16.4761,2200.0,-0.0127091,16.15760111808777,0.982179,323.5,0.0041083,0.0,513.417714926
