MaxReturn,LossBefore,NumTrajs,TotalExecTime,MinReturn,Time,Perplexity,ItrTime,ExplainedVariance,AverageReturn,Entropy,MeanKL,MaxKL,StdReturn,AveragePolicyStd,LossAfter
2800.0,-0.00279813,2000,105.9128782749176,0.0,106.2977888584137,17.0795,106.29779720306396,0.525359421365,81.05,2.83788,0.0541266,29.7401,349.665407926,1.0,-0.00412598
2900.0,-0.00496483,2000,106.25827836990356,0.0,212.90366053581238,17.0317,106.59910202026367,0.568029555396,169.35,2.83508,0.0132207,68.3633,515.165582604,0.998602,-0.0109255
2900.0,-0.00993745,2000,106.90838742256165,0.0,320.25434708595276,16.9895,107.34806656837463,0.595669020295,256.1,2.8326,0.0167171,19.1656,622.360659104,0.997363,-0.0149906
2900.0,-0.0121532,2000,91.57658362388611,0.0,412.17147850990295,16.9053,91.91298031806946,0.632387411989,336.45,2.82763,0.00627907,1.92126,714.637248889,0.994889,-0.0163835
2900.0,-0.00832953,2000,89.19068884849548,0.0,501.7179186344147,16.8029,89.54372692108154,0.656351867865,363.15,2.82155,0.0052603,5.11063,749.017408009,0.99187,-0.0112975
2900.0,-0.00381479,2000,89.15853476524353,0.0,591.2138559818268,16.7331,89.4919548034668,0.65035595832,418.75,2.81739,0.0163306,13.2384,800.739306828,0.989809,-0.0204724
2900.0,-0.00691533,2000,89.41948366165161,0.0,680.9540822505951,16.7012,89.73764133453369,0.662422219363,507.45,2.81548,0.00551529,2.63184,850.381971528,0.988864,-0.0104245
2800.0,-0.00984349,2000,89.34122896194458,0.0,770.6344873905182,16.6435,89.67804026603699,0.678553885096,568.5,2.81202,0.00813034,2.0471,894.056905348,0.987156,-0.0147387
2900.0,-0.0106518,2000,89.16984367370605,0.0,860.1359946727753,16.5618,89.4988739490509,0.680336255621,619.4,2.8071,0.0037864,0.304563,918.538861453,0.984729,-0.0131513
2900.0,-0.00599753,2000,89.27457690238953,0.0,949.7152326107025,16.4738,89.57679104804993,0.683996271074,710.3,2.80177,0.00673323,1.99604,943.882360255,0.982111,-0.00997732
2900.0,-0.00396045,2000,89.20599889755249,0.0,1039.241856098175,16.4245,89.52414226531982,0.689393060111,721.55,2.79877,0.0399841,310.416,948.377876956,0.98064,-0.0763756
2900.0,-0.00824304,2000,89.23943185806274,0.0,1128.7976796627045,16.392,89.55327606201172,0.703665315749,922.8,2.79679,0.01079,3.18283,1018.83765144,0.979669,-0.0130088
2900.0,-0.00812824,2000,89.29105138778687,0.0,1218.4701390266418,16.3246,89.66989374160767,0.690115204497,964.9,2.79267,0.0196977,1.79685,1011.64617827,0.977652,-0.0172305
3000.0,-0.00682196,2000,88.95039176940918,0.0,1307.760437488556,16.2584,89.28647232055664,0.707243900173,1161.9,2.78861,0.0221926,5.17705,1025.39182267,0.975667,-0.0153153
2900.0,-0.0109781,2000,89.02175617218018,0.0,1397.124385356903,16.203,89.36100959777832,0.722181405773,1350.05,2.7852,0.0238494,7.16001,998.979478017,0.974005,-0.021573
2900.0,-0.0108728,2000,89.19162893295288,0.0,1486.6586258411407,16.1143,89.53181910514832,0.734493425347,1528.25,2.77971,0.0137344,0.928692,976.789095711,0.971338,-0.0166715
2900.0,-0.0131373,2000,89.10107159614563,0.0,1576.0939502716064,16.027,89.43267011642456,0.750417317259,1689.2,2.77427,0.0318948,4.77636,924.64228759,0.968711,-0.0222727
2900.0,-0.0143624,2000,89.27778458595276,0.0,1665.678602695465,15.922,89.58201575279236,0.783361792681,1888.55,2.7677,0.0218509,1.53846,795.213114517,0.965548,-0.0219734
3000.0,-0.0268493,2000,88.94436645507812,0.0,1754.9697666168213,15.8081,89.28846287727356,0.847699433233,2111.9,2.76052,0.0413811,44.1613,645.637971312,0.962107,-0.0388115
3000.0,-0.025025,2000,89.2918004989624,0.0,1844.618597984314,15.5973,89.64638996124268,0.898225462552,2244.85,2.7471,0.0240567,36.9929,519.089084358,0.955697,-0.03346
