0AverageReturn,1MinReturn,1Perplexity,1ExplainedVariance,0PolicyExecTime,1AverageReturn,1NumTrajs,1EnvExecTime,dLoss,0NumTrajs,1Entropy,0Entropy,MeanKL,LossBefore,ItrTime,0ProcessExecTime,1MaxReturn,0Perplexity,1AveragePolicyStd,0ExplainedVariance,0StdReturn,1PolicyExecTime,0EnvExecTime,1ProcessExecTime,0MinReturn,0AveragePolicyStd,MeanKLBefore,LossAfter,0MaxReturn,Time,1StdReturn,ComputeUpdatedDistTime
6.5,0.0,17.0114,0.264073086692,3.4344937801361084,39.0,200,3.613584041595459,0.00535641144961,200,2.83388,2.83788,0.00870991591364,-2.79396772385e-09,18.78883171081543,0.13579940795898438,1600.0,17.0795,0.998019,0.0667273826381,69.3379405521,5.924321889877319,3.198498249053955,0.15284013748168945,0.0,1.0,8.44011416312e-10,-0.00535641424358,900.0,18.78882932662964,203.66393888,0.7079885005950928
19.0,0.0,16.7266,0.129875784455,3.377497911453247,26.5,200,3.7776260375976562,0.00342924892902,200,2.817,2.82341,0.00686074001715,-1.39698386192e-09,17.695629835128784,0.13553357124328613,1100.0,16.8342,0.989673,0.123204405439,117.639279155,6.0490498542785645,3.2151601314544678,0.15426945686340332,0.0,0.992796,2.09547512675e-09,-0.00342925032601,1200.0,36.975029706954956,150.491694123,0.08974170684814453
5.5,0.0,16.5809,0.302925134466,3.5885679721832275,84.0,200,3.502481460571289,0.00826774886809,200,2.80825,2.8149,0.00726386485621,3.49245965481e-09,17.61758017539978,0.1493520736694336,2000.0,16.6915,0.985321,0.0770986205229,64.9596028313,5.641175031661987,3.5249810218811035,0.14136552810668945,0.0,0.988588,1.39698386192e-09,-0.00826774537563,900.0,54.95085167884827,336.368845169,0.08443188667297363
24.0,0.0,16.8878,0.387173131787,3.428964138031006,169.5,200,3.5596842765808105,0.00836359953973,200,2.82659,2.80908,0.00849394779652,-3.14321368933e-09,17.441656827926636,0.1412663459777832,2600.0,16.5946,0.994575,0.070916701018,139.728307798,5.8848443031311035,3.3657259941101074,0.14330482482910156,0.0,0.985792,2.91038443345e-10,-0.00836360268295,1300.0,72.746661901474,531.996005624,0.0785973072052002
26.5,0.0,16.6258,0.391718565401,3.2940213680267334,285.0,200,3.4881110191345215,0.00926870282274,200,2.81095,2.80975,0.00946339312941,-1.16415321827e-10,16.76576018333435,0.1358499526977539,2600.0,16.6058,0.98708,0.212121331476,171.603467331,5.672286033630371,3.159170627593994,0.14312195777893066,0.0,0.986443,-2.56113708019e-08,-0.00926870293915,1600.0,90.05513525009155,673.99925816,0.08665633201599121
38.0,0.0,16.2477,0.335142029476,3.5861921310424805,174.0,200,3.5700862407684326,0.00646783504635,200,2.78795,2.7894,0.0085894279182,4.65661287308e-10,17.783332347869873,0.14882254600524902,2800.0,16.2712,0.975639,0.158820636417,223.508389104,5.854674577713013,3.528580665588379,0.1423027515411377,0.0,0.976188,1.86264408342e-08,-0.00646783458069,2100.0,108.21418762207031,519.253310052,0.08475041389465332
61.0,0.0,16.1614,0.320894225177,3.522775650024414,241.5,200,3.495055675506592,0.00740802893415,200,2.78262,2.78566,0.00873479805887,-1.39698386192e-09,17.33628487586975,0.14393067359924316,2700.0,16.2105,0.972866,0.20872360867,285.795381348,5.6621010303497314,3.388277292251587,0.14090919494628906,0.0,0.974363,6.98491708917e-10,-0.00740803033113,2000.0,125.9154942035675,616.86931355,0.09583353996276855
60.5,0.0,15.9033,0.249636996351,3.5078437328338623,180.5,200,3.4346015453338623,0.00961962714791,200,2.76653,2.76841,0.00972749944776,0.0,17.14652156829834,0.15218448638916016,2300.0,15.9333,0.965185,0.0951127664934,238.096094046,5.562389850616455,3.4529335498809814,0.14311766624450684,0.0,0.966154,-9.31322463593e-10,-0.00961962714791,1400.0,143.4295678138733,511.438901532,0.08036088943481445
74.0,0.0,15.7634,0.248238841861,3.282381296157837,253.5,200,3.451141119003296,0.00710313161835,200,2.75769,2.75451,0.00880368147045,2.79396772385e-09,16.878240823745728,0.13707804679870605,2400.0,15.7133,0.961122,0.0964735443837,258.503384891,5.746302127838135,3.1858134269714355,0.14304018020629883,0.0,0.959354,-3.25962989933e-09,-0.00710312882438,1500.0,160.85477018356323,603.893823449,0.08840560913085938
79.0,0.0,14.9805,0.300716551052,3.508218288421631,328.5,200,3.828097105026245,0.00841483555268,200,2.70675,2.71689,0.00739105604589,2.67755240202e-09,18.147496938705444,0.14597654342651367,2600.0,15.1332,0.937272,0.10211872383,245.680687072,6.142356634140015,3.4529778957366943,0.1579883098602295,0.0,0.941935,-1.86264492719e-09,-0.00841483287513,1500.0,179.35069036483765,727.693445071,0.08234977722167969
