2017-07-22 19:28:18.380666 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Sampling set of tasks/goals for this meta-batch...
2017-07-22 19:28:18.381189 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | ** Step 0 **
2017-07-22 19:28:18.381400 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Obtaining samples...
2017-07-22 19:28:18.381601 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Obtaining samples for iteration 0...
2017-07-22 19:28:39.207368 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Processing samples...
2017-07-22 19:28:39.254808 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | fitting baseline...
2017-07-22 19:28:39.268092 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | fitted
2017-07-22 19:28:39.281016 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Logging diagnostics...
2017-07-22 19:28:39.281836 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Computing policy updates...
2017-07-22 19:28:39.646879 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | ** Step 1 **
2017-07-22 19:28:39.647128 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Obtaining samples...
2017-07-22 19:28:39.647297 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Obtaining samples for iteration 0...
2017-07-22 19:29:51.240016 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Sampling set of tasks/goals for this meta-batch...
2017-07-22 19:29:51.240915 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | ** Step 0 **
2017-07-22 19:29:51.241219 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Obtaining samples...
2017-07-22 19:29:51.241496 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Obtaining samples for iteration 0...
2017-07-22 19:30:12.796588 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Processing samples...
2017-07-22 19:30:12.820955 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | fitting baseline...
2017-07-22 19:30:12.830090 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | fitted
2017-07-22 19:30:12.839680 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Logging diagnostics...
2017-07-22 19:30:12.840269 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Computing policy updates...
2017-07-22 19:30:13.160910 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | ** Step 1 **
2017-07-22 19:30:13.161096 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Obtaining samples...
2017-07-22 19:30:13.161214 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Obtaining samples for iteration 0...
2017-07-22 19:31:31.914941 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Sampling set of tasks/goals for this meta-batch...
2017-07-22 19:31:31.915989 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | ** Step 0 **
2017-07-22 19:31:31.916282 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Obtaining samples...
2017-07-22 19:31:31.916503 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Obtaining samples for iteration 0...
2017-07-22 19:31:53.440152 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Processing samples...
2017-07-22 19:31:53.464677 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | fitting baseline...
2017-07-22 19:31:53.473722 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | fitted
2017-07-22 19:31:53.481972 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Logging diagnostics...
2017-07-22 19:31:53.482539 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Computing policy updates...
2017-07-22 19:31:53.795040 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | ** Step 1 **
2017-07-22 19:31:53.795243 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Obtaining samples...
2017-07-22 19:31:53.795362 PDT | [trposens1_fbs20_mbs2_flr_0.5metalr_0.01_step11] itr #0 | Obtaining samples for iteration 0...
